origin,destination,flow,time
ARG.1.1_1,ARG.1.103_1,58.0,0
ARG.1.1_1,ARG.11.1_1,29.0,0
ARG.1.1_1,ARG.1.58_1,28.0,0
ARG.1.1_1,ARG.11.10_1,10.0,0
ARG.1.1_1,ARG.1.123_1,14.0,0
ARG.1.1_1,ARG.1.101_1,11.0,0
ARG.1.1_1,ARG.11.4_1,1.0,0
ARG.1.1_1,ARG.1.94_1,3.0,0
ARG.1.1_1,ARG.1.89_1,1.0,0
ARG.1.1_1,ARG.1.33_1,4.0,0
ARG.1.1_1,ARG.11.11_1,2.0,0
ARG.1.1_1,ARG.11.3_1,10.0,0
ARG.1.1_1,ARG.1.120_1,3.0,0
ARG.1.1_1,ARG.11.20_1,1.0,0
ARG.1.1_1,ARG.1.10_1,4.0,0
ARG.1.1_1,ARG.11.15_1,1.0,0
ARG.1.1_1,ARG.1.16_1,1.0,0
ARG.1.1_1,ARG.1.30_1,1.0,0
ARG.1.1_1,ARG.1.62_1,1.0,0
ARG.1.2_1,ARG.1.13_1,75.0,0
ARG.1.2_1,ARG.1.121_1,31.0,0
ARG.1.2_1,ARG.1.107_1,2.0,0
ARG.1.2_1,ARG.1.32_1,2.0,0
ARG.1.2_1,ARG.1.84_1,9.0,0
ARG.1.2_1,ARG.1.115_1,3.0,0
ARG.1.2_1,ARG.1.86_1,1.0,0
ARG.1.3_1,ARG.1.17_1,86.0,0
ARG.1.3_1,ARG.1.28_1,13.0,0
ARG.1.3_1,ARG.1.26_1,4.0,0
ARG.1.3_1,ARG.1.124_1,1.0,0
ARG.1.3_1,ARG.1.56_1,1.0,0
ARG.1.3_1,ARG.1.85_1,1.0,0
ARG.1.3_1,ARG.1.60_1,2.0,0
ARG.1.3_1,ARG.1.6_1,1.0,0
ARG.1.3_1,ARG.1.92_1,2.0,0
ARG.1.3_1,ARG.1.78_1,1.0,0
ARG.1.4_1,ARG.1.71_1,3059.0,0
ARG.1.4_1,ARG.1.40_1,847.0,0
ARG.1.4_1,ARG.1.95_1,531.0,0
ARG.1.4_1,ARG.1.64_1,229.0,0
ARG.1.4_1,ARG.1.38_1,212.0,0
ARG.1.4_1,ARG.1.7_1,107.0,0
ARG.1.4_1,ARG.1.14_1,77.0,0
ARG.1.4_1,ARG.1.62_1,298.0,0
ARG.1.4_1,ARG.1.113_1,13.0,0
ARG.1.4_1,ARG.5.1_1,139.0,0
ARG.1.4_1,ARG.1.122_1,7.0,0
ARG.1.4_1,ARG.1.82_1,23.0,0
ARG.1.4_1,ARG.1.36_1,2.0,0
ARG.1.4_1,ARG.1.54_1,14.0,0
ARG.1.4_1,ARG.1.125_1,7.0,0
ARG.1.4_1,ARG.1.63_1,14.0,0
ARG.1.4_1,ARG.1.78_1,9.0,0
ARG.1.4_1,ARG.1.110_1,7.0,0
ARG.1.4_1,ARG.1.76_1,3.0,0
ARG.1.4_1,ARG.1.20_1,1.0,0
ARG.1.4_1,ARG.1.81_1,6.0,0
ARG.1.4_1,ARG.1.55_1,10.0,0
ARG.1.4_1,ARG.1.15_1,3.0,0
ARG.1.4_1,ARG.1.117_1,6.0,0
ARG.1.4_1,ARG.1.53_1,3.0,0
ARG.1.4_1,ARG.1.92_1,9.0,0
ARG.1.4_1,ARG.1.37_1,4.0,0
ARG.1.4_1,ARG.1.108_1,3.0,0
ARG.1.4_1,ARG.1.72_1,1.0,0
ARG.1.4_1,ARG.1.70_1,1.0,0
ARG.1.4_1,ARG.1.79_1,1.0,0
ARG.1.4_1,ARG.1.83_1,1.0,0
ARG.1.4_1,ARG.1.105_1,1.0,0
ARG.1.4_1,ARG.1.128_1,1.0,0
ARG.1.4_1,ARG.1.24_1,1.0,0
ARG.1.4_1,ARG.1.3_1,1.0,0
ARG.1.4_1,ARG.1.26_1,2.0,0
ARG.1.4_1,ARG.8.8_1,1.0,0
ARG.1.4_1,ARG.8.7_1,1.0,0
ARG.1.4_1,ARG.1.90_1,1.0,0
ARG.1.4_1,ARG.1.111_1,1.0,0
ARG.1.4_1,ARG.1.99_1,2.0,0
ARG.1.4_1,ARG.1.60_1,1.0,0
ARG.1.4_1,ARG.1.85_1,1.0,0
ARG.1.4_1,ARG.1.9_1,1.0,0
ARG.1.4_1,ARG.1.61_1,1.0,0
ARG.1.4_1,ARG.8.15_1,2.0,0
ARG.1.4_1,ARG.21.4_1,2.0,0
ARG.1.4_1,ARG.1.93_1,1.0,0
ARG.1.4_1,ARG.21.12_1,5.0,0
ARG.1.4_1,ARG.1.75_1,1.0,0
ARG.1.4_1,ARG.21.17_1,2.0,0
ARG.1.4_1,ARG.8.12_1,1.0,0
ARG.1.4_1,ARG.8.1_1,1.0,0
ARG.1.4_1,ARG.1.13_1,1.0,0
ARG.1.4_1,ARG.21.2_1,2.0,0
ARG.1.4_1,ARG.21.6_1,3.0,0
ARG.1.4_1,ARG.1.52_1,7.0,0
ARG.1.4_1,ARG.8.3_1,1.0,0
ARG.1.4_1,ARG.1.41_1,1.0,0
ARG.1.4_1,ARG.8.13_1,2.0,0
ARG.1.4_1,ARG.8.2_1,4.0,0
ARG.1.4_1,ARG.21.1_1,1.0,0
ARG.1.4_1,ARG.6.9_1,1.0,0
ARG.1.4_1,ARG.1.57_1,1.0,0
ARG.1.4_1,ARG.21.9_1,2.0,0
ARG.1.4_1,ARG.1.33_1,1.0,0
ARG.1.4_1,ARG.21.18_1,1.0,0
ARG.1.4_1,ARG.6.26_1,1.0,0
ARG.1.4_1,ARG.21.10_1,1.0,0
ARG.1.4_1,ARG.6.12_1,1.0,0
ARG.1.4_1,ARG.6.6_1,2.0,0
ARG.1.4_1,ARG.1.10_1,1.0,0
ARG.1.4_1,ARG.11.3_1,3.0,0
ARG.1.4_1,ARG.6.20_1,2.0,0
ARG.1.4_1,ARG.7.5_1,1.0,0
ARG.1.4_1,ARG.21.13_1,1.0,0
