origin,destination,flow,time
AUS.2_1,AUS.4_1,11.0,0
AUS.2_1,AUS.5_1,4095.0,0
AUS.2_1,AUS.10_1,90.0,0
AUS.2_1,AUS.9_1,3.0,0
AUS.2_1,AUS.8_1,14.0,0
AUS.2_1,AUS.7_1,30.0,0
AUS.2_1,AUS.6_1,1.0,0
AUS.2_1,AUS.11_1,8.0,0
AUS.4_1,AUS.2_1,9.0,0
AUS.5_1,AUS.2_1,5870.0,0
AUS.5_1,AUS.4_1,16.0,0
AUS.5_1,AUS.10_1,48275.0,0
AUS.5_1,AUS.8_1,7344.0,0
AUS.5_1,AUS.9_1,1869.0,0
AUS.5_1,AUS.7_1,12425.0,0
AUS.5_1,AUS.6_1,472.0,0
AUS.5_1,AUS.11_1,4369.0,0
AUS.6_1,AUS.7_1,2349.0,0
AUS.6_1,AUS.8_1,32.0,0
AUS.6_1,AUS.11_1,22.0,0
AUS.6_1,AUS.5_1,36.0,0
AUS.6_1,AUS.10_1,9.0,0
AUS.6_1,AUS.2_1,1.0,0
AUS.7_1,AUS.5_1,38863.0,0
AUS.7_1,AUS.8_1,3101.0,0
AUS.7_1,AUS.6_1,351.0,0
AUS.7_1,AUS.2_1,564.0,0
AUS.7_1,AUS.4_1,1.0,0
AUS.7_1,AUS.10_1,5883.0,0
AUS.7_1,AUS.9_1,372.0,0
AUS.7_1,AUS.11_1,1510.0,0
AUS.8_1,AUS.10_1,15675.0,0
AUS.8_1,AUS.5_1,2272.0,0
AUS.8_1,AUS.7_1,567.0,0
AUS.8_1,AUS.6_1,25.0,0
AUS.8_1,AUS.2_1,36.0,0
AUS.8_1,AUS.11_1,211.0,0
AUS.8_1,AUS.9_1,36.0,0
AUS.9_1,AUS.10_1,5338.0,0
AUS.9_1,AUS.2_1,26.0,0
AUS.9_1,AUS.5_1,195.0,0
AUS.9_1,AUS.8_1,23.0,0
AUS.9_1,AUS.7_1,40.0,0
AUS.9_1,AUS.11_1,17.0,0
AUS.10_1,AUS.2_1,5308.0,0
AUS.10_1,AUS.5_1,43201.0,0
AUS.10_1,AUS.9_1,1280.0,0
AUS.10_1,AUS.4_1,4.0,0
AUS.10_1,AUS.8_1,3828.0,0
AUS.10_1,AUS.7_1,7062.0,0
AUS.10_1,AUS.6_1,282.0,0
AUS.10_1,AUS.11_1,2478.0,0
AUS.11_1,AUS.6_1,2492.0,0
AUS.11_1,AUS.8_1,10589.0,0
AUS.11_1,AUS.7_1,8305.0,0
AUS.11_1,AUS.10_1,3107.0,0
AUS.11_1,AUS.5_1,1571.0,0
AUS.11_1,AUS.2_1,47.0,0
AUS.11_1,AUS.9_1,80.0,0
AUS.1_1,AUS.1_1,0.047415477053727985,0
AUS.2_1,AUS.2_1,420996.7996665572,0
AUS.3_1,AUS.3_1,0.23270715476945042,0
AUS.4_1,AUS.4_1,960.794543739986,0
AUS.5_1,AUS.5_1,7983410.9421121,0
AUS.6_1,AUS.6_1,242516.87079600221,0
AUS.7_1,AUS.7_1,5013941.143113421,0
AUS.8_1,AUS.8_1,1863452.8699006473,0
AUS.9_1,AUS.9_1,558262.6978864596,0
AUS.10_1,AUS.10_1,6280928.188503606,0
AUS.11_1,AUS.11_1,2593005.29465568,0
