origin,destination,flow,time
AUT.1_1,AUT.9_1,2633.0,0
AUT.1_1,AUT.3_1,188.0,0
AUT.1_1,AUT.6_1,49.0,0
AUT.1_1,AUT.4_1,48.0,0
AUT.1_1,AUT.2_1,8.0,0
AUT.1_1,AUT.5_1,9.0,0
AUT.1_1,AUT.7_1,9.0,0
AUT.1_1,AUT.8_1,3.0,0
AUT.2_1,AUT.5_1,2855.0,0
AUT.2_1,AUT.6_1,1636.0,0
AUT.2_1,AUT.4_1,503.0,0
AUT.2_1,AUT.7_1,151.0,0
AUT.2_1,AUT.1_1,36.0,0
AUT.2_1,AUT.3_1,195.0,0
AUT.2_1,AUT.9_1,82.0,0
AUT.2_1,AUT.8_1,24.0,0
AUT.3_1,AUT.9_1,11022.0,0
AUT.3_1,AUT.1_1,810.0,0
AUT.3_1,AUT.6_1,2355.0,0
AUT.3_1,AUT.4_1,1626.0,0
AUT.3_1,AUT.2_1,456.0,0
AUT.3_1,AUT.5_1,350.0,0
AUT.3_1,AUT.7_1,455.0,0
AUT.3_1,AUT.8_1,201.0,0
AUT.4_1,AUT.5_1,4682.0,0
AUT.4_1,AUT.6_1,4702.0,0
AUT.4_1,AUT.3_1,2668.0,0
AUT.4_1,AUT.2_1,488.0,0
AUT.4_1,AUT.9_1,1109.0,0
AUT.4_1,AUT.1_1,144.0,0
AUT.4_1,AUT.7_1,258.0,0
AUT.4_1,AUT.8_1,127.0,0
AUT.5_1,AUT.2_1,2947.0,0
AUT.5_1,AUT.4_1,1562.0,0
AUT.5_1,AUT.7_1,270.0,0
AUT.5_1,AUT.6_1,243.0,0
AUT.5_1,AUT.3_1,213.0,0
AUT.5_1,AUT.8_1,37.0,0
AUT.5_1,AUT.1_1,21.0,0
AUT.5_1,AUT.9_1,90.0,0
AUT.6_1,AUT.2_1,4432.0,0
AUT.6_1,AUT.1_1,1398.0,0
AUT.6_1,AUT.4_1,3463.0,0
AUT.6_1,AUT.3_1,1629.0,0
AUT.6_1,AUT.5_1,303.0,0
AUT.6_1,AUT.9_1,701.0,0
AUT.6_1,AUT.7_1,212.0,0
AUT.6_1,AUT.8_1,100.0,0
AUT.7_1,AUT.8_1,2755.0,0
AUT.7_1,AUT.5_1,1775.0,0
AUT.7_1,AUT.2_1,904.0,0
AUT.7_1,AUT.4_1,1035.0,0
AUT.7_1,AUT.6_1,390.0,0
AUT.7_1,AUT.3_1,310.0,0
AUT.7_1,AUT.1_1,33.0,0
AUT.7_1,AUT.9_1,189.0,0
AUT.8_1,AUT.7_1,2649.0,0
AUT.8_1,AUT.5_1,442.0,0
AUT.8_1,AUT.2_1,223.0,0
AUT.8_1,AUT.4_1,255.0,0
AUT.8_1,AUT.6_1,106.0,0
AUT.8_1,AUT.3_1,96.0,0
AUT.8_1,AUT.9_1,47.0,0
AUT.8_1,AUT.1_1,3.0,0
AUT.9_1,AUT.3_1,10992.0,0
AUT.9_1,AUT.1_1,899.0,0
AUT.9_1,AUT.6_1,2636.0,0
AUT.9_1,AUT.4_1,1754.0,0
AUT.9_1,AUT.2_1,469.0,0
AUT.9_1,AUT.5_1,424.0,0
AUT.9_1,AUT.7_1,472.0,0
AUT.9_1,AUT.8_1,215.0,0
AUT.1_1,AUT.1_1,291762.85396858776,0
AUT.2_1,AUT.2_1,542718.4422508646,0
AUT.3_1,AUT.3_1,1710303.3680999707,0
AUT.4_1,AUT.4_1,1403625.5368154612,0
AUT.5_1,AUT.5_1,532960.6894624603,0
AUT.6_1,AUT.6_1,1211604.3491086257,0
AUT.7_1,AUT.7_1,731777.9131909332,0
AUT.8_1,AUT.8_1,378338.56773815124,0
AUT.9_1,AUT.9_1,1768302.5945615415,0
