origin,destination,flow,time
AZE.1_1,AZE.3_1,42190.0,0
AZE.1_1,AZE.8_1,56487.0,0
AZE.1_1,AZE.2_1,119242.0,0
AZE.1_1,AZE.6_1,32500.0,0
AZE.1_1,AZE.9_1,16783.0,0
AZE.1_1,AZE.10_1,15050.0,0
AZE.1_1,AZE.5_1,5532.0,0
AZE.1_1,AZE.4_1,22434.0,0
AZE.1_1,AZE.7_1,6266.0,0
AZE.2_1,AZE.3_1,34599.0,0
AZE.2_1,AZE.10_1,47127.0,0
AZE.2_1,AZE.1_1,86131.0,0
AZE.2_1,AZE.6_1,10623.0,0
AZE.2_1,AZE.8_1,5175.0,0
AZE.2_1,AZE.5_1,2055.0,0
AZE.2_1,AZE.9_1,4671.0,0
AZE.2_1,AZE.4_1,7631.0,0
AZE.2_1,AZE.7_1,2102.0,0
AZE.3_1,AZE.8_1,20916.0,0
AZE.3_1,AZE.2_1,8720.0,0
AZE.3_1,AZE.1_1,1912.0,0
AZE.3_1,AZE.9_1,149.0,0
AZE.3_1,AZE.10_1,152.0,0
AZE.3_1,AZE.6_1,155.0,0
AZE.3_1,AZE.5_1,53.0,0
AZE.3_1,AZE.4_1,154.0,0
AZE.3_1,AZE.7_1,46.0,0
AZE.4_1,AZE.9_1,47430.0,0
AZE.4_1,AZE.5_1,11486.0,0
AZE.4_1,AZE.10_1,19990.0,0
AZE.4_1,AZE.7_1,8654.0,0
AZE.4_1,AZE.2_1,21973.0,0
AZE.4_1,AZE.3_1,1988.0,0
AZE.4_1,AZE.8_1,3042.0,0
AZE.4_1,AZE.1_1,10420.0,0
AZE.4_1,AZE.6_1,1782.0,0
AZE.5_1,AZE.10_1,19000.0,0
AZE.5_1,AZE.7_1,2362.0,0
AZE.5_1,AZE.4_1,2572.0,0
AZE.5_1,AZE.2_1,1130.0,0
AZE.5_1,AZE.9_1,170.0,0
AZE.5_1,AZE.3_1,82.0,0
AZE.5_1,AZE.6_1,183.0,0
AZE.5_1,AZE.8_1,71.0,0
AZE.5_1,AZE.1_1,277.0,0
AZE.6_1,AZE.2_1,70023.0,0
AZE.6_1,AZE.10_1,5957.0,0
AZE.6_1,AZE.1_1,12707.0,0
AZE.6_1,AZE.3_1,639.0,0
AZE.6_1,AZE.5_1,494.0,0
AZE.6_1,AZE.8_1,940.0,0
AZE.6_1,AZE.7_1,576.0,0
AZE.6_1,AZE.9_1,820.0,0
AZE.6_1,AZE.4_1,1412.0,0
AZE.7_1,AZE.5_1,16736.0,0
AZE.7_1,AZE.10_1,13496.0,0
AZE.7_1,AZE.4_1,7125.0,0
AZE.7_1,AZE.2_1,3187.0,0
AZE.7_1,AZE.9_1,493.0,0
AZE.7_1,AZE.6_1,535.0,0
AZE.7_1,AZE.3_1,164.0,0
AZE.7_1,AZE.8_1,235.0,0
AZE.7_1,AZE.1_1,841.0,0
AZE.8_1,AZE.3_1,21300.0,0
AZE.8_1,AZE.1_1,28483.0,0
AZE.8_1,AZE.9_1,1052.0,0
AZE.8_1,AZE.2_1,2019.0,0
AZE.8_1,AZE.10_1,408.0,0
AZE.8_1,AZE.4_1,609.0,0
AZE.8_1,AZE.5_1,104.0,0
AZE.8_1,AZE.6_1,319.0,0
AZE.8_1,AZE.7_1,131.0,0
AZE.9_1,AZE.4_1,44322.0,0
AZE.9_1,AZE.8_1,4853.0,0
AZE.9_1,AZE.3_1,1935.0,0
AZE.9_1,AZE.2_1,6364.0,0
AZE.9_1,AZE.10_1,1039.0,0
AZE.9_1,AZE.5_1,343.0,0
AZE.9_1,AZE.1_1,2541.0,0
AZE.9_1,AZE.7_1,217.0,0
AZE.9_1,AZE.6_1,400.0,0
AZE.10_1,AZE.5_1,19763.0,0
AZE.10_1,AZE.2_1,33977.0,0
AZE.10_1,AZE.7_1,1926.0,0
AZE.10_1,AZE.4_1,3720.0,0
AZE.10_1,AZE.3_1,634.0,0
AZE.10_1,AZE.9_1,1041.0,0
AZE.10_1,AZE.6_1,1124.0,0
AZE.10_1,AZE.8_1,507.0,0
AZE.10_1,AZE.1_1,2043.0,0
AZE.1_1,AZE.1_1,2848364.4764289423,0
AZE.2_1,AZE.2_1,1801026.0588879902,0
AZE.3_1,AZE.3_1,290313.34161386493,0
AZE.4_1,AZE.4_1,1140893.151577164,0
AZE.5_1,AZE.5_1,232627.4306126478,0
AZE.6_1,AZE.6_1,842116.4673233446,0
AZE.7_1,AZE.7_1,385308.75829390914,0
AZE.8_1,AZE.8_1,489825.1457426547,0
AZE.9_1,AZE.9_1,558129.0509122923,0
AZE.10_1,AZE.10_1,582616.110243988,0
