origin,destination,flow,time
BEN.1.1_1,BEN.2.3_1,18696.0,0
BEN.1.1_1,BEN.1.3_1,16782.0,0
BEN.1.1_1,BEN.1.2_1,5111.0,0
BEN.1.1_1,BEN.1.4_1,2409.0,0
BEN.1.1_1,BEN.1.5_1,4121.0,0
BEN.1.1_1,BEN.2.8_1,1269.0,0
BEN.1.1_1,BEN.4.7_1,1359.0,0
BEN.1.1_1,BEN.4.1_1,1573.0,0
BEN.1.1_1,BEN.1.6_1,994.0,0
BEN.1.1_1,BEN.2.7_1,699.0,0
BEN.1.1_1,BEN.2.4_1,864.0,0
BEN.1.1_1,BEN.2.9_1,659.0,0
BEN.1.1_1,BEN.4.2_1,1048.0,0
BEN.1.1_1,BEN.2.5_1,498.0,0
BEN.1.1_1,BEN.2.6_1,466.0,0
BEN.1.1_1,BEN.4.4_1,621.0,0
BEN.1.1_1,BEN.4.3_1,443.0,0
BEN.1.1_1,BEN.2.1_1,260.0,0
BEN.1.1_1,BEN.6.2_1,196.0,0
BEN.1.1_1,BEN.2.2_1,172.0,0
BEN.1.1_1,BEN.6.3_1,636.0,0
BEN.1.1_1,BEN.4.6_1,201.0,0
BEN.1.1_1,BEN.6.4_1,158.0,0
BEN.1.1_1,BEN.4.5_1,480.0,0
BEN.1.1_1,BEN.4.8_1,377.0,0
BEN.1.1_1,BEN.6.1_1,197.0,0
BEN.1.1_1,BEN.5.4_1,151.0,0
BEN.1.1_1,BEN.5.1_1,121.0,0
BEN.1.1_1,BEN.5.3_1,129.0,0
BEN.1.1_1,BEN.5.6_1,88.0,0
BEN.1.1_1,BEN.5.5_1,125.0,0
BEN.1.1_1,BEN.5.2_1,93.0,0
BEN.1.1_1,BEN.11.3_1,141.0,0
BEN.1.1_1,BEN.12.5_1,99.0,0
BEN.1.1_1,BEN.12.4_1,37.0,0
BEN.1.1_1,BEN.12.8_1,37.0,0
BEN.1.1_1,BEN.12.7_1,105.0,0
BEN.1.1_1,BEN.12.3_1,115.0,0
BEN.1.1_1,BEN.12.1_1,50.0,0
BEN.1.1_1,BEN.7.1_1,95.0,0
BEN.1.1_1,BEN.12.6_1,30.0,0
BEN.1.1_1,BEN.11.4_1,64.0,0
BEN.1.1_1,BEN.12.2_1,41.0,0
BEN.1.1_1,BEN.12.9_1,43.0,0
BEN.1.1_1,BEN.7.4_1,50.0,0
BEN.1.1_1,BEN.11.1_1,51.0,0
BEN.1.1_1,BEN.10.6_1,22.0,0
BEN.1.1_1,BEN.7.6_1,43.0,0
BEN.1.1_1,BEN.7.5_1,53.0,0
BEN.1.1_1,BEN.3.6_1,21.0,0
BEN.1.1_1,BEN.7.2_1,59.0,0
BEN.1.1_1,BEN.11.5_1,52.0,0
BEN.1.1_1,BEN.3.8_1,57.0,0
BEN.1.1_1,BEN.7.3_1,33.0,0
BEN.1.1_1,BEN.10.2_1,34.0,0
BEN.1.1_1,BEN.3.2_1,49.0,0
BEN.1.1_1,BEN.11.2_1,40.0,0
BEN.1.1_1,BEN.9.2_1,37.0,0
BEN.1.1_1,BEN.9.1_1,53.0,0
BEN.1.1_1,BEN.10.7_1,37.0,0
BEN.1.1_1,BEN.10.4_1,50.0,0
BEN.1.1_1,BEN.10.5_1,33.0,0
BEN.1.1_1,BEN.3.7_1,15.0,0
BEN.1.1_1,BEN.9.5_1,23.0,0
BEN.1.1_1,BEN.3.1_1,223.0,0
BEN.1.1_1,BEN.3.5_1,35.0,0
BEN.1.1_1,BEN.10.1_1,25.0,0
BEN.1.1_1,BEN.10.8_1,45.0,0
BEN.1.1_1,BEN.10.3_1,10.0,0
BEN.1.1_1,BEN.3.3_1,15.0,0
BEN.1.1_1,BEN.10.9_1,55.0,0
BEN.1.1_1,BEN.9.3_1,19.0,0
BEN.1.1_1,BEN.3.4_1,45.0,0
BEN.1.1_1,BEN.8.1_1,82.0,0
BEN.1.1_1,BEN.9.4_1,13.0,0
BEN.1.2_1,BEN.4.1_1,14888.0,0
BEN.1.2_1,BEN.1.3_1,6368.0,0
BEN.1.2_1,BEN.4.7_1,1261.0,0
BEN.1.2_1,BEN.1.1_1,2086.0,0
BEN.1.2_1,BEN.2.3_1,499.0,0
BEN.1.2_1,BEN.1.6_1,368.0,0
BEN.1.2_1,BEN.4.2_1,549.0,0
BEN.1.2_1,BEN.2.7_1,191.0,0
BEN.1.2_1,BEN.4.4_1,278.0,0
BEN.1.2_1,BEN.2.4_1,173.0,0
BEN.1.2_1,BEN.1.5_1,220.0,0
BEN.1.2_1,BEN.4.3_1,140.0,0
BEN.1.2_1,BEN.1.4_1,84.0,0
BEN.1.2_1,BEN.4.6_1,67.0,0
BEN.1.2_1,BEN.2.9_1,100.0,0
BEN.1.2_1,BEN.2.8_1,59.0,0
BEN.1.2_1,BEN.2.6_1,57.0,0
