origin,destination,flow,time
BFA.1_1,BFA.9_1,217222.0,0
BFA.1_1,BFA.5_1,47321.0,0
BFA.1_1,BFA.10_1,25291.0,0
BFA.1_1,BFA.7_1,34227.0,0
BFA.1_1,BFA.13_1,4558.0,0
BFA.1_1,BFA.11_1,3917.0,0
BFA.1_1,BFA.6_1,3200.0,0
BFA.1_1,BFA.2_1,3678.0,0
BFA.1_1,BFA.4_1,4637.0,0
BFA.1_1,BFA.3_1,3864.0,0
BFA.1_1,BFA.12_1,2820.0,0
BFA.1_1,BFA.8_1,3238.0,0
BFA.2_1,BFA.9_1,150000.0,0
BFA.2_1,BFA.13_1,14189.0,0
BFA.2_1,BFA.1_1,16591.0,0
BFA.2_1,BFA.5_1,8211.0,0
BFA.2_1,BFA.6_1,3074.0,0
BFA.2_1,BFA.7_1,8575.0,0
BFA.2_1,BFA.10_1,2039.0,0
BFA.2_1,BFA.11_1,1018.0,0
BFA.2_1,BFA.3_1,1582.0,0
BFA.2_1,BFA.4_1,1247.0,0
BFA.2_1,BFA.12_1,934.0,0
BFA.2_1,BFA.8_1,1041.0,0
BFA.7_1,BFA.11_1,170803.0,0
BFA.7_1,BFA.6_1,113675.0,0
BFA.7_1,BFA.5_1,146266.0,0
BFA.7_1,BFA.4_1,94275.0,0
BFA.7_1,BFA.10_1,60380.0,0
BFA.7_1,BFA.3_1,48545.0,0
BFA.7_1,BFA.1_1,40839.0,0
BFA.7_1,BFA.12_1,24664.0,0
BFA.7_1,BFA.8_1,27268.0,0
BFA.7_1,BFA.13_1,10508.0,0
BFA.7_1,BFA.9_1,23737.0,0
BFA.7_1,BFA.2_1,9197.0,0
BFA.3_1,BFA.6_1,115755.0,0
BFA.3_1,BFA.8_1,98562.0,0
BFA.3_1,BFA.11_1,21037.0,0
BFA.3_1,BFA.7_1,45700.0,0
BFA.3_1,BFA.4_1,9118.0,0
BFA.3_1,BFA.5_1,6649.0,0
BFA.3_1,BFA.12_1,4477.0,0
BFA.3_1,BFA.10_1,3796.0,0
BFA.3_1,BFA.13_1,1925.0,0
BFA.3_1,BFA.1_1,3489.0,0
BFA.3_1,BFA.9_1,3581.0,0
BFA.3_1,BFA.2_1,1348.0,0
BFA.4_1,BFA.11_1,119451.0,0
BFA.4_1,BFA.12_1,80436.0,0
BFA.4_1,BFA.7_1,72240.0,0
BFA.4_1,BFA.10_1,11525.0,0
BFA.4_1,BFA.6_1,4717.0,0
BFA.4_1,BFA.3_1,7368.0,0
BFA.4_1,BFA.5_1,5757.0,0
BFA.4_1,BFA.8_1,5278.0,0
BFA.4_1,BFA.1_1,3967.0,0
BFA.4_1,BFA.13_1,1600.0,0
BFA.4_1,BFA.9_1,3617.0,0
BFA.4_1,BFA.2_1,1400.0,0
BFA.5_1,BFA.7_1,240745.0,0
BFA.5_1,BFA.6_1,12712.0,0
BFA.5_1,BFA.11_1,10187.0,0
BFA.5_1,BFA.1_1,15152.0,0
BFA.5_1,BFA.13_1,5243.0,0
BFA.5_1,BFA.10_1,7170.0,0
BFA.5_1,BFA.4_1,5909.0,0
BFA.5_1,BFA.3_1,4495.0,0
BFA.5_1,BFA.9_1,5104.0,0
BFA.5_1,BFA.2_1,1929.0,0
BFA.5_1,BFA.12_1,2212.0,0
BFA.5_1,BFA.8_1,2547.0,0
BFA.6_1,BFA.7_1,138998.0,0
BFA.6_1,BFA.11_1,4492.0,0
BFA.6_1,BFA.5_1,5388.0,0
BFA.6_1,BFA.3_1,3450.0,0
BFA.6_1,BFA.4_1,2482.0,0
BFA.6_1,BFA.10_1,1603.0,0
BFA.6_1,BFA.8_1,1558.0,0
BFA.6_1,BFA.13_1,609.0,0
BFA.6_1,BFA.1_1,1007.0,0
BFA.6_1,BFA.12_1,640.0,0
BFA.6_1,BFA.9_1,854.0,0
BFA.6_1,BFA.2_1,341.0,0
BFA.8_1,BFA.3_1,187155.0,0
BFA.8_1,BFA.11_1,43590.0,0
BFA.8_1,BFA.4_1,47841.0,0
BFA.8_1,BFA.6_1,15556.0,0
BFA.8_1,BFA.12_1,19119.0,0
BFA.8_1,BFA.7_1,30966.0,0
BFA.8_1,BFA.5_1,7310.0,0
BFA.8_1,BFA.10_1,5536.0,0
BFA.8_1,BFA.1_1,5461.0,0
BFA.8_1,BFA.13_1,2127.0,0
BFA.8_1,BFA.9_1,4826.0,0
BFA.8_1,BFA.2_1,1846.0,0
BFA.9_1,BFA.2_1,160236.0,0
BFA.9_1,BFA.13_1,71380.0,0
BFA.9_1,BFA.1_1,82440.0,0
BFA.9_1,BFA.5_1,40543.0,0
BFA.9_1,BFA.10_1,25063.0,0
BFA.9_1,BFA.7_1,38737.0,0
BFA.9_1,BFA.6_1,5294.0,0
BFA.9_1,BFA.11_1,4891.0,0
BFA.9_1,BFA.4_1,7934.0,0
BFA.9_1,BFA.3_1,6395.0,0
BFA.9_1,BFA.12_1,4726.0,0
BFA.9_1,BFA.8_1,5466.0,0
BFA.10_1,BFA.4_1,163257.0,0
BFA.10_1,BFA.7_1,84361.0,0
BFA.10_1,BFA.1_1,13692.0,0
BFA.10_1,BFA.11_1,4667.0,0
BFA.10_1,BFA.5_1,6893.0,0
BFA.10_1,BFA.12_1,4536.0,0
BFA.10_1,BFA.6_1,2220.0,0
BFA.10_1,BFA.3_1,3619.0,0
BFA.10_1,BFA.9_1,4131.0,0
BFA.10_1,BFA.13_1,1301.0,0
BFA.10_1,BFA.8_1,2432.0,0
BFA.10_1,BFA.2_1,1159.0,0
BFA.11_1,BFA.7_1,144979.0,0
BFA.11_1,BFA.4_1,7927.0,0
BFA.11_1,BFA.6_1,2649.0,0
BFA.11_1,BFA.5_1,3773.0,0
BFA.11_1,BFA.3_1,2681.0,0
BFA.11_1,BFA.10_1,1826.0,0
BFA.11_1,BFA.12_1,1249.0,0
BFA.11_1,BFA.8_1,1425.0,0
BFA.11_1,BFA.1_1,1099.0,0
BFA.11_1,BFA.13_1,428.0,0
BFA.11_1,BFA.9_1,992.0,0
BFA.11_1,BFA.2_1,398.0,0
BFA.12_1,BFA.4_1,157422.0,0
BFA.12_1,BFA.11_1,29983.0,0
BFA.12_1,BFA.10_1,28970.0,0
BFA.12_1,BFA.7_1,31895.0,0
BFA.12_1,BFA.8_1,7162.0,0
BFA.12_1,BFA.3_1,4579.0,0
BFA.12_1,BFA.6_1,1924.0,0
BFA.12_1,BFA.5_1,3080.0,0
BFA.12_1,BFA.1_1,2893.0,0
BFA.12_1,BFA.13_1,1126.0,0
BFA.12_1,BFA.9_1,2620.0,0
BFA.12_1,BFA.2_1,1037.0,0
BFA.13_1,BFA.2_1,97932.0,0
BFA.13_1,BFA.9_1,43594.0,0
BFA.13_1,BFA.5_1,10079.0,0
BFA.13_1,BFA.1_1,6285.0,0
BFA.13_1,BFA.6_1,1955.0,0
BFA.13_1,BFA.7_1,5898.0,0
BFA.13_1,BFA.11_1,785.0,0
BFA.13_1,BFA.10_1,1219.0,0
BFA.13_1,BFA.3_1,1021.0,0
BFA.13_1,BFA.4_1,855.0,0
BFA.13_1,BFA.8_1,850.0,0
BFA.13_1,BFA.12_1,558.0,0
BFA.1_1,BFA.1_1,1415892.1564216642,0
BFA.2_1,BFA.2_1,834005.796540264,0
BFA.7_1,BFA.7_1,3080628.5645660404,0
BFA.3_1,BFA.3_1,1261748.761078688,0
BFA.4_1,BFA.4_1,1269427.0494615042,0
BFA.5_1,BFA.5_1,1253622.309902952,0
BFA.6_1,BFA.6_1,645690.2174418033,0
BFA.8_1,BFA.8_1,1485332.8151402161,0
BFA.9_1,BFA.9_1,1812422.3529998802,0
BFA.10_1,BFA.10_1,1169075.4869697602,0
BFA.11_1,BFA.11_1,677706.53399086,0
BFA.12_1,BFA.12_1,1090766.371721264,0
BFA.13_1,BFA.13_1,684127.3135864256,0
