origin,destination,flow,time
BHR.1_1,BHR.2_1,24855.0,0
BHR.1_1,BHR.3_1,5110.0,0
BHR.1_1,BHR.4_1,4431.0,0
BHR.1_1,BHR.5_1,1672.0,0
BHR.2_1,BHR.1_1,25069.0,0
BHR.2_1,BHR.4_1,7082.0,0
BHR.2_1,BHR.3_1,2973.0,0
BHR.2_1,BHR.5_1,1739.0,0
BHR.3_1,BHR.1_1,14610.0,0
BHR.3_1,BHR.2_1,3225.0,0
BHR.3_1,BHR.4_1,1089.0,0
BHR.3_1,BHR.5_1,397.0,0
BHR.4_1,BHR.2_1,19971.0,0
BHR.4_1,BHR.1_1,5375.0,0
BHR.4_1,BHR.3_1,1561.0,0
BHR.4_1,BHR.5_1,878.0,0
BHR.5_1,BHR.2_1,11992.0,0
BHR.5_1,BHR.4_1,1748.0,0
BHR.5_1,BHR.1_1,978.0,0
BHR.5_1,BHR.3_1,313.0,0
BHR.1_1,BHR.1_1,324617.73815917986,0
BHR.2_1,BHR.2_1,331774.6047637941,0
BHR.3_1,BHR.3_1,173890.6661865231,0
BHR.4_1,BHR.4_1,250073.4083175657,0
BHR.5_1,BHR.5_1,135279.440060967,0
