origin,destination,flow,time
BHS.1_1,BHS.10_1,1.0,0
BHS.1_1,BHS.19_1,1.0,0
BHS.1_1,BHS.17_1,3.0,0
BHS.1_1,BHS.11_1,1.0,0
BHS.2_1,BHS.28_1,5.0,0
BHS.2_1,BHS.21_1,1.0,0
BHS.3_1,BHS.23_1,9.0,0
BHS.3_1,BHS.32_1,4.0,0
BHS.4_1,BHS.12_1,8.0,0
BHS.4_1,BHS.21_1,1.0,0
BHS.5_1,BHS.30_1,11.0,0
BHS.5_1,BHS.12_1,1.0,0
BHS.5_1,BHS.21_1,1.0,0
BHS.6_1,BHS.15_1,6.0,0
BHS.6_1,BHS.20_1,2.0,0
BHS.6_1,BHS.28_1,43.0,0
BHS.6_1,BHS.22_1,3.0,0
BHS.6_1,BHS.11_1,22.0,0
BHS.6_1,BHS.32_1,7.0,0
BHS.6_1,BHS.9_1,1.0,0
BHS.6_1,BHS.21_1,13.0,0
BHS.7_1,BHS.18_1,5.0,0
BHS.7_1,BHS.23_1,4.0,0
BHS.7_1,BHS.29_1,2.0,0
BHS.7_1,BHS.21_1,3.0,0
BHS.8_1,BHS.30_1,8.0,0
BHS.8_1,BHS.24_1,3.0,0
BHS.9_1,BHS.32_1,9.0,0
BHS.9_1,BHS.11_1,1.0,0
BHS.10_1,BHS.1_1,3.0,0
BHS.11_1,BHS.32_1,128.0,0
BHS.11_1,BHS.9_1,4.0,0
BHS.11_1,BHS.22_1,8.0,0
BHS.11_1,BHS.20_1,1.0,0
BHS.11_1,BHS.15_1,2.0,0
BHS.11_1,BHS.6_1,23.0,0
BHS.11_1,BHS.28_1,8.0,0
BHS.11_1,BHS.2_1,2.0,0
BHS.11_1,BHS.14_1,3.0,0
BHS.11_1,BHS.21_1,73.0,0
BHS.11_1,BHS.27_1,1.0,0
BHS.12_1,BHS.4_1,13.0,0
BHS.12_1,BHS.5_1,14.0,0
BHS.12_1,BHS.17_1,17.0,0
BHS.12_1,BHS.30_1,9.0,0
BHS.12_1,BHS.27_1,3.0,0
BHS.12_1,BHS.8_1,1.0,0
BHS.12_1,BHS.29_1,2.0,0
BHS.12_1,BHS.18_1,1.0,0
BHS.12_1,BHS.24_1,6.0,0
BHS.12_1,BHS.10_1,1.0,0
BHS.12_1,BHS.21_1,29.0,0
BHS.13_1,BHS.11_1,1.0,0
BHS.14_1,BHS.31_1,1.0,0
BHS.14_1,BHS.24_1,5.0,0
BHS.14_1,BHS.21_1,1.0,0
BHS.15_1,BHS.22_1,2.0,0
BHS.15_1,BHS.6_1,1.0,0
BHS.16_1,BHS.19_1,2.0,0
BHS.16_1,BHS.1_1,3.0,0
BHS.16_1,BHS.10_1,1.0,0
BHS.16_1,BHS.27_1,1.0,0
BHS.16_1,BHS.12_1,1.0,0
BHS.17_1,BHS.26_1,1.0,0
BHS.17_1,BHS.12_1,22.0,0
BHS.17_1,BHS.21_1,5.0,0
BHS.18_1,BHS.29_1,6.0,0
BHS.19_1,BHS.1_1,2.0,0
BHS.20_1,BHS.28_1,2.0,0
BHS.21_1,BHS.31_1,13.0,0
BHS.21_1,BHS.23_1,126.0,0
BHS.21_1,BHS.2_1,21.0,0
BHS.21_1,BHS.14_1,23.0,0
BHS.21_1,BHS.7_1,48.0,0
BHS.21_1,BHS.24_1,64.0,0
BHS.21_1,BHS.18_1,22.0,0
BHS.21_1,BHS.28_1,206.0,0
BHS.21_1,BHS.30_1,84.0,0
BHS.21_1,BHS.8_1,25.0,0
BHS.21_1,BHS.29_1,41.0,0
BHS.21_1,BHS.20_1,12.0,0
BHS.21_1,BHS.4_1,28.0,0
BHS.21_1,BHS.6_1,306.0,0
BHS.21_1,BHS.15_1,4.0,0
BHS.21_1,BHS.11_1,645.0,0
BHS.21_1,BHS.22_1,70.0,0
BHS.21_1,BHS.5_1,34.0,0
BHS.21_1,BHS.3_1,37.0,0
BHS.21_1,BHS.9_1,26.0,0
BHS.21_1,BHS.12_1,187.0,0
BHS.21_1,BHS.32_1,524.0,0
