origin,destination,flow,time
BIH.1.1_1,BIH.3.2_1,34857.0,0
BIH.1.1_1,BIH.2.5_1,4893.0,0
BIH.1.1_1,BIH.2.7_1,17302.0,0
BIH.1.1_1,BIH.3.3_1,2066.0,0
BIH.1.1_1,BIH.3.7_1,1066.0,0
BIH.1.1_1,BIH.2.10_1,2135.0,0
BIH.1.1_1,BIH.3.5_1,313.0,0
BIH.1.1_1,BIH.2.6_1,1277.0,0
BIH.1.1_1,BIH.2.3_1,520.0,0
BIH.1.1_1,BIH.3.1_1,825.0,0
BIH.1.1_1,BIH.2.1_1,30.0,0
BIH.1.1_1,BIH.3.4_1,45.0,0
BIH.1.1_1,BIH.2.4_1,210.0,0
BIH.1.1_1,BIH.2.2_1,69.0,0
BIH.1.1_1,BIH.2.9_1,85.0,0
BIH.1.1_1,BIH.2.8_1,210.0,0
BIH.1.1_1,BIH.3.6_1,35.0,0
BIH.2.1_1,BIH.3.4_1,8339.0,0
BIH.2.1_1,BIH.3.5_1,2417.0,0
BIH.2.1_1,BIH.2.6_1,1621.0,0
BIH.2.1_1,BIH.3.7_1,93.0,0
BIH.2.1_1,BIH.3.6_1,44.0,0
BIH.2.1_1,BIH.2.4_1,115.0,0
BIH.2.1_1,BIH.2.10_1,98.0,0
BIH.2.1_1,BIH.2.7_1,57.0,0
BIH.2.1_1,BIH.2.3_1,31.0,0
BIH.2.1_1,BIH.2.9_1,10.0,0
BIH.2.1_1,BIH.3.2_1,11.0,0
BIH.2.1_1,BIH.1.1_1,8.0,0
BIH.2.1_1,BIH.3.3_1,8.0,0
BIH.2.1_1,BIH.2.5_1,1.0,0
BIH.2.1_1,BIH.2.2_1,2.0,0
BIH.2.1_1,BIH.3.1_1,21.0,0
BIH.2.1_1,BIH.2.8_1,6.0,0
BIH.2.2_1,BIH.2.3_1,35408.0,0
BIH.2.2_1,BIH.2.9_1,2534.0,0
BIH.2.2_1,BIH.3.1_1,4981.0,0
BIH.2.2_1,BIH.2.8_1,905.0,0
BIH.2.2_1,BIH.2.4_1,463.0,0
BIH.2.2_1,BIH.2.10_1,566.0,0
BIH.2.2_1,BIH.2.6_1,384.0,0
BIH.2.2_1,BIH.3.3_1,120.0,0
BIH.2.2_1,BIH.2.7_1,264.0,0
BIH.2.2_1,BIH.3.6_1,40.0,0
BIH.2.2_1,BIH.3.5_1,36.0,0
BIH.2.2_1,BIH.2.1_1,10.0,0
BIH.2.2_1,BIH.3.4_1,24.0,0
BIH.2.2_1,BIH.2.5_1,15.0,0
BIH.2.2_1,BIH.1.1_1,45.0,0
BIH.2.2_1,BIH.3.7_1,40.0,0
BIH.2.2_1,BIH.3.2_1,42.0,0
BIH.2.3_1,BIH.2.10_1,87888.0,0
BIH.2.3_1,BIH.2.2_1,7302.0,0
BIH.2.3_1,BIH.2.6_1,19650.0,0
BIH.2.3_1,BIH.2.4_1,5696.0,0
BIH.2.3_1,BIH.3.1_1,8207.0,0
BIH.2.3_1,BIH.2.9_1,1037.0,0
BIH.2.3_1,BIH.2.7_1,3536.0,0
BIH.2.3_1,BIH.3.3_1,1030.0,0
BIH.2.3_1,BIH.3.5_1,401.0,0
BIH.2.3_1,BIH.2.1_1,139.0,0
BIH.2.3_1,BIH.1.1_1,612.0,0
BIH.2.3_1,BIH.3.4_1,213.0,0
BIH.2.3_1,BIH.3.7_1,530.0,0
BIH.2.3_1,BIH.2.5_1,189.0,0
BIH.2.3_1,BIH.3.6_1,229.0,0
BIH.2.3_1,BIH.2.8_1,962.0,0
BIH.2.3_1,BIH.3.2_1,369.0,0
BIH.2.4_1,BIH.2.9_1,38328.0,0
BIH.2.4_1,BIH.3.6_1,14931.0,0
BIH.2.4_1,BIH.2.6_1,39139.0,0
BIH.2.4_1,BIH.2.3_1,8960.0,0
BIH.2.4_1,BIH.2.1_1,618.0,0
BIH.2.4_1,BIH.3.4_1,1035.0,0
BIH.2.4_1,BIH.3.5_1,1649.0,0
BIH.2.4_1,BIH.2.10_1,5746.0,0
BIH.2.4_1,BIH.2.2_1,951.0,0
BIH.2.4_1,BIH.3.7_1,1204.0,0
BIH.2.4_1,BIH.2.7_1,3367.0,0
BIH.2.4_1,BIH.3.1_1,2648.0,0
BIH.2.4_1,BIH.3.3_1,597.0,0
BIH.2.4_1,BIH.1.1_1,436.0,0
BIH.2.4_1,BIH.3.2_1,369.0,0
BIH.2.4_1,BIH.2.5_1,130.0,0
BIH.2.4_1,BIH.2.8_1,724.0,0
BIH.2.5_1,BIH.1.1_1,17297.0,0
BIH.2.5_1,BIH.3.3_1,3124.0,0
BIH.2.5_1,BIH.2.7_1,1706.0,0
BIH.2.5_1,BIH.3.2_1,177.0,0
BIH.2.5_1,BIH.2.10_1,339.0,0
BIH.2.5_1,BIH.3.7_1,69.0,0
BIH.2.5_1,BIH.3.1_1,184.0,0
BIH.2.5_1,BIH.2.3_1,56.0,0
BIH.2.5_1,BIH.3.5_1,20.0,0
BIH.2.5_1,BIH.2.6_1,73.0,0
BIH.2.5_1,BIH.2.1_1,3.0,0
BIH.2.5_1,BIH.3.4_1,9.0,0
BIH.2.5_1,BIH.2.2_1,10.0,0
BIH.2.5_1,BIH.2.8_1,21.0,0
