origin,destination,flow,time
BLZ.1_1,BLZ.4_1,27601.0,0
BLZ.1_1,BLZ.3_1,13406.0,0
BLZ.1_1,BLZ.5_1,8353.0,0
BLZ.1_1,BLZ.2_1,10112.0,0
BLZ.1_1,BLZ.6_1,2737.0,0
BLZ.2_1,BLZ.5_1,19419.0,0
BLZ.2_1,BLZ.6_1,7299.0,0
BLZ.2_1,BLZ.1_1,12427.0,0
BLZ.2_1,BLZ.4_1,2578.0,0
BLZ.2_1,BLZ.3_1,1767.0,0
BLZ.3_1,BLZ.1_1,19859.0,0
BLZ.3_1,BLZ.4_1,1873.0,0
BLZ.3_1,BLZ.2_1,1590.0,0
BLZ.3_1,BLZ.5_1,498.0,0
BLZ.3_1,BLZ.6_1,321.0,0
BLZ.4_1,BLZ.1_1,21828.0,0
BLZ.4_1,BLZ.3_1,2097.0,0
BLZ.4_1,BLZ.2_1,2142.0,0
BLZ.4_1,BLZ.5_1,704.0,0
BLZ.4_1,BLZ.6_1,424.0,0
BLZ.5_1,BLZ.2_1,16817.0,0
BLZ.5_1,BLZ.6_1,1929.0,0
BLZ.5_1,BLZ.1_1,3029.0,0
BLZ.5_1,BLZ.4_1,644.0,0
BLZ.5_1,BLZ.3_1,484.0,0
BLZ.6_1,BLZ.5_1,10540.0,0
BLZ.6_1,BLZ.2_1,4029.0,0
BLZ.6_1,BLZ.1_1,1570.0,0
BLZ.6_1,BLZ.4_1,359.0,0
BLZ.6_1,BLZ.3_1,227.0,0
BLZ.1_1,BLZ.1_1,62209.510181479,0
BLZ.2_1,BLZ.2_1,43490.4943885803,0
BLZ.3_1,BLZ.3_1,24141.89041795395,0
BLZ.4_1,BLZ.4_1,27195.211216770098,0
BLZ.5_1,BLZ.5_1,22903.92215648295,0
BLZ.6_1,BLZ.6_1,16725.161303371202,0
