origin,destination,flow,time
BOL.1.1_1,BOL.8.12_1,71.0,0
BOL.1.1_1,BOL.1.3_1,19.0,0
BOL.1.1_1,BOL.1.9_1,5.0,0
BOL.1.1_1,BOL.1.10_1,2.0,0
BOL.1.1_1,BOL.1.7_1,3.0,0
BOL.1.1_1,BOL.8.1_1,2.0,0
BOL.1.2_1,BOL.1.4_1,124.0,0
BOL.1.2_1,BOL.1.5_1,40.0,0
BOL.1.2_1,BOL.1.6_1,71.0,0
BOL.1.2_1,BOL.1.9_1,12.0,0
BOL.1.2_1,BOL.1.8_1,4.0,0
BOL.1.2_1,BOL.9.2_1,7.0,0
BOL.1.2_1,BOL.9.4_1,4.0,0
BOL.1.2_1,BOL.7.8_1,4.0,0
BOL.1.2_1,BOL.1.1_1,1.0,0
BOL.1.2_1,BOL.9.3_1,10.0,0
BOL.1.2_1,BOL.1.3_1,2.0,0
BOL.1.2_1,BOL.9.5_1,1.0,0
BOL.1.2_1,BOL.8.12_1,1.0,0
BOL.1.2_1,BOL.1.7_1,3.0,0
BOL.1.2_1,BOL.7.15_1,1.0,0
BOL.1.2_1,BOL.7.13_1,1.0,0
BOL.1.2_1,BOL.8.1_1,3.0,0
BOL.1.2_1,BOL.4.17_1,1.0,0
BOL.1.3_1,BOL.1.10_1,174.0,0
BOL.1.3_1,BOL.1.1_1,39.0,0
BOL.1.3_1,BOL.1.7_1,182.0,0
BOL.1.3_1,BOL.1.9_1,2.0,0
BOL.1.3_1,BOL.2.11_1,4.0,0
BOL.1.3_1,BOL.7.6_1,5.0,0
BOL.1.3_1,BOL.8.12_1,1.0,0
BOL.1.3_1,BOL.7.8_1,5.0,0
BOL.1.3_1,BOL.1.4_1,1.0,0
BOL.1.3_1,BOL.7.5_1,3.0,0
BOL.1.3_1,BOL.8.4_1,3.0,0
BOL.1.3_1,BOL.7.15_1,8.0,0
BOL.1.3_1,BOL.7.4_1,1.0,0
BOL.1.3_1,BOL.1.6_1,1.0,0
BOL.1.3_1,BOL.1.2_1,1.0,0
BOL.1.3_1,BOL.7.12_1,1.0,0
BOL.1.3_1,BOL.5.4_1,1.0,0
BOL.1.3_1,BOL.2.1_1,1.0,0
BOL.1.3_1,BOL.8.1_1,10.0,0
BOL.1.3_1,BOL.2.6_1,1.0,0
BOL.1.3_1,BOL.2.13_1,2.0,0
BOL.1.3_1,BOL.8.6_1,1.0,0
BOL.1.3_1,BOL.4.17_1,1.0,0
BOL.1.3_1,BOL.4.9_1,1.0,0
BOL.1.4_1,BOL.1.2_1,116.0,0
BOL.1.4_1,BOL.1.6_1,67.0,0
BOL.1.4_1,BOL.1.9_1,8.0,0
BOL.1.4_1,BOL.7.8_1,12.0,0
BOL.1.4_1,BOL.1.10_1,4.0,0
BOL.1.4_1,BOL.1.8_1,6.0,0
BOL.1.4_1,BOL.7.6_1,2.0,0
BOL.1.4_1,BOL.1.3_1,1.0,0
BOL.1.4_1,BOL.7.10_1,3.0,0
BOL.1.4_1,BOL.9.4_1,2.0,0
BOL.1.4_1,BOL.1.7_1,4.0,0
BOL.1.4_1,BOL.7.15_1,1.0,0
BOL.1.4_1,BOL.9.3_1,1.0,0
BOL.1.4_1,BOL.7.13_1,1.0,0
BOL.1.4_1,BOL.7.2_1,1.0,0
BOL.1.5_1,BOL.1.2_1,110.0,0
BOL.1.5_1,BOL.9.5_1,66.0,0
BOL.1.5_1,BOL.9.2_1,1.0,0
BOL.1.5_1,BOL.1.9_1,1.0,0
BOL.1.5_1,BOL.1.8_1,3.0,0
BOL.1.5_1,BOL.9.3_1,1.0,0
BOL.1.5_1,BOL.8.3_1,1.0,0
BOL.1.5_1,BOL.8.12_1,1.0,0
BOL.1.5_1,BOL.8.4_1,1.0,0
BOL.1.5_1,BOL.1.7_1,2.0,0
BOL.1.5_1,BOL.8.1_1,3.0,0
BOL.1.5_1,BOL.2.12_1,1.0,0
BOL.1.5_1,BOL.2.7_1,1.0,0
BOL.1.5_1,BOL.4.17_1,1.0,0
BOL.1.6_1,BOL.1.4_1,190.0,0
BOL.1.6_1,BOL.1.8_1,144.0,0
BOL.1.6_1,BOL.7.8_1,130.0,0
BOL.1.6_1,BOL.7.10_1,81.0,0
BOL.1.6_1,BOL.1.2_1,29.0,0
BOL.1.6_1,BOL.9.4_1,40.0,0
BOL.1.6_1,BOL.7.6_1,28.0,0
BOL.1.6_1,BOL.1.9_1,12.0,0
BOL.1.6_1,BOL.1.10_1,10.0,0
BOL.1.6_1,BOL.9.3_1,52.0,0
BOL.1.6_1,BOL.9.2_1,7.0,0
BOL.1.6_1,BOL.7.13_1,12.0,0
BOL.1.6_1,BOL.7.15_1,19.0,0
BOL.1.6_1,BOL.9.6_1,3.0,0
BOL.1.6_1,BOL.1.3_1,3.0,0
BOL.1.6_1,BOL.7.2_1,5.0,0
BOL.1.6_1,BOL.1.7_1,8.0,0
BOL.1.6_1,BOL.7.9_1,1.0,0
BOL.1.6_1,BOL.9.1_1,1.0,0
BOL.1.6_1,BOL.7.5_1,3.0,0
BOL.1.6_1,BOL.9.5_1,7.0,0
BOL.1.6_1,BOL.5.4_1,1.0,0
BOL.1.6_1,BOL.7.4_1,1.0,0
BOL.1.6_1,BOL.8.4_1,1.0,0
BOL.1.6_1,BOL.2.10_1,1.0,0
BOL.1.6_1,BOL.7.1_1,1.0,0
BOL.1.6_1,BOL.2.4_1,1.0,0
BOL.1.6_1,BOL.2.12_1,1.0,0
BOL.1.6_1,BOL.8.1_1,10.0,0
BOL.1.6_1,BOL.2.1_1,1.0,0
BOL.1.6_1,BOL.2.6_1,1.0,0
BOL.1.6_1,BOL.5.3_1,1.0,0
BOL.1.6_1,BOL.2.7_1,1.0,0
BOL.1.6_1,BOL.4.8_1,1.0,0
BOL.1.6_1,BOL.4.16_1,2.0,0
BOL.1.6_1,BOL.4.17_1,1.0,0
BOL.1.6_1,BOL.3.6_1,1.0,0
BOL.1.7_1,BOL.1.10_1,276.0,0
BOL.1.7_1,BOL.1.3_1,338.0,0
BOL.1.7_1,BOL.7.5_1,585.0,0
BOL.1.7_1,BOL.7.6_1,221.0,0
BOL.1.7_1,BOL.2.11_1,92.0,0
BOL.1.7_1,BOL.7.4_1,123.0,0
BOL.1.7_1,BOL.7.15_1,476.0,0
BOL.1.7_1,BOL.2.10_1,43.0,0
BOL.1.7_1,BOL.1.1_1,5.0,0
BOL.1.7_1,BOL.7.8_1,46.0,0
BOL.1.7_1,BOL.1.9_1,43.0,0
BOL.1.7_1,BOL.7.3_1,5.0,0
BOL.1.7_1,BOL.7.12_1,85.0,0
BOL.1.7_1,BOL.8.12_1,17.0,0
BOL.1.7_1,BOL.2.8_1,30.0,0
BOL.1.7_1,BOL.5.4_1,36.0,0
BOL.1.7_1,BOL.7.1_1,14.0,0
BOL.1.7_1,BOL.8.8_1,17.0,0
BOL.1.7_1,BOL.2.12_1,40.0,0
BOL.1.7_1,BOL.1.4_1,10.0,0
BOL.1.7_1,BOL.2.9_1,14.0,0
BOL.1.7_1,BOL.2.4_1,30.0,0
BOL.1.7_1,BOL.8.4_1,20.0,0
BOL.1.7_1,BOL.2.2_1,11.0,0
BOL.1.7_1,BOL.2.1_1,14.0,0
