origin,destination,flow,time
BTN.1.1_1,BTN.1.3_1,1081.0,0
BTN.1.1_1,BTN.16.4_1,1285.0,0
BTN.1.1_1,BTN.18.14_1,350.0,0
BTN.1.1_1,BTN.6.4_1,137.0,0
BTN.1.1_1,BTN.1.2_1,351.0,0
BTN.1.1_1,BTN.6.1_1,223.0,0
BTN.1.1_1,BTN.16.1_1,144.0,0
BTN.1.1_1,BTN.1.4_1,101.0,0
BTN.1.1_1,BTN.6.6_1,74.0,0
BTN.1.1_1,BTN.16.5_1,86.0,0
BTN.1.1_1,BTN.18.4_1,77.0,0
BTN.1.1_1,BTN.16.3_1,109.0,0
BTN.1.1_1,BTN.18.8_1,47.0,0
BTN.1.1_1,BTN.6.5_1,53.0,0
BTN.1.1_1,BTN.6.2_1,42.0,0
BTN.1.1_1,BTN.18.12_1,39.0,0
BTN.1.1_1,BTN.6.3_1,39.0,0
BTN.1.1_1,BTN.4.4_1,9.0,0
BTN.1.1_1,BTN.6.7_1,20.0,0
BTN.1.1_1,BTN.18.10_1,27.0,0
BTN.1.1_1,BTN.18.5_1,15.0,0
BTN.1.1_1,BTN.6.8_1,21.0,0
BTN.1.1_1,BTN.7.17_1,19.0,0
BTN.1.1_1,BTN.16.2_1,15.0,0
BTN.1.1_1,BTN.20.4_1,32.0,0
BTN.1.1_1,BTN.20.7_1,22.0,0
BTN.1.1_1,BTN.10.11_1,13.0,0
BTN.1.1_1,BTN.18.2_1,28.0,0
BTN.1.1_1,BTN.10.8_1,6.0,0
BTN.1.1_1,BTN.7.12_1,40.0,0
BTN.1.1_1,BTN.7.16_1,16.0,0
BTN.1.1_1,BTN.18.1_1,19.0,0
BTN.1.1_1,BTN.20.8_1,26.0,0
BTN.1.1_1,BTN.18.11_1,22.0,0
BTN.1.1_1,BTN.7.13_1,13.0,0
BTN.1.1_1,BTN.7.3_1,9.0,0
BTN.1.1_1,BTN.19.1_1,7.0,0
BTN.1.1_1,BTN.10.7_1,5.0,0
BTN.1.1_1,BTN.10.3_1,3.0,0
BTN.1.1_1,BTN.19.7_1,16.0,0
BTN.1.1_1,BTN.10.2_1,4.0,0
BTN.1.1_1,BTN.7.9_1,32.0,0
BTN.1.1_1,BTN.18.13_1,17.0,0
BTN.1.1_1,BTN.7.11_1,4.0,0
BTN.1.1_1,BTN.13.7_1,13.0,0
BTN.1.1_1,BTN.18.15_1,14.0,0
BTN.1.1_1,BTN.20.1_1,3.0,0
BTN.1.1_1,BTN.10.5_1,7.0,0
BTN.1.1_1,BTN.7.14_1,4.0,0
BTN.1.1_1,BTN.10.1_1,3.0,0
BTN.1.1_1,BTN.10.9_1,7.0,0
BTN.1.1_1,BTN.7.5_1,8.0,0
BTN.1.1_1,BTN.10.4_1,1.0,0
BTN.1.1_1,BTN.18.6_1,11.0,0
BTN.1.1_1,BTN.7.1_1,1.0,0
BTN.1.1_1,BTN.13.4_1,6.0,0
BTN.1.1_1,BTN.19.6_1,2.0,0
BTN.1.1_1,BTN.17.7_1,2.0,0
BTN.1.1_1,BTN.7.2_1,6.0,0
BTN.1.1_1,BTN.19.2_1,3.0,0
BTN.1.1_1,BTN.10.10_1,7.0,0
BTN.1.1_1,BTN.18.9_1,10.0,0
