origin,destination,flow,time
BWA.1_1,BWA.16_1,2.0,0
BWA.1_1,BWA.3_1,5412.0,0
BWA.1_1,BWA.11_1,5278.0,0
BWA.1_1,BWA.13_1,721.0,0
BWA.1_1,BWA.8_1,4260.0,0
BWA.1_1,BWA.9_1,9838.0,0
BWA.1_1,BWA.4_1,991.0,0
BWA.1_1,BWA.2_1,459.0,0
BWA.1_1,BWA.14_1,4407.0,0
BWA.1_1,BWA.5_1,598.0,0
BWA.1_1,BWA.10_1,154.0,0
BWA.1_1,BWA.15_1,2054.0,0
BWA.1_1,BWA.12_1,1308.0,0
BWA.1_1,BWA.7_1,399.0,0
BWA.2_1,BWA.12_1,1311.0,0
BWA.2_1,BWA.1_1,160.0,0
BWA.2_1,BWA.11_1,7.0,0
BWA.2_1,BWA.3_1,5.0,0
BWA.2_1,BWA.5_1,1.0,0
BWA.2_1,BWA.9_1,9.0,0
BWA.2_1,BWA.8_1,2.0,0
BWA.2_1,BWA.4_1,2.0,0
BWA.2_1,BWA.15_1,1.0,0
BWA.2_1,BWA.14_1,1.0,0
BWA.3_1,BWA.11_1,2508.0,0
BWA.3_1,BWA.13_1,154.0,0
BWA.3_1,BWA.1_1,1377.0,0
BWA.3_1,BWA.8_1,40.0,0
BWA.3_1,BWA.2_1,6.0,0
BWA.3_1,BWA.4_1,21.0,0
BWA.3_1,BWA.9_1,93.0,0
BWA.3_1,BWA.14_1,44.0,0
BWA.3_1,BWA.10_1,2.0,0
BWA.3_1,BWA.15_1,17.0,0
BWA.3_1,BWA.5_1,1.0,0
BWA.3_1,BWA.12_1,13.0,0
BWA.3_1,BWA.7_1,5.0,0
BWA.4_1,BWA.14_1,2653.0,0
BWA.4_1,BWA.8_1,110.0,0
BWA.4_1,BWA.10_1,10.0,0
BWA.4_1,BWA.9_1,159.0,0
BWA.4_1,BWA.15_1,50.0,0
BWA.4_1,BWA.1_1,67.0,0
BWA.4_1,BWA.13_1,1.0,0
BWA.4_1,BWA.3_1,6.0,0
BWA.4_1,BWA.7_1,2.0,0
BWA.4_1,BWA.5_1,2.0,0
BWA.4_1,BWA.11_1,4.0,0
BWA.4_1,BWA.12_1,7.0,0
BWA.5_1,BWA.9_1,2561.0,0
BWA.5_1,BWA.7_1,46.0,0
BWA.5_1,BWA.12_1,83.0,0
BWA.5_1,BWA.15_1,78.0,0
BWA.5_1,BWA.1_1,85.0,0
BWA.5_1,BWA.4_1,1.0,0
BWA.5_1,BWA.8_1,5.0,0
