origin,destination,flow,time
CAF.1.1_1,CAF.10.2_1,1532.0,0
CAF.1.1_1,CAF.10.1_1,303.0,0
CAF.1.1_1,CAF.15.4_1,8.0,0
CAF.1.1_1,CAF.1.2_1,32.0,0
CAF.1.1_1,CAF.13.1_1,1.0,0
CAF.1.1_1,CAF.13.4_1,17.0,0
CAF.1.1_1,CAF.6.1_1,8.0,0
CAF.1.1_1,CAF.15.1_1,18.0,0
CAF.1.1_1,CAF.13.3_1,2.0,0
CAF.1.1_1,CAF.5.1_1,7.0,0
CAF.1.1_1,CAF.15.3_1,2.0,0
CAF.1.1_1,CAF.13.2_1,2.0,0
CAF.1.1_1,CAF.5.2_1,1.0,0
CAF.1.1_1,CAF.6.2_1,2.0,0
CAF.1.1_1,CAF.13.5_1,6.0,0
CAF.1.1_1,CAF.15.2_1,3.0,0
CAF.1.1_1,CAF.2.1_1,2.0,0
CAF.1.1_1,CAF.12.1_1,4.0,0
CAF.1.1_1,CAF.11.3_1,1.0,0
CAF.1.2_1,CAF.1.1_1,1563.0,0
CAF.1.2_1,CAF.17.2_1,524.0,0
CAF.1.2_1,CAF.5.2_1,2043.0,0
CAF.1.2_1,CAF.17.1_1,2700.0,0
CAF.1.2_1,CAF.10.2_1,649.0,0
CAF.1.2_1,CAF.15.4_1,228.0,0
CAF.1.2_1,CAF.13.4_1,555.0,0
CAF.1.2_1,CAF.13.1_1,69.0,0
CAF.1.2_1,CAF.10.1_1,559.0,0
CAF.1.2_1,CAF.5.1_1,231.0,0
CAF.1.2_1,CAF.6.1_1,125.0,0
CAF.1.2_1,CAF.5.3_1,22.0,0
CAF.1.2_1,CAF.13.2_1,190.0,0
CAF.1.2_1,CAF.15.1_1,117.0,0
CAF.1.2_1,CAF.13.3_1,40.0,0
CAF.1.2_1,CAF.15.3_1,44.0,0
CAF.1.2_1,CAF.6.2_1,45.0,0
CAF.1.2_1,CAF.3.1_1,42.0,0
CAF.1.2_1,CAF.9.1_1,9.0,0
CAF.1.2_1,CAF.3.3_1,12.0,0
CAF.1.2_1,CAF.13.5_1,26.0,0
CAF.1.2_1,CAF.15.5_1,27.0,0
CAF.1.2_1,CAF.3.4_1,23.0,0
CAF.1.2_1,CAF.12.3_1,12.0,0
CAF.1.2_1,CAF.15.2_1,31.0,0
CAF.1.2_1,CAF.9.3_1,12.0,0
CAF.1.2_1,CAF.3.2_1,15.0,0
