origin,destination,flow,time
CAN.1_1,CAN.12_1,21096.0,0
CAN.1_1,CAN.2_1,37204.0,0
CAN.1_1,CAN.3_1,4764.0,0
CAN.1_1,CAN.6_1,150.0,0
CAN.1_1,CAN.13_1,119.0,0
CAN.1_1,CAN.9_1,20241.0,0
CAN.1_1,CAN.8_1,16.0,0
CAN.1_1,CAN.11_1,4098.0,0
CAN.1_1,CAN.4_1,286.0,0
CAN.1_1,CAN.5_1,201.0,0
CAN.1_1,CAN.10_1,57.0,0
CAN.1_1,CAN.7_1,351.0,0
CAN.2_1,CAN.1_1,53958.0,0
CAN.2_1,CAN.13_1,306.0,0
CAN.2_1,CAN.12_1,6588.0,0
CAN.2_1,CAN.6_1,202.0,0
CAN.2_1,CAN.3_1,6081.0,0
CAN.2_1,CAN.8_1,130.0,0
CAN.2_1,CAN.9_1,25407.0,0
CAN.2_1,CAN.11_1,5177.0,0
CAN.2_1,CAN.5_1,246.0,0
CAN.2_1,CAN.4_1,359.0,0
CAN.2_1,CAN.10_1,74.0,0
CAN.2_1,CAN.7_1,367.0,0
CAN.3_1,CAN.12_1,12865.0,0
CAN.3_1,CAN.9_1,12672.0,0
CAN.3_1,CAN.1_1,442.0,0
CAN.3_1,CAN.11_1,537.0,0
CAN.3_1,CAN.6_1,2.0,0
CAN.3_1,CAN.2_1,182.0,0
CAN.3_1,CAN.8_1,1.0,0
CAN.3_1,CAN.13_1,4.0,0
CAN.3_1,CAN.4_1,27.0,0
CAN.3_1,CAN.5_1,16.0,0
CAN.3_1,CAN.10_1,3.0,0
CAN.3_1,CAN.7_1,31.0,0
CAN.4_1,CAN.10_1,2478.0,0
CAN.4_1,CAN.7_1,6815.0,0
CAN.4_1,CAN.5_1,1466.0,0
CAN.4_1,CAN.11_1,4153.0,0
CAN.4_1,CAN.9_1,685.0,0
CAN.4_1,CAN.3_1,27.0,0
CAN.4_1,CAN.12_1,22.0,0
CAN.4_1,CAN.1_1,66.0,0
CAN.4_1,CAN.2_1,53.0,0
CAN.5_1,CAN.10_1,2318.0,0
CAN.5_1,CAN.11_1,7434.0,0
CAN.5_1,CAN.4_1,38.0,0
CAN.5_1,CAN.7_1,47.0,0
CAN.5_1,CAN.9_1,277.0,0
CAN.5_1,CAN.3_1,12.0,0
CAN.5_1,CAN.8_1,3.0,0
CAN.5_1,CAN.12_1,9.0,0
CAN.5_1,CAN.1_1,23.0,0
CAN.5_1,CAN.2_1,25.0,0
CAN.6_1,CAN.13_1,427.0,0
CAN.6_1,CAN.1_1,385.0,0
CAN.6_1,CAN.2_1,4.0,0
CAN.6_1,CAN.9_1,1.0,0
CAN.6_1,CAN.11_1,1.0,0
CAN.7_1,CAN.10_1,2576.0,0
CAN.7_1,CAN.4_1,7067.0,0
CAN.7_1,CAN.5_1,2047.0,0
CAN.7_1,CAN.11_1,5661.0,0
CAN.7_1,CAN.9_1,921.0,0
CAN.7_1,CAN.3_1,50.0,0
CAN.7_1,CAN.12_1,28.0,0
CAN.7_1,CAN.1_1,88.0,0
CAN.7_1,CAN.2_1,54.0,0
CAN.8_1,CAN.6_1,355.0,0
CAN.8_1,CAN.3_1,266.0,0
CAN.8_1,CAN.12_1,9.0,0
CAN.8_1,CAN.11_1,4.0,0
CAN.8_1,CAN.2_1,1.0,0
CAN.9_1,CAN.3_1,40195.0,0
CAN.9_1,CAN.11_1,148415.0,0
CAN.9_1,CAN.12_1,13140.0,0
CAN.9_1,CAN.4_1,8103.0,0
CAN.9_1,CAN.10_1,1493.0,0
CAN.9_1,CAN.7_1,8856.0,0
CAN.9_1,CAN.5_1,4506.0,0
CAN.9_1,CAN.1_1,33734.0,0
CAN.9_1,CAN.8_1,195.0,0
CAN.9_1,CAN.6_1,248.0,0
CAN.9_1,CAN.2_1,28504.0,0
CAN.9_1,CAN.13_1,195.0,0
CAN.10_1,CAN.7_1,2534.0,0
CAN.10_1,CAN.4_1,146.0,0
CAN.10_1,CAN.5_1,47.0,0
CAN.10_1,CAN.11_1,130.0,0
CAN.10_1,CAN.9_1,14.0,0
CAN.10_1,CAN.1_1,4.0,0
CAN.10_1,CAN.2_1,2.0,0
CAN.11_1,CAN.5_1,12499.0,0
CAN.11_1,CAN.4_1,16710.0,0
CAN.11_1,CAN.10_1,2716.0,0
CAN.11_1,CAN.9_1,108643.0,0
CAN.11_1,CAN.7_1,2736.0,0
CAN.11_1,CAN.3_1,3590.0,0
CAN.11_1,CAN.8_1,70.0,0
CAN.11_1,CAN.12_1,2833.0,0
CAN.11_1,CAN.1_1,8847.0,0
CAN.11_1,CAN.6_1,70.0,0
CAN.11_1,CAN.2_1,7398.0,0
CAN.11_1,CAN.13_1,55.0,0
CAN.12_1,CAN.3_1,12975.0,0
CAN.12_1,CAN.1_1,7253.0,0
CAN.12_1,CAN.2_1,1701.0,0
CAN.12_1,CAN.9_1,1255.0,0
CAN.12_1,CAN.6_1,3.0,0
CAN.12_1,CAN.13_1,2.0,0
CAN.12_1,CAN.8_1,3.0,0
CAN.12_1,CAN.11_1,277.0,0
CAN.12_1,CAN.4_1,20.0,0
CAN.12_1,CAN.5_1,9.0,0
