origin,destination,flow,time
CHE.1.1_1,CHE.19.4_1,951.0,0
CHE.1.1_1,CHE.1.7_1,1125.0,0
CHE.1.1_1,CHE.1.4_1,448.0,0
CHE.1.1_1,CHE.1.5_1,234.0,0
CHE.1.1_1,CHE.19.6_1,209.0,0
CHE.1.1_1,CHE.1.6_1,94.0,0
CHE.1.1_1,CHE.1.10_1,138.0,0
CHE.1.1_1,CHE.4.4_1,62.0,0
CHE.1.1_1,CHE.1.2_1,150.0,0
CHE.1.1_1,CHE.1.3_1,58.0,0
CHE.1.1_1,CHE.1.9_1,19.0,0
CHE.1.1_1,CHE.4.5_1,9.0,0
CHE.1.1_1,CHE.19.3_1,14.0,0
CHE.1.1_1,CHE.1.11_1,19.0,0
CHE.1.1_1,CHE.1.8_1,16.0,0
CHE.1.1_1,CHE.12.4_1,41.0,0
CHE.1.1_1,CHE.4.3_1,20.0,0
CHE.1.1_1,CHE.26.5_1,30.0,0
CHE.1.1_1,CHE.12.5_1,14.0,0
CHE.1.1_1,CHE.12.2_1,22.0,0
CHE.1.1_1,CHE.6.2_1,5.0,0
CHE.1.1_1,CHE.26.4_1,32.0,0
CHE.1.1_1,CHE.26.1_1,11.0,0
CHE.1.1_1,CHE.19.8_1,2.0,0
CHE.1.1_1,CHE.6.26_1,7.0,0
CHE.1.1_1,CHE.26.13_1,61.0,0
CHE.1.1_1,CHE.19.2_1,3.0,0
CHE.1.1_1,CHE.5.3_1,2.0,0
CHE.1.1_1,CHE.4.1_1,21.0,0
CHE.1.1_1,CHE.19.9_1,1.0,0
CHE.1.1_1,CHE.5.1_1,8.0,0
CHE.1.1_1,CHE.26.3_1,9.0,0
CHE.1.1_1,CHE.19.10_1,2.0,0
CHE.1.1_1,CHE.4.2_1,1.0,0
CHE.1.1_1,CHE.6.25_1,1.0,0
CHE.1.1_1,CHE.12.3_1,11.0,0
CHE.1.1_1,CHE.25.1_1,8.0,0
CHE.1.1_1,CHE.26.7_1,5.0,0
CHE.1.1_1,CHE.19.7_1,1.0,0
CHE.1.1_1,CHE.26.11_1,4.0,0
CHE.1.1_1,CHE.26.8_1,6.0,0
CHE.1.1_1,CHE.19.5_1,1.0,0
CHE.1.1_1,CHE.6.6_1,3.0,0
CHE.1.1_1,CHE.17.4_1,1.0,0
CHE.1.1_1,CHE.6.9_1,3.0,0
CHE.1.1_1,CHE.26.9_1,2.0,0
CHE.1.1_1,CHE.26.12_1,4.0,0
CHE.1.1_1,CHE.17.3_1,1.0,0
CHE.1.1_1,CHE.6.23_1,1.0,0
CHE.1.1_1,CHE.6.15_1,1.0,0
CHE.1.1_1,CHE.15.1_1,1.0,0
CHE.1.1_1,CHE.6.12_1,1.0,0
CHE.1.1_1,CHE.20.5_1,1.0,0
CHE.1.1_1,CHE.6.3_1,3.0,0
CHE.1.1_1,CHE.6.16_1,2.0,0
CHE.1.1_1,CHE.16.5_1,2.0,0
CHE.1.1_1,CHE.6.7_1,1.0,0
CHE.1.1_1,CHE.22.1_1,1.0,0
CHE.1.1_1,CHE.6.11_1,1.0,0
CHE.1.1_1,CHE.16.6_1,1.0,0
CHE.1.1_1,CHE.20.6_1,1.0,0
CHE.1.1_1,CHE.16.3_1,2.0,0
CHE.1.1_1,CHE.20.1_1,1.0,0
CHE.1.1_1,CHE.16.2_1,1.0,0
CHE.1.1_1,CHE.13.1_1,1.0,0
CHE.1.1_1,CHE.13.3_1,1.0,0
CHE.1.1_1,CHE.7.3_1,1.0,0
CHE.1.1_1,CHE.24.10_1,2.0,0
CHE.1.1_1,CHE.23.12_1,1.0,0
CHE.1.1_1,CHE.10.9_1,1.0,0
CHE.1.1_1,CHE.24.5_1,1.0,0
CHE.1.1_1,CHE.21.1_1,1.0,0
CHE.1.1_1,CHE.24.7_1,2.0,0
CHE.1.1_1,CHE.23.3_1,2.0,0
CHE.1.1_1,CHE.8.1_1,2.0,0
CHE.1.2_1,CHE.1.4_1,1953.0,0
CHE.1.2_1,CHE.1.3_1,1579.0,0
CHE.1.2_1,CHE.26.4_1,1128.0,0
CHE.1.2_1,CHE.26.5_1,539.0,0
CHE.1.2_1,CHE.1.11_1,140.0,0
CHE.1.2_1,CHE.1.7_1,222.0,0
CHE.1.2_1,CHE.26.13_1,800.0,0
CHE.1.2_1,CHE.1.1_1,81.0,0
CHE.1.2_1,CHE.1.6_1,20.0,0
CHE.1.2_1,CHE.26.3_1,134.0,0
CHE.1.2_1,CHE.1.5_1,26.0,0
CHE.1.2_1,CHE.1.8_1,18.0,0
CHE.1.2_1,CHE.26.1_1,36.0,0
CHE.1.2_1,CHE.17.6_1,3.0,0
CHE.1.2_1,CHE.19.4_1,20.0,0
CHE.1.2_1,CHE.26.11_1,72.0,0
CHE.1.2_1,CHE.17.1_1,1.0,0
CHE.1.2_1,CHE.12.2_1,31.0,0
CHE.1.2_1,CHE.1.10_1,23.0,0
CHE.1.2_1,CHE.26.7_1,49.0,0
CHE.1.2_1,CHE.26.2_1,15.0,0
CHE.1.2_1,CHE.19.6_1,20.0,0
CHE.1.2_1,CHE.4.4_1,13.0,0
CHE.1.2_1,CHE.26.8_1,27.0,0
CHE.1.2_1,CHE.1.9_1,10.0,0
CHE.1.2_1,CHE.26.12_1,41.0,0
CHE.1.2_1,CHE.12.4_1,19.0,0
CHE.1.2_1,CHE.26.9_1,13.0,0
CHE.1.2_1,CHE.25.1_1,11.0,0
CHE.1.2_1,CHE.17.3_1,12.0,0
CHE.1.2_1,CHE.4.5_1,3.0,0
CHE.1.2_1,CHE.18.4_1,5.0,0
CHE.1.2_1,CHE.17.2_1,1.0,0
CHE.1.2_1,CHE.12.5_1,12.0,0
CHE.1.2_1,CHE.4.3_1,9.0,0
CHE.1.2_1,CHE.19.3_1,3.0,0
CHE.1.2_1,CHE.18.3_1,1.0,0
CHE.1.2_1,CHE.26.6_1,12.0,0
CHE.1.2_1,CHE.20.5_1,4.0,0
CHE.1.2_1,CHE.12.3_1,22.0,0
CHE.1.2_1,CHE.6.2_1,10.0,0
CHE.1.2_1,CHE.5.3_1,3.0,0
CHE.1.2_1,CHE.18.1_1,3.0,0
CHE.1.2_1,CHE.20.8_1,2.0,0
CHE.1.2_1,CHE.20.7_1,4.0,0
CHE.1.2_1,CHE.19.2_1,1.0,0
CHE.1.2_1,CHE.19.8_1,1.0,0
CHE.1.2_1,CHE.6.26_1,3.0,0
CHE.1.2_1,CHE.4.1_1,16.0,0
CHE.1.2_1,CHE.5.1_1,12.0,0
CHE.1.2_1,CHE.18.5_1,6.0,0
CHE.1.2_1,CHE.18.6_1,5.0,0
CHE.1.2_1,CHE.14.1_1,3.0,0
CHE.1.2_1,CHE.6.25_1,1.0,0
CHE.1.2_1,CHE.16.5_1,3.0,0
CHE.1.2_1,CHE.4.2_1,3.0,0
CHE.1.2_1,CHE.19.10_1,2.0,0
CHE.1.2_1,CHE.20.9_1,1.0,0
CHE.1.2_1,CHE.12.1_1,3.0,0
CHE.1.2_1,CHE.16.6_1,4.0,0
CHE.1.2_1,CHE.15.1_1,6.0,0
CHE.1.2_1,CHE.19.5_1,1.0,0
