origin,destination,flow,time
CHL.1_1,CHL.9_1,50167.0,0
CHL.1_1,CHL.11_1,732.0,0
CHL.1_1,CHL.10_1,1127.0,0
CHL.1_1,CHL.3_1,1744.0,0
CHL.1_1,CHL.6_1,941.0,0
CHL.1_1,CHL.13_1,153.0,0
CHL.1_1,CHL.12_1,230.0,0
CHL.1_1,CHL.8_1,166.0,0
CHL.1_1,CHL.14_1,537.0,0
CHL.1_1,CHL.16_1,44.0,0
CHL.1_1,CHL.7_1,16.0,0
CHL.1_1,CHL.5_1,11.0,0
CHL.1_1,CHL.2_1,14.0,0
CHL.1_1,CHL.15_1,11.0,0
CHL.1_1,CHL.4_1,5.0,0
CHL.2_1,CHL.15_1,130960.0,0
CHL.2_1,CHL.5_1,45453.0,0
CHL.2_1,CHL.4_1,16680.0,0
CHL.2_1,CHL.7_1,49120.0,0
CHL.2_1,CHL.16_1,39997.0,0
CHL.2_1,CHL.14_1,35325.0,0
CHL.2_1,CHL.8_1,1214.0,0
CHL.2_1,CHL.12_1,1243.0,0
CHL.2_1,CHL.13_1,515.0,0
CHL.2_1,CHL.6_1,1529.0,0
CHL.2_1,CHL.3_1,859.0,0
CHL.2_1,CHL.10_1,232.0,0
CHL.2_1,CHL.9_1,645.0,0
CHL.2_1,CHL.1_1,63.0,0
CHL.2_1,CHL.11_1,82.0,0
CHL.3_1,CHL.6_1,341253.0,0
CHL.3_1,CHL.10_1,24956.0,0
CHL.3_1,CHL.13_1,27305.0,0
CHL.3_1,CHL.12_1,39490.0,0
CHL.3_1,CHL.9_1,22770.0,0
CHL.3_1,CHL.8_1,15798.0,0
CHL.3_1,CHL.14_1,53253.0,0
CHL.3_1,CHL.16_1,4636.0,0
CHL.3_1,CHL.1_1,260.0,0
CHL.3_1,CHL.7_1,1756.0,0
CHL.3_1,CHL.5_1,645.0,0
CHL.3_1,CHL.11_1,278.0,0
CHL.3_1,CHL.2_1,1206.0,0
CHL.3_1,CHL.15_1,734.0,0
CHL.3_1,CHL.4_1,300.0,0
CHL.4_1,CHL.15_1,58509.0,0
CHL.4_1,CHL.2_1,11999.0,0
CHL.4_1,CHL.5_1,2149.0,0
CHL.4_1,CHL.7_1,2953.0,0
CHL.4_1,CHL.16_1,2526.0,0
CHL.4_1,CHL.14_1,2231.0,0
CHL.4_1,CHL.8_1,78.0,0
CHL.4_1,CHL.12_1,70.0,0
CHL.4_1,CHL.13_1,25.0,0
CHL.4_1,CHL.6_1,112.0,0
CHL.4_1,CHL.3_1,58.0,0
CHL.4_1,CHL.10_1,14.0,0
CHL.4_1,CHL.9_1,46.0,0
CHL.4_1,CHL.1_1,5.0,0
CHL.4_1,CHL.11_1,6.0,0
CHL.5_1,CHL.7_1,111645.0,0
CHL.5_1,CHL.2_1,15269.0,0
CHL.5_1,CHL.16_1,13053.0,0
CHL.5_1,CHL.14_1,9007.0,0
CHL.5_1,CHL.8_1,301.0,0
CHL.5_1,CHL.15_1,125.0,0
CHL.5_1,CHL.12_1,279.0,0
CHL.5_1,CHL.4_1,41.0,0
CHL.5_1,CHL.13_1,117.0,0
CHL.5_1,CHL.6_1,323.0,0
CHL.5_1,CHL.3_1,182.0,0
CHL.5_1,CHL.10_1,56.0,0
CHL.5_1,CHL.9_1,152.0,0
CHL.5_1,CHL.1_1,8.0,0
CHL.5_1,CHL.11_1,19.0,0
