origin,destination,flow,time
COL.1.1_1,COL.1.2_1,570.0,0
COL.1.1_1,COL.8.14_1,195.0,0
COL.1.1_1,COL.23.6_1,7.0,0
COL.1.1_1,COL.8.3_1,8.0,0
COL.1.1_1,COL.1.3_1,2.0,0
COL.1.1_1,COL.1.5_1,1.0,0
COL.1.1_1,COL.16.1_1,2.0,0
COL.1.1_1,COL.16.3_1,2.0,0
COL.1.1_1,COL.31.3_1,2.0,0
COL.1.1_1,COL.8.13_1,2.0,0
COL.1.1_1,COL.23.5_1,2.0,0
COL.1.1_1,COL.31.1_1,1.0,0
COL.1.1_1,COL.8.15_1,1.0,0
COL.1.1_1,COL.23.3_1,1.0,0
COL.1.1_1,COL.8.4_1,1.0,0
COL.1.1_1,COL.8.11_1,2.0,0
COL.1.1_1,COL.8.7_1,3.0,0
COL.1.1_1,COL.23.2_1,1.0,0
COL.1.1_1,COL.21.48_1,1.0,0
COL.1.2_1,COL.1.1_1,614.0,0
COL.1.2_1,COL.1.7_1,180.0,0
COL.1.2_1,COL.8.14_1,1091.0,0
COL.1.2_1,COL.1.3_1,20.0,0
COL.1.2_1,COL.1.5_1,10.0,0
COL.1.2_1,COL.1.8_1,36.0,0
COL.1.2_1,COL.31.3_1,15.0,0
COL.1.2_1,COL.23.6_1,21.0,0
COL.1.2_1,COL.16.3_1,5.0,0
COL.1.2_1,COL.31.1_1,3.0,0
COL.1.2_1,COL.31.5_1,1.0,0
COL.1.2_1,COL.8.3_1,20.0,0
COL.1.2_1,COL.16.1_1,4.0,0
COL.1.2_1,COL.1.6_1,9.0,0
COL.1.2_1,COL.31.2_1,19.0,0
COL.1.2_1,COL.1.4_1,15.0,0
COL.1.2_1,COL.16.2_1,1.0,0
COL.1.2_1,COL.8.13_1,13.0,0
COL.1.2_1,COL.8.9_1,3.0,0
COL.1.2_1,COL.20.12_1,6.0,0
COL.1.2_1,COL.23.5_1,1.0,0
COL.1.2_1,COL.8.8_1,2.0,0
COL.1.2_1,COL.16.4_1,7.0,0
COL.1.2_1,COL.8.15_1,3.0,0
COL.1.2_1,COL.8.6_1,2.0,0
COL.1.2_1,COL.8.5_1,3.0,0
COL.1.2_1,COL.23.3_1,1.0,0
COL.1.2_1,COL.8.4_1,1.0,0
COL.1.2_1,COL.23.4_1,1.0,0
COL.1.2_1,COL.20.21_1,1.0,0
COL.1.2_1,COL.8.7_1,2.0,0
COL.1.2_1,COL.20.29_1,1.0,0
COL.1.2_1,COL.8.12_1,1.0,0
COL.1.2_1,COL.23.11_1,3.0,0
COL.1.2_1,COL.17.12_1,2.0,0
COL.1.2_1,COL.17.23_1,2.0,0
COL.1.2_1,COL.17.35_1,2.0,0
COL.1.2_1,COL.23.8_1,1.0,0
COL.1.2_1,COL.23.2_1,3.0,0
COL.1.2_1,COL.17.25_1,1.0,0
COL.1.2_1,COL.10.30_1,1.0,0
COL.1.2_1,COL.17.24_1,1.0,0
COL.1.2_1,COL.17.20_1,1.0,0
COL.1.2_1,COL.20.27_1,1.0,0
COL.1.2_1,COL.20.10_1,1.0,0
COL.1.2_1,COL.21.27_1,1.0,0
COL.1.2_1,COL.17.17_1,1.0,0
COL.1.2_1,COL.21.28_1,1.0,0
COL.1.2_1,COL.20.26_1,1.0,0
COL.1.2_1,COL.14.79_1,1.0,0
COL.1.2_1,COL.2.68_1,1.0,0
COL.1.2_1,COL.4.2_1,1.0,0
COL.1.3_1,COL.1.5_1,633.0,0
COL.1.3_1,COL.1.8_1,590.0,0
COL.1.3_1,COL.31.5_1,18.0,0
