origin,destination,flow,time
CRI.1_1,CRI.4_1,88468.0,0
CRI.1_1,CRI.3_1,34666.0,0
CRI.1_1,CRI.7_1,58924.0,0
CRI.1_1,CRI.2_1,10360.0,0
CRI.1_1,CRI.5_1,6298.0,0
CRI.1_1,CRI.6_1,5545.0,0
CRI.2_1,CRI.5_1,56611.0,0
CRI.2_1,CRI.7_1,42942.0,0
CRI.2_1,CRI.6_1,4520.0,0
CRI.2_1,CRI.4_1,3430.0,0
CRI.2_1,CRI.1_1,4446.0,0
CRI.2_1,CRI.3_1,1305.0,0
CRI.3_1,CRI.1_1,63692.0,0
CRI.3_1,CRI.4_1,6982.0,0
CRI.3_1,CRI.7_1,8251.0,0
CRI.3_1,CRI.2_1,1425.0,0
CRI.3_1,CRI.5_1,909.0,0
CRI.3_1,CRI.6_1,809.0,0
CRI.4_1,CRI.1_1,78934.0,0
CRI.4_1,CRI.2_1,10968.0,0
CRI.4_1,CRI.5_1,5330.0,0
CRI.4_1,CRI.7_1,9412.0,0
CRI.4_1,CRI.6_1,1655.0,0
CRI.4_1,CRI.3_1,1085.0,0
CRI.5_1,CRI.2_1,54927.0,0
CRI.5_1,CRI.7_1,26787.0,0
CRI.5_1,CRI.4_1,3064.0,0
CRI.5_1,CRI.6_1,1974.0,0
CRI.5_1,CRI.1_1,2750.0,0
CRI.5_1,CRI.3_1,773.0,0
CRI.6_1,CRI.7_1,82060.0,0
CRI.6_1,CRI.2_1,5497.0,0
CRI.6_1,CRI.5_1,2973.0,0
CRI.6_1,CRI.4_1,2622.0,0
CRI.6_1,CRI.1_1,3219.0,0
CRI.6_1,CRI.3_1,936.0,0
CRI.7_1,CRI.2_1,120757.0,0
CRI.7_1,CRI.6_1,61755.0,0
CRI.7_1,CRI.5_1,39838.0,0
CRI.7_1,CRI.4_1,34094.0,0
CRI.7_1,CRI.1_1,42765.0,0
CRI.7_1,CRI.3_1,12452.0,0
CRI.1_1,CRI.1_1,817045.60511084,0
CRI.2_1,CRI.2_1,453019.2169044497,0
CRI.3_1,CRI.3_1,328274.85942994244,0
CRI.4_1,CRI.4_1,429537.6329257968,0
CRI.5_1,CRI.5_1,361102.7810898304,0
CRI.6_1,CRI.6_1,389229.26763772964,0
CRI.7_1,CRI.7_1,1246646.454862216,0
