origin,destination,flow,time
CYM.1_1,CYM.6_1,26.0,0
CYM.1_1,CYM.4_1,72.0,0
CYM.1_1,CYM.7_1,13.0,0
CYM.1_1,CYM.2_1,3.0,0
CYM.2_1,CYM.5_1,2.0,0
CYM.2_1,CYM.3_1,6.0,0
CYM.2_1,CYM.6_1,2.0,0
CYM.2_1,CYM.1_1,1.0,0
CYM.3_1,CYM.6_1,9.0,0
CYM.3_1,CYM.1_1,2.0,0
CYM.4_1,CYM.1_1,147.0,0
CYM.4_1,CYM.7_1,85.0,0
CYM.4_1,CYM.6_1,21.0,0
CYM.4_1,CYM.3_1,5.0,0
CYM.4_1,CYM.5_1,5.0,0
CYM.4_1,CYM.2_1,7.0,0
CYM.5_1,CYM.2_1,3.0,0
CYM.5_1,CYM.3_1,1.0,0
CYM.5_1,CYM.6_1,3.0,0
CYM.5_1,CYM.1_1,1.0,0
CYM.6_1,CYM.1_1,22.0,0
CYM.6_1,CYM.3_1,2.0,0
CYM.6_1,CYM.4_1,6.0,0
CYM.6_1,CYM.7_1,2.0,0
CYM.7_1,CYM.4_1,92.0,0
CYM.7_1,CYM.1_1,13.0,0
CYM.7_1,CYM.6_1,2.0,0
CYM.7_1,CYM.3_1,1.0,0
CYM.7_1,CYM.2_1,1.0,0
CYM.1_1,CYM.1_1,11294.563282470666,0
CYM.2_1,CYM.2_1,1112.811105222699,0
CYM.3_1,CYM.3_1,1142.926698532103,0
CYM.4_1,CYM.4_1,26742.144449157684,0
CYM.5_1,CYM.5_1,839.1798422205453,0
CYM.6_1,CYM.6_1,3194.0190896630247,0
CYM.7_1,CYM.7_1,10791.92755096434,0
