origin,destination,flow,time
CYP.1_1,CYP.2_1,684.0,0
CYP.1_1,CYP.4_1,133.0,0
CYP.1_1,CYP.3_1,28.0,0
CYP.1_1,CYP.5_1,5.0,0
CYP.2_1,CYP.4_1,2288.0,0
CYP.2_1,CYP.3_1,321.0,0
CYP.2_1,CYP.1_1,52.0,0
CYP.2_1,CYP.5_1,67.0,0
CYP.3_1,CYP.4_1,3762.0,0
CYP.3_1,CYP.5_1,451.0,0
CYP.3_1,CYP.2_1,416.0,0
CYP.3_1,CYP.1_1,98.0,0
CYP.4_1,CYP.3_1,4243.0,0
CYP.4_1,CYP.2_1,1092.0,0
CYP.4_1,CYP.5_1,547.0,0
CYP.4_1,CYP.1_1,168.0,0
CYP.5_1,CYP.3_1,1653.0,0
CYP.5_1,CYP.4_1,363.0,0
CYP.5_1,CYP.2_1,73.0,0
CYP.5_1,CYP.1_1,17.0,0
CYP.1_1,CYP.1_1,41669.37541542057,0
CYP.2_1,CYP.2_1,133691.59778644165,0
CYP.3_1,CYP.3_1,231642.90667228983,0
CYP.4_1,CYP.4_1,296488.17276476935,0
CYP.5_1,CYP.5_1,103201.7218320116,0
