origin,destination,flow,time
CZE.1_1,CZE.4_1,59173.0,0
CZE.1_1,CZE.12_1,43081.0,0
CZE.1_1,CZE.10_1,5322.0,0
CZE.1_1,CZE.11_1,6952.0,0
CZE.1_1,CZE.9_1,1858.0,0
CZE.1_1,CZE.2_1,3099.0,0
CZE.1_1,CZE.13_1,1527.0,0
CZE.1_1,CZE.3_1,481.0,0
CZE.1_1,CZE.5_1,769.0,0
CZE.1_1,CZE.6_1,521.0,0
CZE.1_1,CZE.8_1,672.0,0
CZE.1_1,CZE.14_1,529.0,0
CZE.1_1,CZE.7_1,981.0,0
CZE.2_1,CZE.4_1,79190.0,0
CZE.2_1,CZE.14_1,46397.0,0
CZE.2_1,CZE.8_1,29093.0,0
CZE.2_1,CZE.9_1,16391.0,0
CZE.2_1,CZE.7_1,23331.0,0
CZE.2_1,CZE.5_1,7437.0,0
CZE.2_1,CZE.1_1,6956.0,0
CZE.2_1,CZE.12_1,12010.0,0
CZE.2_1,CZE.11_1,6389.0,0
CZE.2_1,CZE.6_1,1780.0,0
CZE.2_1,CZE.10_1,2105.0,0
CZE.2_1,CZE.13_1,2588.0,0
CZE.2_1,CZE.3_1,848.0,0
CZE.3_1,CZE.10_1,39616.0,0
CZE.3_1,CZE.13_1,9365.0,0
CZE.3_1,CZE.11_1,4463.0,0
CZE.3_1,CZE.12_1,2042.0,0
CZE.3_1,CZE.6_1,323.0,0
CZE.3_1,CZE.1_1,357.0,0
CZE.3_1,CZE.5_1,294.0,0
CZE.3_1,CZE.4_1,220.0,0
CZE.3_1,CZE.9_1,185.0,0
CZE.3_1,CZE.2_1,321.0,0
CZE.3_1,CZE.8_1,137.0,0
CZE.3_1,CZE.7_1,191.0,0
CZE.3_1,CZE.14_1,91.0,0
CZE.4_1,CZE.9_1,52813.0,0
CZE.4_1,CZE.2_1,28443.0,0
CZE.4_1,CZE.1_1,5423.0,0
CZE.4_1,CZE.12_1,6963.0,0
CZE.4_1,CZE.5_1,1265.0,0
CZE.4_1,CZE.11_1,2153.0,0
CZE.4_1,CZE.8_1,723.0,0
CZE.4_1,CZE.14_1,611.0,0
CZE.4_1,CZE.6_1,411.0,0
CZE.4_1,CZE.7_1,875.0,0
CZE.4_1,CZE.10_1,408.0,0
CZE.4_1,CZE.13_1,440.0,0
CZE.4_1,CZE.3_1,137.0,0
CZE.5_1,CZE.9_1,55166.0,0
CZE.5_1,CZE.6_1,17407.0,0
CZE.5_1,CZE.12_1,21641.0,0
CZE.5_1,CZE.11_1,5858.0,0
CZE.5_1,CZE.4_1,1459.0,0
CZE.5_1,CZE.8_1,1488.0,0
CZE.5_1,CZE.13_1,1414.0,0
CZE.5_1,CZE.2_1,1550.0,0
CZE.5_1,CZE.7_1,1097.0,0
CZE.5_1,CZE.1_1,511.0,0
CZE.5_1,CZE.14_1,376.0,0
CZE.5_1,CZE.10_1,327.0,0
CZE.5_1,CZE.3_1,178.0,0
CZE.6_1,CZE.5_1,49891.0,0
CZE.6_1,CZE.11_1,22538.0,0
CZE.6_1,CZE.13_1,4520.0,0
CZE.6_1,CZE.12_1,4272.0,0
CZE.6_1,CZE.9_1,824.0,0
CZE.6_1,CZE.4_1,674.0,0
CZE.6_1,CZE.3_1,337.0,0
CZE.6_1,CZE.10_1,573.0,0
CZE.6_1,CZE.1_1,523.0,0
CZE.6_1,CZE.8_1,422.0,0
CZE.6_1,CZE.2_1,655.0,0
CZE.6_1,CZE.7_1,476.0,0
CZE.6_1,CZE.14_1,183.0,0
CZE.7_1,CZE.8_1,87220.0,0
CZE.7_1,CZE.14_1,40906.0,0
