origin,destination,flow,time
DEU.1_1,DEU.12_1,10126.0,0
DEU.1_1,DEU.2_1,59275.0,0
DEU.1_1,DEU.11_1,7774.0,0
DEU.1_1,DEU.7_1,7940.0,0
DEU.1_1,DEU.16_1,2083.0,0
DEU.1_1,DEU.10_1,11519.0,0
DEU.1_1,DEU.14_1,1624.0,0
DEU.1_1,DEU.13_1,786.0,0
DEU.1_1,DEU.9_1,2494.0,0
DEU.1_1,DEU.5_1,193.0,0
DEU.1_1,DEU.4_1,674.0,0
DEU.1_1,DEU.3_1,857.0,0
DEU.1_1,DEU.6_1,412.0,0
DEU.1_1,DEU.8_1,329.0,0
DEU.1_1,DEU.15_1,583.0,0
DEU.2_1,DEU.1_1,69443.0,0
DEU.2_1,DEU.16_1,6590.0,0
DEU.2_1,DEU.7_1,14820.0,0
DEU.2_1,DEU.14_1,6699.0,0
DEU.2_1,DEU.11_1,5829.0,0
DEU.2_1,DEU.12_1,1190.0,0
DEU.2_1,DEU.13_1,2345.0,0
DEU.2_1,DEU.10_1,13333.0,0
DEU.2_1,DEU.4_1,1258.0,0
DEU.2_1,DEU.3_1,1587.0,0
DEU.2_1,DEU.9_1,3161.0,0
DEU.2_1,DEU.5_1,228.0,0
DEU.2_1,DEU.6_1,640.0,0
DEU.2_1,DEU.8_1,526.0,0
DEU.2_1,DEU.15_1,854.0,0
DEU.3_1,DEU.4_1,14749.0,0
DEU.3_1,DEU.13_1,5177.0,0
DEU.3_1,DEU.8_1,2339.0,0
DEU.3_1,DEU.14_1,3478.0,0
DEU.3_1,DEU.16_1,1156.0,0
DEU.3_1,DEU.6_1,713.0,0
DEU.3_1,DEU.9_1,2097.0,0
DEU.3_1,DEU.15_1,456.0,0
DEU.3_1,DEU.5_1,91.0,0
DEU.3_1,DEU.7_1,693.0,0
DEU.3_1,DEU.10_1,1136.0,0
DEU.3_1,DEU.2_1,481.0,0
DEU.3_1,DEU.11_1,123.0,0
DEU.3_1,DEU.1_1,190.0,0
DEU.3_1,DEU.12_1,13.0,0
DEU.4_1,DEU.3_1,14509.0,0
DEU.4_1,DEU.13_1,2909.0,0
DEU.4_1,DEU.8_1,1275.0,0
DEU.4_1,DEU.14_1,1967.0,0
DEU.4_1,DEU.16_1,636.0,0
