origin,destination,flow,time
DNK.1.1_1,DNK.1.15_1,614.0,0
DNK.1.1_1,DNK.1.30_1,215.0,0
DNK.1.1_1,DNK.1.5_1,176.0,0
DNK.1.1_1,DNK.1.3_1,89.0,0
DNK.1.1_1,DNK.1.27_1,47.0,0
DNK.1.1_1,DNK.1.24_1,19.0,0
DNK.1.1_1,DNK.1.21_1,30.0,0
DNK.1.1_1,DNK.1.19_1,9.0,0
DNK.1.1_1,DNK.1.23_1,20.0,0
DNK.1.1_1,DNK.1.14_1,12.0,0
DNK.1.1_1,DNK.1.10_1,26.0,0
DNK.1.1_1,DNK.4.2_1,4.0,0
DNK.1.1_1,DNK.1.8_1,3.0,0
DNK.1.1_1,DNK.1.25_1,21.0,0
DNK.1.1_1,DNK.1.12_1,1.0,0
DNK.1.1_1,DNK.1.13_1,1.0,0
DNK.1.1_1,DNK.1.26_1,1.0,0
DNK.1.1_1,DNK.4.12_1,4.0,0
DNK.1.1_1,DNK.1.28_1,2.0,0
DNK.1.1_1,DNK.1.29_1,2.0,0
DNK.1.1_1,DNK.1.2_1,1.0,0
DNK.1.1_1,DNK.1.11_1,2.0,0
DNK.1.1_1,DNK.1.20_1,1.0,0
DNK.1.1_1,DNK.4.6_1,1.0,0
DNK.1.1_1,DNK.1.17_1,1.0,0
DNK.1.1_1,DNK.1.18_1,1.0,0
DNK.1.1_1,DNK.4.15_1,1.0,0
DNK.1.1_1,DNK.4.9_1,1.0,0
DNK.1.1_1,DNK.2.9_1,1.0,0
DNK.1.1_1,DNK.2.1_1,2.0,0
DNK.1.1_1,DNK.5.21_1,2.0,0
DNK.1.1_1,DNK.3.1_1,1.0,0
DNK.1.1_1,DNK.2.5_1,1.0,0
DNK.1.2_1,DNK.1.12_1,768.0,0
DNK.1.2_1,DNK.1.20_1,218.0,0
DNK.1.2_1,DNK.1.22_1,51.0,0
DNK.1.2_1,DNK.1.28_1,59.0,0
DNK.1.2_1,DNK.1.8_1,38.0,0
DNK.1.2_1,DNK.1.9_1,10.0,0
DNK.1.2_1,DNK.1.3_1,11.0,0
DNK.1.2_1,DNK.1.26_1,12.0,0
DNK.1.2_1,DNK.1.19_1,6.0,0
DNK.1.2_1,DNK.1.14_1,16.0,0
DNK.1.2_1,DNK.1.13_1,8.0,0
DNK.1.2_1,DNK.1.11_1,5.0,0
DNK.1.2_1,DNK.1.15_1,5.0,0
DNK.1.2_1,DNK.1.27_1,4.0,0
DNK.1.2_1,DNK.1.16_1,4.0,0
DNK.1.2_1,DNK.1.21_1,5.0,0
DNK.1.2_1,DNK.1.18_1,2.0,0
DNK.1.2_1,DNK.1.10_1,5.0,0
DNK.1.2_1,DNK.1.17_1,2.0,0
DNK.1.2_1,DNK.1.5_1,1.0,0
DNK.1.2_1,DNK.1.25_1,13.0,0
DNK.1.2_1,DNK.1.30_1,1.0,0
DNK.1.2_1,DNK.1.23_1,1.0,0
DNK.1.2_1,DNK.4.12_1,1.0,0
DNK.1.2_1,DNK.4.2_1,2.0,0
DNK.1.2_1,DNK.4.7_1,1.0,0
DNK.1.2_1,DNK.4.4_1,1.0,0
DNK.1.2_1,DNK.4.13_1,1.0,0
DNK.1.2_1,DNK.5.15_1,1.0,0
DNK.1.2_1,DNK.4.3_1,1.0,0
DNK.1.2_1,DNK.2.9_1,1.0,0
DNK.1.2_1,DNK.2.1_1,1.0,0
DNK.1.2_1,DNK.2.11_1,1.0,0
DNK.1.2_1,DNK.3.7_1,1.0,0
DNK.1.2_1,DNK.2.14_1,2.0,0
DNK.1.3_1,DNK.1.19_1,748.0,0
