origin,destination,flow,time
DOM.1_1,DOM.25_1,2410.0,0
DOM.1_1,DOM.2_1,3200.0,0
DOM.1_1,DOM.20_1,2400.0,0
DOM.1_1,DOM.14_1,1445.0,0
DOM.1_1,DOM.16_1,309.0,0
DOM.1_1,DOM.26_1,277.0,0
DOM.1_1,DOM.3_1,192.0,0
DOM.1_1,DOM.24_1,446.0,0
DOM.1_1,DOM.30_1,274.0,0
DOM.1_1,DOM.10_1,17.0,0
DOM.1_1,DOM.28_1,30.0,0
DOM.1_1,DOM.5_1,160.0,0
DOM.1_1,DOM.12_1,4.0,0
DOM.1_1,DOM.19_1,9.0,0
DOM.1_1,DOM.29_1,2.0,0
DOM.1_1,DOM.31_1,226.0,0
DOM.1_1,DOM.22_1,1.0,0
DOM.1_1,DOM.6_1,15.0,0
DOM.1_1,DOM.18_1,4.0,0
DOM.1_1,DOM.32_1,9.0,0
DOM.1_1,DOM.8_1,8.0,0
DOM.1_1,DOM.21_1,14.0,0
DOM.1_1,DOM.15_1,9.0,0
DOM.1_1,DOM.17_1,4.0,0
DOM.1_1,DOM.27_1,15.0,0
DOM.1_1,DOM.23_1,4.0,0
DOM.1_1,DOM.7_1,3.0,0
DOM.1_1,DOM.13_1,6.0,0
DOM.1_1,DOM.11_1,8.0,0
DOM.2_1,DOM.10_1,2287.0,0
DOM.2_1,DOM.3_1,2536.0,0
DOM.2_1,DOM.26_1,938.0,0
DOM.2_1,DOM.1_1,507.0,0
DOM.2_1,DOM.12_1,94.0,0
DOM.2_1,DOM.19_1,61.0,0
DOM.2_1,DOM.25_1,69.0,0
DOM.2_1,DOM.14_1,302.0,0
DOM.2_1,DOM.29_1,20.0,0
DOM.2_1,DOM.30_1,296.0,0
DOM.2_1,DOM.20_1,45.0,0
DOM.2_1,DOM.16_1,22.0,0
DOM.2_1,DOM.4_1,11.0,0
DOM.2_1,DOM.24_1,78.0,0
DOM.2_1,DOM.32_1,5.0,0
DOM.2_1,DOM.17_1,11.0,0
DOM.2_1,DOM.28_1,8.0,0
DOM.2_1,DOM.22_1,8.0,0
DOM.2_1,DOM.5_1,53.0,0
DOM.2_1,DOM.21_1,14.0,0
DOM.2_1,DOM.8_1,12.0,0
DOM.2_1,DOM.6_1,10.0,0
DOM.2_1,DOM.31_1,62.0,0
DOM.2_1,DOM.18_1,2.0,0
DOM.2_1,DOM.15_1,2.0,0
DOM.2_1,DOM.27_1,6.0,0
DOM.2_1,DOM.23_1,1.0,0
DOM.2_1,DOM.9_1,2.0,0
DOM.2_1,DOM.7_1,1.0,0
DOM.2_1,DOM.13_1,1.0,0
DOM.2_1,DOM.11_1,7.0,0
DOM.3_1,DOM.2_1,4280.0,0
DOM.3_1,DOM.19_1,767.0,0
DOM.3_1,DOM.10_1,662.0,0
DOM.3_1,DOM.1_1,1305.0,0
DOM.3_1,DOM.26_1,641.0,0
DOM.3_1,DOM.25_1,116.0,0
DOM.3_1,DOM.20_1,415.0,0
DOM.3_1,DOM.12_1,57.0,0
DOM.3_1,DOM.24_1,482.0,0
DOM.3_1,DOM.14_1,144.0,0
DOM.3_1,DOM.16_1,50.0,0
DOM.3_1,DOM.30_1,186.0,0
DOM.3_1,DOM.29_1,8.0,0
DOM.3_1,DOM.5_1,96.0,0
DOM.3_1,DOM.4_1,9.0,0
DOM.3_1,DOM.28_1,15.0,0
DOM.3_1,DOM.31_1,164.0,0
DOM.3_1,DOM.32_1,12.0,0
DOM.3_1,DOM.22_1,3.0,0
DOM.3_1,DOM.18_1,3.0,0
DOM.3_1,DOM.6_1,11.0,0
DOM.3_1,DOM.17_1,9.0,0
DOM.3_1,DOM.8_1,5.0,0
DOM.3_1,DOM.21_1,8.0,0
DOM.3_1,DOM.15_1,3.0,0
DOM.3_1,DOM.27_1,9.0,0
DOM.3_1,DOM.9_1,2.0,0
DOM.3_1,DOM.23_1,2.0,0
DOM.3_1,DOM.13_1,6.0,0
DOM.3_1,DOM.7_1,1.0,0
DOM.3_1,DOM.11_1,3.0,0
DOM.4_1,DOM.29_1,1336.0,0
DOM.4_1,DOM.17_1,1044.0,0
DOM.4_1,DOM.12_1,116.0,0
DOM.4_1,DOM.32_1,180.0,0
DOM.4_1,DOM.26_1,102.0,0
DOM.4_1,DOM.30_1,135.0,0
DOM.4_1,DOM.21_1,11.0,0
DOM.4_1,DOM.2_1,2.0,0
DOM.4_1,DOM.14_1,12.0,0
DOM.4_1,DOM.10_1,3.0,0
DOM.4_1,DOM.1_1,6.0,0
DOM.4_1,DOM.8_1,6.0,0
DOM.4_1,DOM.16_1,1.0,0
DOM.4_1,DOM.3_1,3.0,0
DOM.4_1,DOM.25_1,1.0,0
DOM.4_1,DOM.6_1,4.0,0
DOM.4_1,DOM.28_1,3.0,0
DOM.4_1,DOM.15_1,1.0,0
DOM.4_1,DOM.24_1,10.0,0
DOM.4_1,DOM.20_1,1.0,0
