origin,destination,flow,time
DZA.1_1,DZA.7_1,2011.0,0
DZA.1_1,DZA.44_1,353.0,0
DZA.1_1,DZA.41_1,601.0,0
DZA.1_1,DZA.20_1,662.0,0
DZA.1_1,DZA.17_1,260.0,0
DZA.1_1,DZA.31_1,246.0,0
DZA.1_1,DZA.33_1,305.0,0
DZA.1_1,DZA.22_1,28.0,0
DZA.1_1,DZA.25_1,156.0,0
DZA.1_1,DZA.38_1,140.0,0
DZA.1_1,DZA.48_1,117.0,0
DZA.1_1,DZA.36_1,48.0,0
DZA.1_1,DZA.16_1,96.0,0
DZA.1_1,DZA.43_1,60.0,0
DZA.1_1,DZA.3_1,19.0,0
DZA.1_1,DZA.27_1,29.0,0
DZA.1_1,DZA.32_1,39.0,0
DZA.1_1,DZA.18_1,15.0,0
DZA.1_1,DZA.35_1,14.0,0
DZA.1_1,DZA.9_1,12.0,0
DZA.1_1,DZA.46_1,4.0,0
DZA.1_1,DZA.30_1,8.0,0
DZA.1_1,DZA.26_1,17.0,0
DZA.1_1,DZA.14_1,10.0,0
DZA.1_1,DZA.28_1,4.0,0
DZA.1_1,DZA.2_1,15.0,0
DZA.1_1,DZA.45_1,3.0,0
DZA.1_1,DZA.10_1,10.0,0
DZA.1_1,DZA.12_1,6.0,0
DZA.1_1,DZA.6_1,5.0,0
DZA.1_1,DZA.11_1,2.0,0
DZA.1_1,DZA.4_1,18.0,0
DZA.1_1,DZA.13_1,4.0,0
DZA.1_1,DZA.37_1,2.0,0
DZA.1_1,DZA.47_1,2.0,0
DZA.1_1,DZA.8_1,4.0,0
DZA.1_1,DZA.42_1,4.0,0
DZA.1_1,DZA.29_1,4.0,0
DZA.1_1,DZA.34_1,1.0,0
DZA.1_1,DZA.15_1,1.0,0
DZA.1_1,DZA.39_1,1.0,0
DZA.1_1,DZA.5_1,2.0,0
DZA.1_1,DZA.19_1,1.0,0
DZA.2_1,DZA.45_1,4023.0,0
DZA.2_1,DZA.46_1,1459.0,0
DZA.2_1,DZA.14_1,1260.0,0
DZA.2_1,DZA.28_1,513.0,0
DZA.2_1,DZA.10_1,428.0,0
DZA.2_1,DZA.4_1,621.0,0
DZA.2_1,DZA.35_1,58.0,0
DZA.2_1,DZA.43_1,77.0,0
DZA.2_1,DZA.13_1,63.0,0
DZA.2_1,DZA.30_1,41.0,0
DZA.2_1,DZA.12_1,39.0,0
DZA.2_1,DZA.27_1,35.0,0
DZA.2_1,DZA.47_1,36.0,0
DZA.2_1,DZA.26_1,34.0,0
DZA.2_1,DZA.36_1,10.0,0
DZA.2_1,DZA.11_1,25.0,0
DZA.2_1,DZA.16_1,35.0,0
DZA.2_1,DZA.32_1,30.0,0
DZA.2_1,DZA.8_1,12.0,0
DZA.2_1,DZA.38_1,6.0,0
DZA.2_1,DZA.25_1,12.0,0
DZA.2_1,DZA.3_1,5.0,0
DZA.2_1,DZA.37_1,14.0,0
DZA.2_1,DZA.9_1,14.0,0
DZA.2_1,DZA.48_1,4.0,0
DZA.2_1,DZA.6_1,16.0,0
DZA.2_1,DZA.23_1,7.0,0
DZA.2_1,DZA.29_1,7.0,0
DZA.2_1,DZA.31_1,5.0,0
DZA.2_1,DZA.15_1,12.0,0
DZA.2_1,DZA.17_1,3.0,0
DZA.2_1,DZA.39_1,9.0,0
DZA.2_1,DZA.34_1,3.0,0
DZA.2_1,DZA.24_1,3.0,0
DZA.2_1,DZA.21_1,4.0,0
DZA.2_1,DZA.5_1,3.0,0
DZA.2_1,DZA.40_1,2.0,0
DZA.2_1,DZA.42_1,5.0,0
DZA.2_1,DZA.19_1,2.0,0
DZA.2_1,DZA.18_1,1.0,0
DZA.2_1,DZA.20_1,5.0,0
DZA.2_1,DZA.33_1,2.0,0
DZA.2_1,DZA.7_1,1.0,0
DZA.2_1,DZA.1_1,2.0,0
DZA.2_1,DZA.44_1,1.0,0
DZA.2_1,DZA.41_1,2.0,0
DZA.3_1,DZA.32_1,3545.0,0
DZA.3_1,DZA.48_1,233.0,0
DZA.3_1,DZA.38_1,79.0,0
DZA.3_1,DZA.27_1,90.0,0
DZA.3_1,DZA.36_1,19.0,0
DZA.3_1,DZA.30_1,46.0,0
DZA.3_1,DZA.35_1,35.0,0
DZA.3_1,DZA.31_1,9.0,0
DZA.3_1,DZA.14_1,28.0,0
DZA.3_1,DZA.43_1,31.0,0
DZA.3_1,DZA.46_1,8.0,0
DZA.3_1,DZA.2_1,14.0,0
DZA.3_1,DZA.45_1,12.0,0
DZA.3_1,DZA.17_1,1.0,0
DZA.3_1,DZA.28_1,8.0,0
DZA.3_1,DZA.10_1,11.0,0
DZA.3_1,DZA.25_1,7.0,0
DZA.3_1,DZA.4_1,29.0,0
DZA.3_1,DZA.16_1,11.0,0
DZA.3_1,DZA.13_1,5.0,0
DZA.3_1,DZA.12_1,2.0,0
DZA.3_1,DZA.26_1,4.0,0
DZA.3_1,DZA.11_1,3.0,0
DZA.3_1,DZA.8_1,3.0,0
DZA.3_1,DZA.9_1,2.0,0
DZA.3_1,DZA.37_1,4.0,0
DZA.3_1,DZA.20_1,1.0,0
DZA.3_1,DZA.6_1,2.0,0
DZA.3_1,DZA.23_1,2.0,0
DZA.3_1,DZA.29_1,1.0,0
DZA.3_1,DZA.15_1,4.0,0
DZA.3_1,DZA.24_1,1.0,0
DZA.3_1,DZA.21_1,1.0,0
DZA.3_1,DZA.18_1,2.0,0
DZA.3_1,DZA.40_1,1.0,0
DZA.3_1,DZA.33_1,1.0,0
DZA.3_1,DZA.19_1,1.0,0
DZA.3_1,DZA.1_1,1.0,0
DZA.4_1,DZA.10_1,11280.0,0
DZA.4_1,DZA.13_1,5613.0,0
DZA.4_1,DZA.45_1,2878.0,0
DZA.4_1,DZA.28_1,2886.0,0
DZA.4_1,DZA.12_1,2123.0,0
DZA.4_1,DZA.47_1,2447.0,0
DZA.4_1,DZA.2_1,1647.0,0
DZA.4_1,DZA.46_1,992.0,0
DZA.4_1,DZA.8_1,1327.0,0
DZA.4_1,DZA.11_1,941.0,0
DZA.4_1,DZA.14_1,1177.0,0
DZA.4_1,DZA.26_1,1092.0,0
DZA.4_1,DZA.37_1,1265.0,0
