origin,destination,flow,time
ECU.1_1,ECU.3_1,20266.0,0
ECU.1_1,ECU.7_1,26319.0,0
ECU.1_1,ECU.5_1,9713.0,0
ECU.1_1,ECU.10_1,21238.0,0
ECU.1_1,ECU.24_1,209.0,0
ECU.1_1,ECU.12_1,734.0,0
ECU.1_1,ECU.15_1,266.0,0
ECU.1_1,ECU.2_1,268.0,0
ECU.1_1,ECU.20_1,462.0,0
ECU.1_1,ECU.13_1,987.0,0
ECU.1_1,ECU.23_1,468.0,0
ECU.1_1,ECU.6_1,411.0,0
ECU.1_1,ECU.14_1,1017.0,0
ECU.1_1,ECU.18_1,45.0,0
ECU.1_1,ECU.16_1,99.0,0
ECU.1_1,ECU.21_1,259.0,0
ECU.1_1,ECU.19_1,1239.0,0
ECU.1_1,ECU.11_1,128.0,0
ECU.1_1,ECU.17_1,76.0,0
ECU.1_1,ECU.8_1,174.0,0
ECU.1_1,ECU.4_1,43.0,0
ECU.1_1,ECU.22_1,56.0,0
ECU.1_1,ECU.9_1,9.0,0
ECU.2_1,ECU.13_1,16372.0,0
ECU.2_1,ECU.5_1,1101.0,0
ECU.2_1,ECU.23_1,638.0,0
ECU.2_1,ECU.6_1,321.0,0
ECU.2_1,ECU.10_1,942.0,0
ECU.2_1,ECU.3_1,16.0,0
ECU.2_1,ECU.21_1,48.0,0
ECU.2_1,ECU.14_1,70.0,0
ECU.2_1,ECU.1_1,39.0,0
ECU.2_1,ECU.15_1,11.0,0
ECU.2_1,ECU.19_1,88.0,0
ECU.2_1,ECU.20_1,11.0,0
ECU.2_1,ECU.16_1,3.0,0
ECU.2_1,ECU.7_1,16.0,0
ECU.2_1,ECU.11_1,8.0,0
ECU.2_1,ECU.18_1,5.0,0
ECU.2_1,ECU.8_1,11.0,0
ECU.2_1,ECU.4_1,3.0,0
ECU.2_1,ECU.12_1,11.0,0
ECU.2_1,ECU.24_1,2.0,0
ECU.2_1,ECU.17_1,4.0,0
ECU.2_1,ECU.22_1,2.0,0
ECU.3_1,ECU.1_1,19599.0,0
ECU.3_1,ECU.5_1,1825.0,0
ECU.3_1,ECU.2_1,446.0,0
ECU.3_1,ECU.10_1,2418.0,0
ECU.3_1,ECU.15_1,37.0,0
ECU.3_1,ECU.7_1,85.0,0
ECU.3_1,ECU.13_1,73.0,0
ECU.3_1,ECU.23_1,44.0,0
ECU.3_1,ECU.20_1,41.0,0
ECU.3_1,ECU.24_1,12.0,0
ECU.3_1,ECU.12_1,33.0,0
ECU.3_1,ECU.6_1,29.0,0
ECU.3_1,ECU.14_1,84.0,0
ECU.3_1,ECU.16_1,7.0,0
ECU.3_1,ECU.21_1,32.0,0
ECU.3_1,ECU.18_1,4.0,0
ECU.3_1,ECU.19_1,105.0,0
