origin,destination,flow,time
EGY.1.1_1,EGY.5.8_1,45540.0,0
EGY.1.1_1,EGY.5.2_1,11558.0,0
EGY.1.1_1,EGY.1.4_1,11044.0,0
EGY.1.1_1,EGY.1.8_1,12321.0,0
EGY.1.1_1,EGY.5.3_1,3843.0,0
EGY.1.1_1,EGY.1.5_1,2339.0,0
EGY.1.1_1,EGY.1.15_1,5770.0,0
EGY.1.1_1,EGY.16.11_1,2152.0,0
EGY.1.1_1,EGY.5.12_1,1989.0,0
EGY.1.1_1,EGY.1.3_1,1639.0,0
EGY.1.1_1,EGY.5.1_1,1572.0,0
EGY.1.1_1,EGY.5.4_1,829.0,0
EGY.1.1_1,EGY.1.19_1,556.0,0
EGY.1.1_1,EGY.1.17_1,361.0,0
EGY.1.1_1,EGY.1.20_1,210.0,0
EGY.1.1_1,EGY.1.13_1,71.0,0
EGY.1.1_1,EGY.16.6_1,176.0,0
EGY.1.1_1,EGY.5.10_1,245.0,0
EGY.1.1_1,EGY.5.9_1,709.0,0
EGY.1.1_1,EGY.16.7_1,43.0,0
EGY.1.1_1,EGY.5.11_1,171.0,0
EGY.1.1_1,EGY.5.7_1,270.0,0
EGY.1.1_1,EGY.16.14_1,208.0,0
EGY.1.1_1,EGY.9.4_1,224.0,0
EGY.1.1_1,EGY.1.9_1,83.0,0
EGY.1.1_1,EGY.12.6_1,129.0,0
EGY.1.1_1,EGY.16.13_1,164.0,0
EGY.1.1_1,EGY.16.21_1,116.0,0
EGY.1.1_1,EGY.16.19_1,430.0,0
EGY.1.1_1,EGY.16.20_1,81.0,0
EGY.1.1_1,EGY.9.7_1,199.0,0
EGY.1.1_1,EGY.1.11_1,126.0,0
EGY.1.1_1,EGY.16.4_1,140.0,0
EGY.1.1_1,EGY.23.4_1,102.0,0
EGY.1.1_1,EGY.16.16_1,199.0,0
EGY.1.1_1,EGY.9.11_1,114.0,0
EGY.1.1_1,EGY.23.7_1,192.0,0
EGY.1.1_1,EGY.1.18_1,112.0,0
EGY.1.1_1,EGY.16.9_1,54.0,0
EGY.1.1_1,EGY.5.5_1,55.0,0
