origin,destination,flow,time
ERI.1_1,ERI.5_1,6158.0,0
ERI.1_1,ERI.2_1,1821.0,0
ERI.1_1,ERI.4_1,614.0,0
ERI.1_1,ERI.6_1,223.0,0
ERI.1_1,ERI.3_1,53.0,0
ERI.2_1,ERI.1_1,7791.0,0
ERI.2_1,ERI.6_1,3147.0,0
ERI.2_1,ERI.5_1,3062.0,0
ERI.2_1,ERI.4_1,1565.0,0
ERI.2_1,ERI.3_1,167.0,0
ERI.3_1,ERI.5_1,1506.0,0
ERI.3_1,ERI.1_1,72.0,0
ERI.3_1,ERI.2_1,36.0,0
ERI.3_1,ERI.4_1,28.0,0
ERI.3_1,ERI.6_1,5.0,0
ERI.4_1,ERI.6_1,5804.0,0
ERI.4_1,ERI.1_1,3153.0,0
ERI.4_1,ERI.5_1,2100.0,0
ERI.4_1,ERI.2_1,1357.0,0
ERI.4_1,ERI.3_1,87.0,0
ERI.5_1,ERI.1_1,6736.0,0
ERI.5_1,ERI.2_1,3945.0,0
ERI.5_1,ERI.4_1,1384.0,0
ERI.5_1,ERI.6_1,528.0,0
ERI.5_1,ERI.3_1,104.0,0
ERI.6_1,ERI.2_1,5667.0,0
ERI.6_1,ERI.4_1,926.0,0
ERI.6_1,ERI.1_1,352.0,0
ERI.6_1,ERI.5_1,297.0,0
ERI.6_1,ERI.3_1,26.0,0
ERI.1_1,ERI.1_1,878059.7988848878,0
ERI.2_1,ERI.2_1,1557521.5878376407,0
ERI.3_1,ERI.3_1,163130.7228599456,0
ERI.4_1,ERI.4_1,1237622.771531698,0
ERI.5_1,ERI.5_1,1257034.2496205473,0
ERI.6_1,ERI.6_1,719535.7118523213,0
