origin,destination,flow,time
ESP.1_1,ESP.7_1,84244.0,0
ESP.1_1,ESP.11_1,521432.0,0
ESP.1_1,ESP.4_1,820246.0,0
ESP.1_1,ESP.18_1,407591.0,0
ESP.1_1,ESP.8_1,1033312.0,0
ESP.1_1,ESP.10_1,427030.0,0
ESP.1_1,ESP.5_1,137415.0,0
ESP.1_1,ESP.2_1,68781.0,0
ESP.1_1,ESP.15_1,15665.0,0
ESP.1_1,ESP.9_1,30311.0,0
ESP.1_1,ESP.3_1,25492.0,0
ESP.1_1,ESP.16_1,83863.0,0
ESP.1_1,ESP.12_1,90201.0,0
ESP.1_1,ESP.17_1,31347.0,0
ESP.1_1,ESP.13_1,37644.0,0
ESP.1_1,ESP.6_1,190927.0,0
ESP.1_1,ESP.14_1,42327.0,0
ESP.2_1,ESP.9_1,219550.0,0
ESP.2_1,ESP.15_1,62202.0,0
ESP.2_1,ESP.6_1,294805.0,0
ESP.2_1,ESP.16_1,14511.0,0
ESP.2_1,ESP.10_1,22003.0,0
ESP.2_1,ESP.8_1,14242.0,0
ESP.2_1,ESP.4_1,3072.0,0
ESP.2_1,ESP.3_1,710.0,0
ESP.2_1,ESP.5_1,2611.0,0
ESP.2_1,ESP.13_1,1214.0,0
ESP.2_1,ESP.18_1,1379.0,0
ESP.2_1,ESP.17_1,859.0,0
ESP.2_1,ESP.11_1,805.0,0
ESP.2_1,ESP.1_1,5170.0,0
ESP.2_1,ESP.12_1,1177.0,0
ESP.2_1,ESP.7_1,59.0,0
ESP.2_1,ESP.14_1,985.0,0
ESP.3_1,ESP.16_1,215853.0,0
ESP.3_1,ESP.17_1,16392.0,0
ESP.3_1,ESP.15_1,3630.0,0
ESP.3_1,ESP.5_1,15153.0,0
ESP.3_1,ESP.9_1,2436.0,0
ESP.3_1,ESP.8_1,11205.0,0
ESP.3_1,ESP.12_1,1809.0,0
ESP.3_1,ESP.2_1,719.0,0
ESP.3_1,ESP.4_1,1045.0,0
ESP.3_1,ESP.11_1,351.0,0
ESP.3_1,ESP.6_1,2062.0,0
ESP.3_1,ESP.10_1,872.0,0
ESP.3_1,ESP.18_1,182.0,0
ESP.3_1,ESP.1_1,830.0,0
ESP.3_1,ESP.13_1,100.0,0
ESP.3_1,ESP.7_1,8.0,0
ESP.3_1,ESP.14_1,168.0,0
ESP.4_1,ESP.8_1,853335.0,0
ESP.4_1,ESP.10_1,106100.0,0
ESP.4_1,ESP.18_1,17550.0,0
ESP.4_1,ESP.1_1,56038.0,0
ESP.4_1,ESP.11_1,4358.0,0
ESP.4_1,ESP.5_1,8716.0,0
ESP.4_1,ESP.2_1,4266.0,0
ESP.4_1,ESP.15_1,995.0,0
ESP.4_1,ESP.9_1,1960.0,0
ESP.4_1,ESP.16_1,5429.0,0
ESP.4_1,ESP.3_1,1419.0,0
ESP.4_1,ESP.7_1,373.0,0
ESP.4_1,ESP.6_1,15083.0,0
ESP.4_1,ESP.17_1,1391.0,0
ESP.4_1,ESP.13_1,1724.0,0
ESP.4_1,ESP.12_1,3344.0,0
ESP.4_1,ESP.14_1,2662.0,0
ESP.5_1,ESP.8_1,886399.0,0
ESP.5_1,ESP.3_1,18380.0,0
ESP.5_1,ESP.15_1,9671.0,0
ESP.5_1,ESP.17_1,24967.0,0
ESP.5_1,ESP.16_1,40249.0,0
ESP.5_1,ESP.9_1,10511.0,0
ESP.5_1,ESP.12_1,32214.0,0
ESP.5_1,ESP.4_1,21408.0,0
ESP.5_1,ESP.11_1,8151.0,0
ESP.5_1,ESP.2_1,9373.0,0
ESP.5_1,ESP.10_1,27456.0,0
ESP.5_1,ESP.1_1,26265.0,0
ESP.5_1,ESP.18_1,3497.0,0
ESP.5_1,ESP.6_1,14096.0,0
ESP.5_1,ESP.7_1,195.0,0
ESP.5_1,ESP.13_1,1730.0,0
ESP.5_1,ESP.14_1,2928.0,0
ESP.6_1,ESP.2_1,660668.0,0
ESP.6_1,ESP.13_1,456938.0,0
ESP.6_1,ESP.9_1,202053.0,0
ESP.6_1,ESP.10_1,1033562.0,0
ESP.6_1,ESP.15_1,42271.0,0
ESP.6_1,ESP.16_1,230087.0,0
ESP.6_1,ESP.4_1,202863.0,0
ESP.6_1,ESP.8_1,409505.0,0
ESP.6_1,ESP.3_1,25626.0,0
ESP.6_1,ESP.18_1,65457.0,0
ESP.6_1,ESP.5_1,86191.0,0
ESP.6_1,ESP.17_1,31813.0,0
ESP.6_1,ESP.1_1,215601.0,0
ESP.6_1,ESP.11_1,20556.0,0
ESP.6_1,ESP.12_1,46523.0,0
ESP.6_1,ESP.7_1,2447.0,0
ESP.6_1,ESP.14_1,36242.0,0
ESP.7_1,ESP.1_1,69564.0,0
ESP.7_1,ESP.18_1,191.0,0
ESP.7_1,ESP.11_1,86.0,0
ESP.7_1,ESP.4_1,136.0,0
ESP.7_1,ESP.8_1,243.0,0
ESP.7_1,ESP.10_1,118.0,0
ESP.7_1,ESP.5_1,42.0,0
ESP.7_1,ESP.2_1,18.0,0
ESP.7_1,ESP.15_1,5.0,0
ESP.7_1,ESP.13_1,11.0,0
ESP.7_1,ESP.9_1,12.0,0
ESP.7_1,ESP.12_1,22.0,0
ESP.7_1,ESP.16_1,19.0,0
ESP.7_1,ESP.3_1,4.0,0
ESP.7_1,ESP.17_1,4.0,0
ESP.7_1,ESP.6_1,43.0,0
ESP.7_1,ESP.14_1,10.0,0
ESP.8_1,ESP.4_1,947337.0,0
ESP.8_1,ESP.5_1,590802.0,0
ESP.8_1,ESP.15_1,62571.0,0
ESP.8_1,ESP.11_1,177819.0,0
ESP.8_1,ESP.2_1,190731.0,0
ESP.8_1,ESP.10_1,496614.0,0
ESP.8_1,ESP.9_1,43461.0,0
ESP.8_1,ESP.16_1,117466.0,0
ESP.8_1,ESP.3_1,29099.0,0
ESP.8_1,ESP.18_1,73491.0,0
ESP.8_1,ESP.1_1,272462.0,0
ESP.8_1,ESP.17_1,22705.0,0
ESP.8_1,ESP.12_1,52667.0,0
ESP.8_1,ESP.6_1,126309.0,0
ESP.8_1,ESP.7_1,1920.0,0
ESP.8_1,ESP.13_1,15667.0,0
ESP.8_1,ESP.14_1,26267.0,0
ESP.9_1,ESP.15_1,106901.0,0
ESP.9_1,ESP.16_1,145450.0,0
ESP.9_1,ESP.2_1,21725.0,0
ESP.9_1,ESP.3_1,5670.0,0
ESP.9_1,ESP.5_1,14032.0,0
ESP.9_1,ESP.6_1,15089.0,0
ESP.9_1,ESP.8_1,4289.0,0
ESP.9_1,ESP.17_1,412.0,0
ESP.9_1,ESP.4_1,839.0,0
ESP.9_1,ESP.10_1,1463.0,0
ESP.9_1,ESP.12_1,529.0,0
ESP.9_1,ESP.13_1,244.0,0
ESP.9_1,ESP.18_1,279.0,0
ESP.9_1,ESP.11_1,160.0,0
ESP.9_1,ESP.1_1,1105.0,0
ESP.9_1,ESP.7_1,12.0,0
ESP.9_1,ESP.14_1,210.0,0
ESP.10_1,ESP.18_1,654591.0,0
ESP.10_1,ESP.4_1,546693.0,0
ESP.10_1,ESP.2_1,213938.0,0
ESP.10_1,ESP.8_1,568619.0,0
ESP.10_1,ESP.13_1,59103.0,0
ESP.10_1,ESP.6_1,245235.0,0
ESP.10_1,ESP.15_1,7167.0,0
ESP.10_1,ESP.9_1,13885.0,0
ESP.10_1,ESP.1_1,131253.0,0
ESP.10_1,ESP.16_1,22746.0,0
ESP.10_1,ESP.5_1,23618.0,0
ESP.10_1,ESP.11_1,9678.0,0
ESP.10_1,ESP.3_1,5047.0,0
ESP.10_1,ESP.7_1,1300.0,0
ESP.10_1,ESP.17_1,8173.0,0
ESP.10_1,ESP.12_1,19655.0,0
ESP.10_1,ESP.14_1,15643.0,0
ESP.11_1,ESP.1_1,453585.0,0
ESP.11_1,ESP.8_1,23196.0,0
ESP.11_1,ESP.4_1,3981.0,0
ESP.11_1,ESP.5_1,3243.0,0
ESP.11_1,ESP.7_1,176.0,0
ESP.11_1,ESP.12_1,2663.0,0
ESP.11_1,ESP.18_1,1425.0,0
ESP.11_1,ESP.17_1,807.0,0
ESP.11_1,ESP.15_1,227.0,0
ESP.11_1,ESP.3_1,426.0,0
ESP.11_1,ESP.10_1,3187.0,0
ESP.11_1,ESP.16_1,965.0,0
ESP.11_1,ESP.2_1,595.0,0
ESP.11_1,ESP.9_1,280.0,0
ESP.11_1,ESP.6_1,2580.0,0
ESP.11_1,ESP.13_1,318.0,0
ESP.11_1,ESP.14_1,519.0,0
ESP.12_1,ESP.17_1,356887.0,0
ESP.12_1,ESP.5_1,372202.0,0
ESP.12_1,ESP.3_1,49011.0,0
ESP.12_1,ESP.11_1,69578.0,0
ESP.12_1,ESP.8_1,204465.0,0
