origin,destination,flow,time
EST.1.1_1,EST.1.2_1,94.0,0
EST.1.1_1,EST.4.2_1,1.0,0
EST.1.1_1,EST.1.10_1,3.0,0
EST.1.1_1,EST.6.10_1,1.0,0
EST.1.1_1,EST.1.16_1,1.0,0
EST.1.1_1,EST.1.8_1,1.0,0
EST.1.1_1,EST.6.9_1,1.0,0
EST.1.2_1,EST.1.1_1,111.0,0
EST.1.2_1,EST.1.10_1,653.0,0
EST.1.2_1,EST.1.16_1,208.0,0
EST.1.2_1,EST.4.1_1,43.0,0
EST.1.2_1,EST.4.2_1,77.0,0
EST.1.2_1,EST.1.4_1,173.0,0
EST.1.2_1,EST.1.8_1,145.0,0
EST.1.2_1,EST.1.9_1,14.0,0
EST.1.2_1,EST.1.17_1,146.0,0
EST.1.2_1,EST.6.10_1,11.0,0
EST.1.2_1,EST.6.2_1,17.0,0
EST.1.2_1,EST.1.12_1,18.0,0
EST.1.2_1,EST.1.7_1,7.0,0
EST.1.2_1,EST.4.4_1,1.0,0
EST.1.2_1,EST.6.9_1,10.0,0
EST.1.2_1,EST.11.2_1,1.0,0
EST.1.2_1,EST.11.3_1,2.0,0
EST.1.2_1,EST.4.9_1,3.0,0
EST.1.2_1,EST.6.12_1,2.0,0
EST.1.2_1,EST.1.20_1,101.0,0
EST.1.2_1,EST.4.12_1,1.0,0
EST.1.2_1,EST.6.7_1,1.0,0
EST.1.2_1,EST.4.8_1,1.0,0
EST.1.2_1,EST.11.9_1,1.0,0
EST.1.2_1,EST.1.19_1,1.0,0
EST.1.2_1,EST.1.6_1,1.0,0
EST.1.2_1,EST.6.5_1,1.0,0
EST.1.2_1,EST.8.18_1,1.0,0
EST.1.2_1,EST.1.15_1,1.0,0
EST.1.2_1,EST.3.6_1,3.0,0
EST.1.2_1,EST.8.7_1,1.0,0
EST.1.2_1,EST.8.10_1,1.0,0
EST.1.2_1,EST.13.18_1,1.0,0
EST.1.2_1,EST.15.12_1,1.0,0
EST.1.2_1,EST.3.18_1,1.0,0
EST.1.2_1,EST.3.16_1,3.0,0
EST.1.2_1,EST.14.13_1,1.0,0
EST.1.2_1,EST.12.4_1,1.0,0
EST.1.3_1,EST.1.5_1,2855.0,0
EST.1.3_1,EST.1.19_1,553.0,0
EST.1.3_1,EST.1.20_1,1469.0,0
EST.1.3_1,EST.1.18_1,12.0,0
EST.1.3_1,EST.1.15_1,1.0,0
EST.1.3_1,EST.1.22_1,21.0,0
EST.1.3_1,EST.1.6_1,2.0,0
EST.1.3_1,EST.1.7_1,9.0,0
EST.1.3_1,EST.1.17_1,9.0,0
