origin,destination,flow,time
ETH.1_1,ETH.8_1,71919.0,0
ETH.1_1,ETH.3_1,2100.0,0
ETH.1_1,ETH.10_1,1071.0,0
ETH.1_1,ETH.5_1,13.0,0
ETH.1_1,ETH.7_1,10.0,0
ETH.1_1,ETH.2_1,77.0,0
ETH.1_1,ETH.4_1,40.0,0
ETH.1_1,ETH.6_1,17.0,0
ETH.1_1,ETH.11_1,152.0,0
ETH.1_1,ETH.9_1,175.0,0
ETH.2_1,ETH.3_1,37642.0,0
ETH.2_1,ETH.5_1,52.0,0
ETH.2_1,ETH.11_1,605.0,0
ETH.2_1,ETH.7_1,16.0,0
ETH.2_1,ETH.1_1,245.0,0
ETH.2_1,ETH.8_1,1192.0,0
ETH.2_1,ETH.4_1,14.0,0
ETH.2_1,ETH.9_1,85.0,0
ETH.2_1,ETH.10_1,183.0,0
ETH.2_1,ETH.6_1,4.0,0
ETH.3_1,ETH.11_1,129560.0,0
ETH.3_1,ETH.1_1,52865.0,0
ETH.3_1,ETH.2_1,23498.0,0
ETH.3_1,ETH.4_1,13485.0,0
ETH.3_1,ETH.8_1,210223.0,0
ETH.3_1,ETH.5_1,1165.0,0
ETH.3_1,ETH.7_1,619.0,0
ETH.3_1,ETH.10_1,40295.0,0
ETH.3_1,ETH.6_1,822.0,0
ETH.3_1,ETH.9_1,8726.0,0
ETH.4_1,ETH.3_1,23965.0,0
ETH.4_1,ETH.6_1,36.0,0
ETH.4_1,ETH.1_1,149.0,0
ETH.4_1,ETH.10_1,474.0,0
ETH.4_1,ETH.11_1,58.0,0
ETH.4_1,ETH.8_1,215.0,0
ETH.4_1,ETH.2_1,7.0,0
ETH.4_1,ETH.5_1,2.0,0
ETH.4_1,ETH.7_1,2.0,0
ETH.4_1,ETH.9_1,17.0,0
ETH.5_1,ETH.7_1,3580.0,0
ETH.5_1,ETH.2_1,4722.0,0
ETH.5_1,ETH.9_1,1327.0,0
ETH.5_1,ETH.1_1,133.0,0
ETH.5_1,ETH.8_1,257.0,0
ETH.5_1,ETH.3_1,26.0,0
ETH.5_1,ETH.11_1,7.0,0
ETH.5_1,ETH.10_1,9.0,0
ETH.6_1,ETH.10_1,12313.0,0
ETH.6_1,ETH.4_1,16.0,0
ETH.6_1,ETH.8_1,200.0,0
ETH.6_1,ETH.1_1,8.0,0
ETH.6_1,ETH.3_1,26.0,0
ETH.6_1,ETH.11_1,7.0,0
ETH.6_1,ETH.2_1,1.0,0
ETH.6_1,ETH.7_1,1.0,0
ETH.6_1,ETH.9_1,5.0,0
ETH.7_1,ETH.5_1,3557.0,0
ETH.7_1,ETH.9_1,1751.0,0
ETH.7_1,ETH.2_1,34.0,0
ETH.7_1,ETH.1_1,52.0,0
ETH.7_1,ETH.8_1,70.0,0
ETH.7_1,ETH.3_1,6.0,0
ETH.7_1,ETH.11_1,2.0,0
ETH.7_1,ETH.10_1,5.0,0
ETH.7_1,ETH.4_1,3.0,0
ETH.8_1,ETH.1_1,112515.0,0
ETH.8_1,ETH.10_1,424623.0,0
ETH.8_1,ETH.7_1,3299.0,0
ETH.8_1,ETH.5_1,5953.0,0
ETH.8_1,ETH.3_1,214355.0,0
ETH.8_1,ETH.6_1,4311.0,0
ETH.8_1,ETH.4_1,8139.0,0
ETH.8_1,ETH.9_1,41373.0,0
ETH.8_1,ETH.2_1,10978.0,0
ETH.8_1,ETH.11_1,32611.0,0
ETH.9_1,ETH.7_1,5565.0,0
ETH.9_1,ETH.5_1,9104.0,0
ETH.9_1,ETH.8_1,112050.0,0
ETH.9_1,ETH.1_1,1362.0,0
ETH.9_1,ETH.2_1,688.0,0
ETH.9_1,ETH.10_1,5157.0,0
ETH.9_1,ETH.3_1,2934.0,0
ETH.9_1,ETH.11_1,591.0,0
ETH.9_1,ETH.4_1,116.0,0
ETH.9_1,ETH.6_1,53.0,0
ETH.10_1,ETH.8_1,380568.0,0
ETH.10_1,ETH.6_1,1901.0,0
ETH.10_1,ETH.1_1,11098.0,0
ETH.10_1,ETH.4_1,3442.0,0
ETH.10_1,ETH.3_1,47558.0,0
ETH.10_1,ETH.7_1,410.0,0
ETH.10_1,ETH.5_1,724.0,0
ETH.10_1,ETH.9_1,9523.0,0
ETH.10_1,ETH.2_1,2406.0,0
ETH.10_1,ETH.11_1,7473.0,0
ETH.11_1,ETH.3_1,107722.0,0
ETH.11_1,ETH.2_1,1782.0,0
ETH.11_1,ETH.4_1,1013.0,0
ETH.11_1,ETH.1_1,2657.0,0
ETH.11_1,ETH.5_1,321.0,0
ETH.11_1,ETH.7_1,133.0,0
ETH.11_1,ETH.8_1,11958.0,0
ETH.11_1,ETH.6_1,89.0,0
ETH.11_1,ETH.10_1,2356.0,0
ETH.11_1,ETH.9_1,507.0,0
ETH.1_1,ETH.1_1,3703134.982037355,0
ETH.2_1,ETH.2_1,1961905.1367296095,0
ETH.3_1,ETH.3_1,23581675.76881785,0
ETH.4_1,ETH.4_1,1221358.3832132437,0
ETH.5_1,ETH.5_1,493001.91471801716,0
ETH.6_1,ETH.6_1,616312.9413996352,0
ETH.7_1,ETH.7_1,268560.6180810543,0
ETH.8_1,ETH.8_1,42049709.530106,0
ETH.9_1,ETH.9_1,6743414.84728589,0
ETH.10_1,ETH.10_1,22790050.99211663,0
ETH.11_1,ETH.11_1,6298378.370055456,0
