origin,destination,flow,time
FIN.1_1,FIN.4_1,249261.0,0
FIN.1_1,FIN.3_1,11936.0,0
FIN.1_1,FIN.5_1,26756.0,0
FIN.1_1,FIN.2_1,1160.0,0
FIN.2_1,FIN.3_1,66739.0,0
FIN.2_1,FIN.1_1,11273.0,0
FIN.2_1,FIN.5_1,8226.0,0
FIN.2_1,FIN.4_1,1649.0,0
FIN.3_1,FIN.1_1,145652.0,0
FIN.3_1,FIN.2_1,17583.0,0
FIN.3_1,FIN.5_1,68320.0,0
FIN.3_1,FIN.4_1,13579.0,0
FIN.4_1,FIN.5_1,814550.0,0
FIN.4_1,FIN.1_1,84511.0,0
FIN.4_1,FIN.3_1,56670.0,0
FIN.4_1,FIN.2_1,18124.0,0
FIN.5_1,FIN.4_1,894020.0,0
FIN.5_1,FIN.1_1,124872.0,0
FIN.5_1,FIN.3_1,84834.0,0
FIN.5_1,FIN.2_1,26479.0,0
FIN.1_1,FIN.1_1,289113.59060267,0
FIN.2_1,FIN.2_1,87887.530799751,0
FIN.3_1,FIN.3_1,245134.6168189375,0
FIN.4_1,FIN.4_1,973855.627747105,0
FIN.5_1,FIN.5_1,1130205.87029346,0
