origin,destination,flow,time
FJI.1_1,FJI.5_1,32818.0,0
FJI.1_1,FJI.4_1,60.0,0
FJI.1_1,FJI.3_1,5544.0,0
FJI.1_1,FJI.2_1,1229.0,0
FJI.2_1,FJI.3_1,2687.0,0
FJI.2_1,FJI.5_1,469.0,0
FJI.2_1,FJI.1_1,106.0,0
FJI.3_1,FJI.4_1,109.0,0
FJI.3_1,FJI.5_1,10565.0,0
FJI.3_1,FJI.1_1,1893.0,0
FJI.3_1,FJI.2_1,91.0,0
FJI.4_1,FJI.5_1,113.0,0
FJI.5_1,FJI.1_1,29040.0,0
FJI.5_1,FJI.4_1,41.0,0
FJI.5_1,FJI.3_1,3654.0,0
FJI.5_1,FJI.2_1,786.0,0
FJI.1_1,FJI.1_1,356863.8888217089,0
FJI.2_1,FJI.2_1,29365.128178435527,0
FJI.3_1,FJI.3_1,113922.1604162961,0
FJI.4_1,FJI.4_1,1018.8783677101139,0
FJI.5_1,FJI.5_1,301695.7373157798,0
