origin,destination,flow,time
GAB.1_1,GAB.3_1,10372.0,0
GAB.1_1,GAB.8_1,13483.0,0
GAB.1_1,GAB.9_1,17180.0,0
GAB.1_1,GAB.4_1,6077.0,0
GAB.1_1,GAB.6_1,3401.0,0
GAB.1_1,GAB.7_1,3835.0,0
GAB.1_1,GAB.5_1,1985.0,0
GAB.1_1,GAB.2_1,15951.0,0
GAB.2_1,GAB.7_1,9384.0,0
GAB.2_1,GAB.6_1,5700.0,0
GAB.2_1,GAB.4_1,6919.0,0
GAB.2_1,GAB.5_1,2766.0,0
GAB.2_1,GAB.9_1,9340.0,0
GAB.2_1,GAB.3_1,2387.0,0
GAB.2_1,GAB.1_1,13098.0,0
GAB.2_1,GAB.8_1,1242.0,0
GAB.3_1,GAB.1_1,6784.0,0
GAB.3_1,GAB.4_1,82.0,0
GAB.3_1,GAB.8_1,60.0,0
GAB.3_1,GAB.7_1,39.0,0
GAB.3_1,GAB.9_1,71.0,0
GAB.3_1,GAB.6_1,12.0,0
GAB.3_1,GAB.5_1,10.0,0
GAB.3_1,GAB.2_1,93.0,0
GAB.4_1,GAB.3_1,4385.0,0
GAB.4_1,GAB.5_1,1230.0,0
GAB.4_1,GAB.8_1,1545.0,0
GAB.4_1,GAB.7_1,565.0,0
GAB.4_1,GAB.1_1,1511.0,0
GAB.4_1,GAB.2_1,255.0,0
GAB.4_1,GAB.6_1,15.0,0
GAB.4_1,GAB.9_1,56.0,0
GAB.5_1,GAB.4_1,3076.0,0
GAB.5_1,GAB.8_1,713.0,0
GAB.5_1,GAB.3_1,185.0,0
GAB.5_1,GAB.7_1,135.0,0
GAB.5_1,GAB.2_1,272.0,0
GAB.5_1,GAB.1_1,91.0,0
GAB.5_1,GAB.6_1,4.0,0
GAB.5_1,GAB.9_1,17.0,0
GAB.6_1,GAB.9_1,4907.0,0
GAB.6_1,GAB.7_1,332.0,0
GAB.6_1,GAB.2_1,676.0,0
GAB.6_1,GAB.3_1,39.0,0
GAB.6_1,GAB.4_1,39.0,0
GAB.6_1,GAB.1_1,138.0,0
GAB.6_1,GAB.8_1,9.0,0
GAB.6_1,GAB.5_1,3.0,0
GAB.7_1,GAB.2_1,7159.0,0
GAB.7_1,GAB.6_1,108.0,0
GAB.7_1,GAB.4_1,113.0,0
GAB.7_1,GAB.3_1,67.0,0
GAB.7_1,GAB.9_1,165.0,0
GAB.7_1,GAB.5_1,34.0,0
GAB.7_1,GAB.1_1,252.0,0
GAB.7_1,GAB.8_1,23.0,0
GAB.8_1,GAB.3_1,4643.0,0
GAB.8_1,GAB.4_1,2529.0,0
GAB.8_1,GAB.1_1,3578.0,0
GAB.8_1,GAB.5_1,69.0,0
GAB.8_1,GAB.7_1,100.0,0
GAB.8_1,GAB.9_1,178.0,0
GAB.8_1,GAB.6_1,43.0,0
GAB.8_1,GAB.2_1,320.0,0
GAB.9_1,GAB.6_1,5307.0,0
GAB.9_1,GAB.1_1,13071.0,0
GAB.9_1,GAB.3_1,324.0,0
GAB.9_1,GAB.7_1,327.0,0
GAB.9_1,GAB.4_1,309.0,0
GAB.9_1,GAB.2_1,1146.0,0
GAB.9_1,GAB.8_1,152.0,0
GAB.9_1,GAB.5_1,66.0,0
GAB.1_1,GAB.1_1,650564.4073778407,0
GAB.2_1,GAB.2_1,457528.0518039465,0
GAB.3_1,GAB.3_1,64365.91209851265,0
GAB.4_1,GAB.4_1,86061.76636562342,0
GAB.5_1,GAB.5_1,40441.715368872836,0
GAB.6_1,GAB.6_1,55289.99752532245,0
GAB.7_1,GAB.7_1,71293.64117050765,0
GAB.8_1,GAB.8_1,103144.37579456849,0
GAB.9_1,GAB.9_1,186324.8246424972,0
