origin,destination,flow,time
GBR.1.1_1,GBR.1.83_1,1753.0,0
GBR.1.1_1,GBR.1.105_1,229.0,0
GBR.1.1_1,GBR.1.46_1,165.0,0
GBR.1.1_1,GBR.1.77_1,69.0,0
GBR.1.1_1,GBR.1.27_1,51.0,0
GBR.1.1_1,GBR.1.49_1,89.0,0
GBR.1.1_1,GBR.1.68_1,11.0,0
GBR.1.1_1,GBR.1.15_1,15.0,0
GBR.1.1_1,GBR.1.100_1,16.0,0
GBR.1.1_1,GBR.1.10_1,21.0,0
GBR.1.1_1,GBR.1.93_1,10.0,0
GBR.1.1_1,GBR.1.25_1,27.0,0
GBR.1.1_1,GBR.1.76_1,5.0,0
GBR.1.1_1,GBR.1.54_1,13.0,0
GBR.1.1_1,GBR.1.14_1,2.0,0
GBR.1.1_1,GBR.1.104_1,7.0,0
GBR.1.1_1,GBR.1.67_1,10.0,0
GBR.1.1_1,GBR.1.80_1,3.0,0
GBR.1.1_1,GBR.1.118_1,1.0,0
GBR.1.1_1,GBR.1.7_1,4.0,0
GBR.1.1_1,GBR.1.60_1,1.0,0
GBR.1.1_1,GBR.1.5_1,4.0,0
GBR.1.1_1,GBR.1.18_1,6.0,0
GBR.1.1_1,GBR.1.24_1,3.0,0
GBR.1.1_1,GBR.1.107_1,2.0,0
GBR.1.1_1,GBR.1.111_1,3.0,0
GBR.1.1_1,GBR.1.63_1,3.0,0
GBR.1.1_1,GBR.1.79_1,2.0,0
GBR.1.1_1,GBR.1.48_1,9.0,0
GBR.1.1_1,GBR.1.37_1,1.0,0
GBR.1.1_1,GBR.1.92_1,3.0,0
GBR.1.1_1,GBR.1.19_1,2.0,0
GBR.1.1_1,GBR.1.47_1,1.0,0
GBR.1.1_1,GBR.1.82_1,4.0,0
GBR.1.1_1,GBR.1.52_1,3.0,0
GBR.1.1_1,GBR.1.50_1,2.0,0
GBR.1.1_1,GBR.1.106_1,1.0,0
GBR.1.1_1,GBR.1.4_1,3.0,0
GBR.1.1_1,GBR.1.75_1,1.0,0
GBR.1.1_1,GBR.1.22_1,1.0,0
GBR.1.1_1,GBR.4.8_1,1.0,0
GBR.1.1_1,GBR.1.65_1,1.0,0
GBR.1.1_1,GBR.1.41_1,1.0,0
GBR.1.1_1,GBR.1.33_1,2.0,0
GBR.1.1_1,GBR.1.38_1,2.0,0
GBR.1.1_1,GBR.3.10_1,1.0,0
GBR.1.1_1,GBR.3.32_1,1.0,0
GBR.1.1_1,GBR.3.22_1,2.0,0
GBR.1.1_1,GBR.3.3_1,1.0,0
GBR.1.2_1,GBR.1.12_1,1289.0,0
GBR.1.2_1,GBR.1.88_1,146.0,0
GBR.1.2_1,GBR.1.61_1,62.0,0
