origin,destination,flow,time
GGY.1_1,GGY.5_1,30.0,0
GGY.1_1,GGY.13_1,183.0,0
GGY.1_1,GGY.15_1,476.0,0
GGY.1_1,GGY.11_1,60.0,0
GGY.1_1,GGY.9_1,22.0,0
GGY.1_1,GGY.3_1,9.0,0
GGY.1_1,GGY.7_1,1.0,0
GGY.1_1,GGY.8_1,2.0,0
GGY.1_1,GGY.10_1,1.0,0
GGY.1_1,GGY.14_1,1.0,0
GGY.3_1,GGY.7_1,1288.0,0
GGY.3_1,GGY.12_1,551.0,0
GGY.3_1,GGY.9_1,1586.0,0
GGY.3_1,GGY.4_1,77.0,0
GGY.3_1,GGY.11_1,314.0,0
GGY.3_1,GGY.10_1,56.0,0
GGY.3_1,GGY.8_1,132.0,0
GGY.3_1,GGY.15_1,138.0,0
GGY.3_1,GGY.14_1,9.0,0
GGY.3_1,GGY.13_1,5.0,0
GGY.3_1,GGY.1_1,22.0,0
GGY.4_1,GGY.7_1,545.0,0
GGY.4_1,GGY.8_1,149.0,0
GGY.4_1,GGY.12_1,29.0,0
GGY.4_1,GGY.10_1,14.0,0
GGY.4_1,GGY.3_1,19.0,0
GGY.4_1,GGY.14_1,3.0,0
GGY.4_1,GGY.9_1,19.0,0
GGY.4_1,GGY.11_1,5.0,0
GGY.4_1,GGY.15_1,2.0,0
GGY.4_1,GGY.1_1,1.0,0
GGY.5_1,GGY.15_1,19.0,0
GGY.7_1,GGY.3_1,1173.0,0
GGY.7_1,GGY.8_1,203.0,0
GGY.7_1,GGY.9_1,132.0,0
GGY.7_1,GGY.4_1,7.0,0
GGY.7_1,GGY.12_1,8.0,0
GGY.7_1,GGY.11_1,32.0,0
GGY.7_1,GGY.10_1,2.0,0
GGY.7_1,GGY.15_1,24.0,0
GGY.7_1,GGY.14_1,3.0,0
GGY.7_1,GGY.1_1,4.0,0
GGY.8_1,GGY.7_1,1223.0,0
GGY.8_1,GGY.9_1,1510.0,0
GGY.8_1,GGY.4_1,58.0,0
GGY.8_1,GGY.3_1,231.0,0
GGY.8_1,GGY.12_1,42.0,0
GGY.8_1,GGY.11_1,125.0,0
GGY.8_1,GGY.10_1,20.0,0
GGY.8_1,GGY.15_1,75.0,0
GGY.8_1,GGY.14_1,6.0,0
GGY.8_1,GGY.13_1,5.0,0
GGY.8_1,GGY.1_1,9.0,0
GGY.9_1,GGY.7_1,1755.0,0
GGY.9_1,GGY.11_1,2796.0,0
GGY.9_1,GGY.8_1,1133.0,0
GGY.9_1,GGY.3_1,902.0,0
GGY.9_1,GGY.15_1,622.0,0
GGY.9_1,GGY.4_1,111.0,0
GGY.9_1,GGY.12_1,128.0,0
GGY.9_1,GGY.10_1,105.0,0
GGY.9_1,GGY.5_1,1.0,0
GGY.9_1,GGY.14_1,36.0,0
GGY.9_1,GGY.13_1,22.0,0
GGY.9_1,GGY.1_1,74.0,0
GGY.10_1,GGY.14_1,277.0,0
GGY.10_1,GGY.12_1,337.0,0
GGY.10_1,GGY.4_1,115.0,0
GGY.10_1,GGY.3_1,173.0,0
GGY.10_1,GGY.7_1,19.0,0
GGY.10_1,GGY.8_1,34.0,0
GGY.10_1,GGY.9_1,35.0,0
GGY.10_1,GGY.11_1,9.0,0
GGY.10_1,GGY.15_1,9.0,0
GGY.10_1,GGY.13_1,1.0,0
GGY.10_1,GGY.1_1,1.0,0
GGY.11_1,GGY.15_1,2498.0,0
GGY.11_1,GGY.9_1,1349.0,0
GGY.11_1,GGY.3_1,302.0,0
GGY.11_1,GGY.7_1,79.0,0
GGY.11_1,GGY.8_1,143.0,0
GGY.11_1,GGY.12_1,41.0,0
GGY.11_1,GGY.5_1,1.0,0
GGY.11_1,GGY.4_1,24.0,0
GGY.11_1,GGY.10_1,23.0,0
GGY.11_1,GGY.14_1,8.0,0
GGY.11_1,GGY.13_1,7.0,0
GGY.11_1,GGY.1_1,23.0,0
GGY.12_1,GGY.10_1,527.0,0
GGY.12_1,GGY.3_1,421.0,0
GGY.12_1,GGY.4_1,18.0,0
GGY.12_1,GGY.14_1,8.0,0
GGY.12_1,GGY.7_1,34.0,0
GGY.12_1,GGY.8_1,37.0,0
GGY.12_1,GGY.9_1,33.0,0
GGY.12_1,GGY.11_1,13.0,0
GGY.12_1,GGY.15_1,7.0,0
GGY.12_1,GGY.1_1,3.0,0
GGY.13_1,GGY.5_1,18.0,0
GGY.13_1,GGY.9_1,212.0,0
GGY.13_1,GGY.8_1,3.0,0
GGY.13_1,GGY.11_1,1.0,0
