origin,destination,flow,time
GHA.1_1,GHA.2_1,47319.0,0
GHA.1_1,GHA.4_1,29227.0,0
GHA.1_1,GHA.3_1,15331.0,0
GHA.1_1,GHA.10_1,10742.0,0
GHA.1_1,GHA.5_1,12328.0,0
GHA.1_1,GHA.9_1,4508.0,0
GHA.1_1,GHA.6_1,4478.0,0
GHA.1_1,GHA.8_1,898.0,0
GHA.1_1,GHA.7_1,1243.0,0
GHA.2_1,GHA.1_1,40888.0,0
GHA.2_1,GHA.4_1,4650.0,0
GHA.2_1,GHA.6_1,2727.0,0
GHA.2_1,GHA.9_1,1493.0,0
GHA.2_1,GHA.10_1,1240.0,0
GHA.2_1,GHA.3_1,884.0,0
GHA.2_1,GHA.5_1,1111.0,0
GHA.2_1,GHA.8_1,132.0,0
GHA.2_1,GHA.7_1,201.0,0
GHA.3_1,GHA.4_1,32622.0,0
GHA.3_1,GHA.10_1,9246.0,0
GHA.3_1,GHA.1_1,8037.0,0
GHA.3_1,GHA.5_1,2815.0,0
GHA.3_1,GHA.2_1,963.0,0
GHA.3_1,GHA.9_1,754.0,0
GHA.3_1,GHA.6_1,774.0,0
GHA.3_1,GHA.8_1,156.0,0
GHA.3_1,GHA.7_1,205.0,0
GHA.4_1,GHA.5_1,43212.0,0
GHA.4_1,GHA.1_1,12266.0,0
GHA.4_1,GHA.3_1,2470.0,0
GHA.4_1,GHA.9_1,1661.0,0
GHA.4_1,GHA.2_1,1342.0,0
GHA.4_1,GHA.10_1,1135.0,0
GHA.4_1,GHA.6_1,1033.0,0
GHA.4_1,GHA.8_1,203.0,0
GHA.4_1,GHA.7_1,259.0,0
GHA.5_1,GHA.4_1,46418.0,0
GHA.5_1,GHA.3_1,18457.0,0
GHA.5_1,GHA.9_1,10453.0,0
GHA.5_1,GHA.1_1,13976.0,0
GHA.5_1,GHA.10_1,3746.0,0
GHA.5_1,GHA.2_1,2708.0,0
GHA.5_1,GHA.6_1,2662.0,0
GHA.5_1,GHA.7_1,763.0,0
GHA.5_1,GHA.8_1,463.0,0
GHA.6_1,GHA.7_1,17914.0,0
GHA.6_1,GHA.8_1,8344.0,0
GHA.6_1,GHA.2_1,15676.0,0
GHA.6_1,GHA.9_1,7566.0,0
GHA.6_1,GHA.1_1,8532.0,0
GHA.6_1,GHA.4_1,2267.0,0
GHA.6_1,GHA.5_1,2239.0,0
GHA.6_1,GHA.3_1,946.0,0
GHA.6_1,GHA.10_1,766.0,0
GHA.7_1,GHA.8_1,9306.0,0
GHA.7_1,GHA.6_1,8238.0,0
GHA.7_1,GHA.2_1,1598.0,0
GHA.7_1,GHA.9_1,803.0,0
GHA.7_1,GHA.1_1,925.0,0
GHA.7_1,GHA.4_1,226.0,0
GHA.7_1,GHA.5_1,242.0,0
GHA.7_1,GHA.3_1,102.0,0
GHA.7_1,GHA.10_1,60.0,0
GHA.8_1,GHA.7_1,9191.0,0
GHA.8_1,GHA.6_1,4275.0,0
GHA.8_1,GHA.2_1,883.0,0
GHA.8_1,GHA.1_1,727.0,0
GHA.8_1,GHA.9_1,159.0,0
GHA.8_1,GHA.4_1,115.0,0
GHA.8_1,GHA.10_1,65.0,0
GHA.8_1,GHA.3_1,44.0,0
GHA.8_1,GHA.5_1,81.0,0
GHA.9_1,GHA.4_1,31310.0,0
GHA.9_1,GHA.5_1,11990.0,0
GHA.9_1,GHA.1_1,5088.0,0
GHA.9_1,GHA.2_1,1189.0,0
GHA.9_1,GHA.3_1,978.0,0
GHA.9_1,GHA.6_1,842.0,0
GHA.9_1,GHA.10_1,580.0,0
GHA.9_1,GHA.7_1,195.0,0
GHA.9_1,GHA.8_1,143.0,0
GHA.10_1,GHA.3_1,31178.0,0
GHA.10_1,GHA.1_1,17122.0,0
GHA.10_1,GHA.4_1,3199.0,0
GHA.10_1,GHA.2_1,1773.0,0
GHA.10_1,GHA.5_1,2247.0,0
GHA.10_1,GHA.9_1,838.0,0
GHA.10_1,GHA.6_1,819.0,0
GHA.10_1,GHA.8_1,162.0,0
GHA.10_1,GHA.7_1,223.0,0
GHA.1_1,GHA.1_1,6177670.636276815,0
GHA.2_1,GHA.2_1,2613020.132712707,0
GHA.3_1,GHA.3_1,2723063.3776284037,0
GHA.4_1,GHA.4_1,3115474.5488363514,0
GHA.5_1,GHA.5_1,4882700.070332944,0
GHA.6_1,GHA.6_1,3148274.1227179533,0
GHA.7_1,GHA.7_1,1053529.7508855995,0
GHA.8_1,GHA.8_1,761486.4501371576,0
GHA.9_1,GHA.9_1,2563481.1701718257,0
GHA.10_1,GHA.10_1,2820517.0116672907,0
