origin,destination,flow,time
GIN.1_1,GIN.5_1,98201.0,0
GIN.1_1,GIN.2_1,21351.0,0
GIN.1_1,GIN.6_1,6464.0,0
GIN.1_1,GIN.7_1,3346.0,0
GIN.1_1,GIN.3_1,3695.0,0
GIN.1_1,GIN.4_1,5508.0,0
GIN.1_1,GIN.8_1,2527.0,0
GIN.2_1,GIN.5_1,134335.0,0
GIN.2_1,GIN.1_1,28699.0,0
GIN.2_1,GIN.7_1,12384.0,0
GIN.2_1,GIN.6_1,12522.0,0
GIN.2_1,GIN.3_1,9265.0,0
GIN.2_1,GIN.4_1,14053.0,0
GIN.2_1,GIN.8_1,6204.0,0
GIN.3_1,GIN.4_1,96962.0,0
GIN.3_1,GIN.7_1,7433.0,0
GIN.3_1,GIN.6_1,6790.0,0
GIN.3_1,GIN.5_1,7565.0,0
GIN.3_1,GIN.8_1,3729.0,0
GIN.3_1,GIN.2_1,2828.0,0
GIN.3_1,GIN.1_1,1373.0,0
GIN.4_1,GIN.3_1,110939.0,0
GIN.4_1,GIN.8_1,82848.0,0
GIN.4_1,GIN.7_1,22265.0,0
GIN.4_1,GIN.6_1,22356.0,0
GIN.4_1,GIN.5_1,28590.0,0
GIN.4_1,GIN.2_1,16758.0,0
GIN.4_1,GIN.1_1,8187.0,0
GIN.5_1,GIN.2_1,137060.0,0
GIN.5_1,GIN.7_1,24677.0,0
GIN.5_1,GIN.1_1,25776.0,0
GIN.5_1,GIN.6_1,15175.0,0
GIN.5_1,GIN.3_1,11269.0,0
GIN.5_1,GIN.4_1,17170.0,0
GIN.5_1,GIN.8_1,7720.0,0
GIN.6_1,GIN.7_1,57427.0,0
GIN.6_1,GIN.1_1,31616.0,0
GIN.6_1,GIN.3_1,12635.0,0
GIN.6_1,GIN.5_1,11609.0,0
GIN.6_1,GIN.2_1,5461.0,0
GIN.6_1,GIN.4_1,4257.0,0
GIN.6_1,GIN.8_1,1974.0,0
GIN.7_1,GIN.6_1,56086.0,0
GIN.7_1,GIN.5_1,21290.0,0
GIN.7_1,GIN.3_1,4197.0,0
GIN.7_1,GIN.1_1,2884.0,0
GIN.7_1,GIN.2_1,2787.0,0
GIN.7_1,GIN.4_1,2213.0,0
GIN.7_1,GIN.8_1,1027.0,0
GIN.8_1,GIN.4_1,137151.0,0
GIN.8_1,GIN.3_1,19228.0,0
GIN.8_1,GIN.7_1,9518.0,0
GIN.8_1,GIN.6_1,9689.0,0
GIN.8_1,GIN.5_1,12270.0,0
GIN.8_1,GIN.2_1,7211.0,0
GIN.8_1,GIN.1_1,3422.0,0
GIN.1_1,GIN.1_1,1269829.780048629,0
GIN.2_1,GIN.2_1,1957166.4151428211,0
GIN.3_1,GIN.3_1,1140120.1224121589,0
GIN.4_1,GIN.4_1,2627489.402646552,0
GIN.5_1,GIN.5_1,2149627.73709384,0
GIN.6_1,GIN.6_1,1124812.3685325661,0
GIN.7_1,GIN.7_1,814361.5322849394,0
GIN.8_1,GIN.8_1,1786409.511758568,0
