origin,destination,flow,time
GMB.1_1,GMB.6_1,15133.0,0
GMB.1_1,GMB.4_1,746.0,0
GMB.1_1,GMB.2_1,187.0,0
GMB.1_1,GMB.3_1,468.0,0
GMB.1_1,GMB.5_1,377.0,0
GMB.2_1,GMB.4_1,3223.0,0
GMB.2_1,GMB.6_1,818.0,0
GMB.2_1,GMB.3_1,31.0,0
GMB.2_1,GMB.1_1,35.0,0
GMB.2_1,GMB.5_1,19.0,0
GMB.3_1,GMB.5_1,7351.0,0
GMB.3_1,GMB.2_1,881.0,0
GMB.3_1,GMB.4_1,1653.0,0
GMB.3_1,GMB.6_1,2113.0,0
GMB.3_1,GMB.1_1,228.0,0
GMB.4_1,GMB.2_1,3574.0,0
GMB.4_1,GMB.6_1,8495.0,0
GMB.4_1,GMB.1_1,489.0,0
GMB.4_1,GMB.3_1,286.0,0
GMB.4_1,GMB.5_1,217.0,0
GMB.5_1,GMB.3_1,7364.0,0
GMB.5_1,GMB.2_1,1126.0,0
GMB.5_1,GMB.4_1,2195.0,0
GMB.5_1,GMB.6_1,2676.0,0
GMB.5_1,GMB.1_1,320.0,0
GMB.6_1,GMB.1_1,24284.0,0
GMB.6_1,GMB.4_1,12223.0,0
GMB.6_1,GMB.2_1,3175.0,0
GMB.6_1,GMB.3_1,7636.0,0
GMB.6_1,GMB.5_1,6660.0,0
GMB.1_1,GMB.1_1,321325.1041460032,0
GMB.2_1,GMB.2_1,78409.76843469734,0
GMB.3_1,GMB.3_1,232307.9511204962,0
GMB.4_1,GMB.4_1,248162.4953206835,0
GMB.5_1,GMB.5_1,259957.04744873036,0
GMB.6_1,GMB.6_1,1025585.7948188708,0
