origin,destination,flow,time
GTM.1.1_1,GTM.1.4_1,247.0,0
GTM.1.1_1,GTM.1.11_1,37.0,0
GTM.1.1_1,GTM.12.10_1,17.0,0
GTM.1.1_1,GTM.9.1_1,10.0,0
GTM.1.1_1,GTM.9.2_1,2.0,0
GTM.1.1_1,GTM.1.12_1,3.0,0
GTM.1.1_1,GTM.1.6_1,3.0,0
GTM.1.1_1,GTM.12.5_1,1.0,0
GTM.1.1_1,GTM.1.9_1,4.0,0
GTM.1.1_1,GTM.1.2_1,1.0,0
GTM.1.1_1,GTM.2.3_1,1.0,0
GTM.1.1_1,GTM.1.14_1,1.0,0
GTM.1.1_1,GTM.22.2_1,1.0,0
GTM.1.1_1,GTM.12.12_1,1.0,0
GTM.1.1_1,GTM.9.4_1,1.0,0
GTM.1.1_1,GTM.1.3_1,1.0,0
GTM.1.1_1,GTM.7.10_1,1.0,0
GTM.1.1_1,GTM.21.1_1,1.0,0
GTM.1.1_1,GTM.8.25_1,1.0,0
GTM.1.2_1,GTM.1.9_1,856.0,0
GTM.1.2_1,GTM.1.3_1,194.0,0
GTM.1.2_1,GTM.1.5_1,6.0,0
GTM.1.2_1,GTM.12.12_1,43.0,0
GTM.1.2_1,GTM.1.4_1,11.0,0
GTM.1.2_1,GTM.1.8_1,9.0,0
GTM.1.2_1,GTM.1.11_1,9.0,0
GTM.1.2_1,GTM.14.8_1,13.0,0
GTM.1.2_1,GTM.1.7_1,4.0,0
GTM.1.2_1,GTM.1.10_1,6.0,0
GTM.1.2_1,GTM.1.14_1,2.0,0
GTM.1.2_1,GTM.1.13_1,2.0,0
GTM.1.2_1,GTM.1.15_1,5.0,0
GTM.1.2_1,GTM.14.3_1,12.0,0
GTM.1.2_1,GTM.1.12_1,9.0,0
GTM.1.2_1,GTM.14.20_1,3.0,0
GTM.1.2_1,GTM.2.3_1,3.0,0
GTM.1.2_1,GTM.1.1_1,1.0,0
GTM.1.2_1,GTM.14.2_1,7.0,0
GTM.1.2_1,GTM.12.10_1,6.0,0
GTM.1.2_1,GTM.2.7_1,1.0,0
GTM.1.2_1,GTM.1.6_1,3.0,0
GTM.1.2_1,GTM.2.4_1,1.0,0
GTM.1.2_1,GTM.2.5_1,1.0,0
GTM.1.2_1,GTM.14.17_1,2.0,0
GTM.1.2_1,GTM.2.1_1,1.0,0
GTM.1.2_1,GTM.12.5_1,2.0,0
GTM.1.2_1,GTM.14.7_1,2.0,0
GTM.1.2_1,GTM.14.1_1,2.0,0
GTM.1.2_1,GTM.8.26_1,12.0,0
GTM.1.2_1,GTM.14.14_1,1.0,0
GTM.1.2_1,GTM.9.1_1,1.0,0
GTM.1.2_1,GTM.14.10_1,1.0,0
GTM.1.2_1,GTM.5.4_1,3.0,0
GTM.1.2_1,GTM.5.3_1,1.0,0
GTM.1.2_1,GTM.14.21_1,1.0,0
GTM.1.2_1,GTM.8.27_1,1.0,0
GTM.1.2_1,GTM.14.16_1,1.0,0
GTM.1.2_1,GTM.14.13_1,1.0,0
GTM.1.2_1,GTM.14.11_1,1.0,0
GTM.1.2_1,GTM.12.1_1,1.0,0
GTM.1.2_1,GTM.14.9_1,3.0,0
GTM.1.2_1,GTM.5.2_1,2.0,0
GTM.1.2_1,GTM.5.1_1,1.0,0
GTM.1.2_1,GTM.5.7_1,1.0,0
GTM.1.2_1,GTM.8.16_1,1.0,0
GTM.1.2_1,GTM.8.17_1,1.0,0
GTM.1.2_1,GTM.7.11_1,2.0,0
GTM.1.2_1,GTM.14.4_1,1.0,0
GTM.1.2_1,GTM.8.2_1,1.0,0
GTM.1.2_1,GTM.7.2_1,1.0,0
GTM.1.2_1,GTM.8.6_1,1.0,0
GTM.1.2_1,GTM.7.12_1,1.0,0
GTM.1.2_1,GTM.14.5_1,1.0,0
GTM.1.2_1,GTM.7.25_1,1.0,0
GTM.1.2_1,GTM.7.5_1,3.0,0
GTM.1.2_1,GTM.10.1_1,1.0,0
GTM.1.2_1,GTM.8.18_1,1.0,0
GTM.1.2_1,GTM.9.3_1,1.0,0
GTM.1.2_1,GTM.7.14_1,1.0,0
GTM.1.2_1,GTM.7.16_1,2.0,0
GTM.1.2_1,GTM.7.4_1,1.0,0
GTM.1.2_1,GTM.15.8_1,1.0,0
GTM.1.2_1,GTM.18.3_1,1.0,0
GTM.1.2_1,GTM.6.13_1,1.0,0
GTM.1.2_1,GTM.17.11_1,1.0,0
GTM.1.3_1,GTM.1.7_1,582.0,0
GTM.1.3_1,GTM.14.3_1,280.0,0
GTM.1.3_1,GTM.1.2_1,496.0,0
GTM.1.3_1,GTM.14.20_1,237.0,0
GTM.1.3_1,GTM.14.8_1,265.0,0
GTM.1.3_1,GTM.1.10_1,87.0,0
GTM.1.3_1,GTM.1.9_1,288.0,0
GTM.1.3_1,GTM.14.2_1,49.0,0
GTM.1.3_1,GTM.1.8_1,47.0,0
GTM.1.3_1,GTM.1.13_1,31.0,0
GTM.1.3_1,GTM.1.14_1,16.0,0
GTM.1.3_1,GTM.14.17_1,14.0,0
GTM.1.3_1,GTM.14.7_1,20.0,0
GTM.1.3_1,GTM.2.7_1,10.0,0
GTM.1.3_1,GTM.1.5_1,10.0,0
GTM.1.3_1,GTM.14.1_1,8.0,0
GTM.1.3_1,GTM.14.14_1,17.0,0
GTM.1.3_1,GTM.2.4_1,20.0,0
GTM.1.3_1,GTM.2.1_1,23.0,0
GTM.1.3_1,GTM.14.10_1,40.0,0
GTM.1.3_1,GTM.1.15_1,22.0,0
GTM.1.3_1,GTM.8.26_1,52.0,0
GTM.1.3_1,GTM.2.3_1,20.0,0
GTM.1.3_1,GTM.14.16_1,5.0,0
GTM.1.3_1,GTM.14.21_1,17.0,0
GTM.1.3_1,GTM.14.13_1,14.0,0
GTM.1.3_1,GTM.2.5_1,12.0,0
GTM.1.3_1,GTM.8.27_1,12.0,0
GTM.1.3_1,GTM.12.12_1,26.0,0
GTM.1.3_1,GTM.2.6_1,6.0,0
GTM.1.3_1,GTM.1.12_1,12.0,0
GTM.1.3_1,GTM.1.11_1,9.0,0
GTM.1.3_1,GTM.8.1_1,10.0,0
GTM.1.3_1,GTM.14.9_1,11.0,0
GTM.1.3_1,GTM.2.2_1,1.0,0
GTM.1.3_1,GTM.8.16_1,4.0,0
GTM.1.3_1,GTM.1.4_1,10.0,0
GTM.1.3_1,GTM.14.18_1,8.0,0
GTM.1.3_1,GTM.8.29_1,5.0,0
GTM.1.3_1,GTM.8.2_1,12.0,0
