origin,destination,flow,time
GUF.1.1_1,GUF.2.5_1,39.0,0
GUF.1.1_1,GUF.1.12_1,3.0,0
GUF.1.1_1,GUF.1.10_1,1.0,0
GUF.1.1_1,GUF.1.5_1,1.0,0
GUF.1.1_1,GUF.1.9_1,1.0,0
GUF.1.2_1,GUF.1.13_1,28.0,0
GUF.1.2_1,GUF.2.4_1,16.0,0
GUF.1.2_1,GUF.1.3_1,6.0,0
GUF.1.3_1,GUF.1.4_1,220.0,0
GUF.1.3_1,GUF.1.6_1,50.0,0
GUF.1.3_1,GUF.1.13_1,21.0,0
GUF.1.3_1,GUF.1.5_1,172.0,0
GUF.1.3_1,GUF.1.9_1,89.0,0
GUF.1.3_1,GUF.1.11_1,2.0,0
GUF.1.3_1,GUF.1.10_1,4.0,0
GUF.1.3_1,GUF.2.4_1,9.0,0
GUF.1.3_1,GUF.1.8_1,1.0,0
GUF.1.3_1,GUF.2.7_1,23.0,0
GUF.1.3_1,GUF.1.12_1,2.0,0
GUF.1.3_1,GUF.2.1_1,4.0,0
GUF.1.3_1,GUF.2.3_1,1.0,0
GUF.1.3_1,GUF.2.6_1,1.0,0
GUF.1.3_1,GUF.2.5_1,2.0,0
GUF.1.4_1,GUF.1.6_1,71.0,0
GUF.1.4_1,GUF.1.5_1,155.0,0
GUF.1.4_1,GUF.1.9_1,46.0,0
GUF.1.4_1,GUF.1.3_1,9.0,0
GUF.1.4_1,GUF.1.2_1,1.0,0
GUF.1.4_1,GUF.2.4_1,2.0,0
GUF.1.4_1,GUF.2.7_1,4.0,0
GUF.1.4_1,GUF.2.1_1,1.0,0
GUF.1.4_1,GUF.2.6_1,2.0,0
GUF.1.4_1,GUF.2.5_1,1.0,0
GUF.1.5_1,GUF.1.9_1,549.0,0
GUF.1.5_1,GUF.1.6_1,5.0,0
GUF.1.5_1,GUF.1.4_1,25.0,0
GUF.1.5_1,GUF.1.10_1,1.0,0
GUF.1.5_1,GUF.1.3_1,35.0,0
GUF.1.5_1,GUF.1.13_1,5.0,0
GUF.1.5_1,GUF.1.8_1,1.0,0
GUF.1.5_1,GUF.1.2_1,5.0,0
GUF.1.5_1,GUF.1.12_1,6.0,0
GUF.1.5_1,GUF.2.4_1,11.0,0
GUF.1.5_1,GUF.2.7_1,33.0,0
GUF.1.5_1,GUF.2.6_1,1.0,0
GUF.1.5_1,GUF.2.3_1,3.0,0
GUF.1.5_1,GUF.2.1_1,6.0,0
GUF.1.5_1,GUF.1.1_1,1.0,0
GUF.1.5_1,GUF.2.5_1,5.0,0
GUF.1.6_1,GUF.1.5_1,90.0,0
GUF.1.6_1,GUF.1.4_1,4.0,0
GUF.1.6_1,GUF.1.9_1,2.0,0
GUF.1.7_1,GUF.1.12_1,1.0,0
GUF.1.8_1,GUF.1.12_1,15.0,0
GUF.1.8_1,GUF.1.5_1,1.0,0
GUF.1.8_1,GUF.1.9_1,1.0,0
GUF.1.9_1,GUF.1.5_1,616.0,0
GUF.1.9_1,GUF.1.6_1,58.0,0
GUF.1.9_1,GUF.1.4_1,164.0,0
GUF.1.9_1,GUF.1.3_1,189.0,0
GUF.1.9_1,GUF.1.10_1,20.0,0
GUF.1.9_1,GUF.1.13_1,17.0,0
GUF.1.9_1,GUF.1.11_1,5.0,0
GUF.1.9_1,GUF.1.8_1,3.0,0
GUF.1.9_1,GUF.1.2_1,12.0,0
GUF.1.9_1,GUF.1.12_1,35.0,0
GUF.1.9_1,GUF.2.4_1,57.0,0
GUF.1.9_1,GUF.2.7_1,167.0,0
GUF.1.9_1,GUF.2.2_1,5.0,0
GUF.1.9_1,GUF.2.3_1,15.0,0
GUF.1.9_1,GUF.2.6_1,15.0,0
GUF.1.9_1,GUF.2.1_1,20.0,0
GUF.1.9_1,GUF.1.1_1,2.0,0
GUF.1.9_1,GUF.2.5_1,23.0,0
GUF.1.10_1,GUF.1.6_1,47.0,0
GUF.1.10_1,GUF.1.5_1,24.0,0
GUF.1.10_1,GUF.1.9_1,2.0,0
GUF.1.10_1,GUF.1.3_1,1.0,0
GUF.1.10_1,GUF.2.4_1,1.0,0
GUF.1.11_1,GUF.1.3_1,23.0,0
GUF.1.12_1,GUF.1.8_1,13.0,0
GUF.1.12_1,GUF.1.7_1,3.0,0
GUF.1.12_1,GUF.1.10_1,39.0,0
GUF.1.12_1,GUF.1.5_1,91.0,0
GUF.1.12_1,GUF.1.6_1,4.0,0
GUF.1.12_1,GUF.1.9_1,12.0,0
GUF.1.12_1,GUF.1.3_1,1.0,0
GUF.1.12_1,GUF.2.5_1,1.0,0
GUF.1.12_1,GUF.2.7_1,1.0,0
GUF.1.13_1,GUF.1.2_1,24.0,0
GUF.1.13_1,GUF.1.3_1,36.0,0
GUF.1.13_1,GUF.1.4_1,3.0,0
GUF.1.13_1,GUF.2.7_1,1.0,0
GUF.2.1_1,GUF.2.7_1,197.0,0
GUF.2.1_1,GUF.2.3_1,1.0,0
GUF.2.1_1,GUF.2.4_1,5.0,0
GUF.2.1_1,GUF.2.6_1,4.0,0
GUF.2.1_1,GUF.1.11_1,1.0,0
GUF.2.1_1,GUF.1.3_1,6.0,0
GUF.2.1_1,GUF.1.6_1,2.0,0
GUF.2.1_1,GUF.1.5_1,1.0,0
GUF.2.1_1,GUF.1.9_1,4.0,0
GUF.2.2_1,GUF.2.7_1,33.0,0
GUF.2.3_1,GUF.2.6_1,92.0,0
GUF.2.3_1,GUF.2.1_1,15.0,0
GUF.2.3_1,GUF.2.7_1,17.0,0
GUF.2.3_1,GUF.2.4_1,1.0,0
GUF.2.3_1,GUF.1.2_1,1.0,0
GUF.2.3_1,GUF.1.13_1,1.0,0
GUF.2.3_1,GUF.1.3_1,2.0,0
GUF.2.3_1,GUF.1.5_1,1.0,0
GUF.2.4_1,GUF.2.7_1,233.0,0
GUF.2.4_1,GUF.2.1_1,3.0,0
GUF.2.4_1,GUF.1.13_1,1.0,0
GUF.2.4_1,GUF.2.3_1,1.0,0
GUF.2.4_1,GUF.1.3_1,9.0,0
GUF.2.4_1,GUF.2.6_1,3.0,0
GUF.2.4_1,GUF.1.4_1,1.0,0
GUF.2.4_1,GUF.1.5_1,8.0,0
GUF.2.4_1,GUF.1.9_1,5.0,0
GUF.2.4_1,GUF.2.5_1,1.0,0
GUF.2.5_1,GUF.1.1_1,32.0,0
GUF.2.5_1,GUF.2.8_1,5.0,0
GUF.2.5_1,GUF.2.6_1,108.0,0
GUF.2.5_1,GUF.2.3_1,28.0,0
GUF.2.5_1,GUF.1.8_1,1.0,0
GUF.2.5_1,GUF.1.11_1,3.0,0
GUF.2.5_1,GUF.1.12_1,23.0,0
GUF.2.5_1,GUF.2.1_1,26.0,0
GUF.2.5_1,GUF.1.10_1,3.0,0
GUF.2.5_1,GUF.2.7_1,39.0,0
GUF.2.5_1,GUF.2.4_1,2.0,0
GUF.2.5_1,GUF.1.3_1,6.0,0
GUF.2.5_1,GUF.1.5_1,5.0,0
GUF.2.5_1,GUF.1.2_1,1.0,0
GUF.2.5_1,GUF.1.4_1,1.0,0
GUF.2.5_1,GUF.1.13_1,1.0,0
GUF.2.5_1,GUF.1.9_1,5.0,0
GUF.2.6_1,GUF.2.3_1,72.0,0
GUF.2.6_1,GUF.2.1_1,44.0,0
GUF.2.6_1,GUF.2.7_1,52.0,0
GUF.2.6_1,GUF.2.4_1,3.0,0
GUF.2.6_1,GUF.2.5_1,2.0,0
GUF.2.6_1,GUF.1.8_1,1.0,0
GUF.2.6_1,GUF.1.3_1,3.0,0
GUF.2.6_1,GUF.1.5_1,1.0,0
GUF.2.6_1,GUF.1.9_1,1.0,0
GUF.2.7_1,GUF.2.1_1,265.0,0
GUF.2.7_1,GUF.2.4_1,229.0,0
GUF.2.7_1,GUF.2.3_1,76.0,0
GUF.2.7_1,GUF.2.2_1,20.0,0
GUF.2.7_1,GUF.1.2_1,31.0,0
GUF.2.7_1,GUF.2.6_1,79.0,0
GUF.2.7_1,GUF.1.11_1,9.0,0
GUF.2.7_1,GUF.1.13_1,25.0,0
GUF.2.7_1,GUF.1.3_1,187.0,0
GUF.2.7_1,GUF.1.4_1,66.0,0
GUF.2.7_1,GUF.1.6_1,31.0,0
GUF.2.7_1,GUF.1.10_1,17.0,0
GUF.2.7_1,GUF.1.5_1,116.0,0
GUF.2.7_1,GUF.1.9_1,153.0,0
GUF.2.7_1,GUF.1.8_1,2.0,0
GUF.2.7_1,GUF.2.5_1,23.0,0
GUF.2.7_1,GUF.1.12_1,6.0,0
GUF.2.7_1,GUF.1.1_1,4.0,0
GUF.2.8_1,GUF.2.6_1,3.0,0
GUF.1.1_1,GUF.1.1_1,2227.253623636815,0
GUF.1.2_1,GUF.1.2_1,2494.063253656625,0
GUF.1.3_1,GUF.1.3_1,29450.514727191963,0
GUF.1.4_1,GUF.1.4_1,14309.541257004712,0
GUF.1.5_1,GUF.1.5_1,33931.993639578846,0
GUF.1.6_1,GUF.1.6_1,4708.964911065106,0
GUF.1.7_1,GUF.1.7_1,77.48433180425315,0
GUF.1.8_1,GUF.1.8_1,843.5231679868903,0
GUF.1.9_1,GUF.1.9_1,69734.17068374639,0
GUF.1.10_1,GUF.1.10_1,3701.1311460546367,0
GUF.1.11_1,GUF.1.11_1,1155.0457388853906,0
GUF.1.12_1,GUF.1.12_1,8086.987558130189,0
GUF.1.13_1,GUF.1.13_1,3161.8257719033923,0
GUF.2.1_1,GUF.2.1_1,10840.57618353748,0
GUF.2.2_1,GUF.2.2_1,1631.416545089482,0
GUF.2.3_1,GUF.2.3_1,6408.801392103432,0
GUF.2.4_1,GUF.2.4_1,12987.415773866129,0
GUF.2.5_1,GUF.2.5_1,14198.840290082686,0
GUF.2.6_1,GUF.2.6_1,8780.41516572476,0
GUF.2.7_1,GUF.2.7_1,65642.65074077292,0
GUF.2.8_1,GUF.2.8_1,166.42285223748547,0
