origin,destination,flow,time
GUY.1.1_1,GUY.1.3_1,57.0,0
GUY.1.1_1,GUY.1.2_1,14.0,0
GUY.1.1_1,GUY.1.5_1,10.0,0
GUY.1.1_1,GUY.7.2_1,4.0,0
GUY.1.1_1,GUY.7.4_1,1.0,0
GUY.1.1_1,GUY.7.5_1,1.0,0
GUY.1.1_1,GUY.7.7_1,1.0,0
GUY.1.1_1,GUY.5.14_1,1.0,0
GUY.1.1_1,GUY.5.17_1,1.0,0
GUY.1.1_1,GUY.5.8_1,1.0,0
GUY.1.1_1,GUY.3.2_1,3.0,0
GUY.1.1_1,GUY.3.16_1,1.0,0
GUY.1.2_1,GUY.1.1_1,61.0,0
GUY.1.2_1,GUY.1.3_1,21.0,0
GUY.1.2_1,GUY.1.5_1,17.0,0
GUY.1.2_1,GUY.1.4_1,1.0,0
GUY.1.2_1,GUY.7.2_1,15.0,0
GUY.1.2_1,GUY.7.6_1,1.0,0
GUY.1.2_1,GUY.7.4_1,2.0,0
GUY.1.2_1,GUY.7.1_1,6.0,0
GUY.1.2_1,GUY.7.5_1,5.0,0
GUY.1.2_1,GUY.5.19_1,1.0,0
GUY.1.2_1,GUY.5.16_1,1.0,0
GUY.1.2_1,GUY.5.14_1,1.0,0
GUY.1.2_1,GUY.5.17_1,1.0,0
GUY.1.2_1,GUY.5.6_1,1.0,0
GUY.1.2_1,GUY.5.2_1,1.0,0
GUY.1.2_1,GUY.5.12_1,1.0,0
GUY.1.2_1,GUY.3.2_1,1.0,0
GUY.1.2_1,GUY.3.7_1,1.0,0
GUY.1.3_1,GUY.1.4_1,11.0,0
GUY.1.3_1,GUY.1.1_1,55.0,0
GUY.1.3_1,GUY.1.2_1,23.0,0
GUY.1.3_1,GUY.1.5_1,16.0,0
GUY.1.3_1,GUY.7.2_1,14.0,0
GUY.1.3_1,GUY.2.8_1,4.0,0
GUY.1.3_1,GUY.7.4_1,1.0,0
GUY.1.3_1,GUY.7.5_1,1.0,0
GUY.1.3_1,GUY.7.3_1,1.0,0
GUY.1.3_1,GUY.5.9_1,1.0,0
GUY.1.3_1,GUY.2.4_1,1.0,0
GUY.1.3_1,GUY.5.13_1,1.0,0
GUY.1.3_1,GUY.3.2_1,5.0,0
GUY.1.3_1,GUY.10.8_1,1.0,0
GUY.1.4_1,GUY.1.3_1,13.0,0
GUY.1.5_1,GUY.1.1_1,70.0,0
GUY.1.5_1,GUY.7.2_1,57.0,0
GUY.1.5_1,GUY.1.3_1,18.0,0
GUY.1.5_1,GUY.1.2_1,19.0,0
GUY.1.5_1,GUY.7.6_1,2.0,0
GUY.1.5_1,GUY.7.4_1,5.0,0
GUY.1.5_1,GUY.7.1_1,12.0,0
GUY.1.5_1,GUY.7.5_1,7.0,0
GUY.1.5_1,GUY.7.7_1,4.0,0
GUY.1.5_1,GUY.7.3_1,1.0,0
GUY.1.5_1,GUY.5.19_1,3.0,0
GUY.1.5_1,GUY.5.9_1,1.0,0
GUY.1.5_1,GUY.5.16_1,1.0,0
GUY.1.5_1,GUY.5.14_1,1.0,0
GUY.1.5_1,GUY.5.17_1,3.0,0
GUY.1.5_1,GUY.5.6_1,1.0,0
GUY.1.5_1,GUY.5.13_1,1.0,0
GUY.1.5_1,GUY.5.8_1,2.0,0
GUY.1.5_1,GUY.5.11_1,2.0,0
GUY.1.5_1,GUY.5.15_1,1.0,0
GUY.1.5_1,GUY.3.2_1,5.0,0
GUY.1.5_1,GUY.3.5_1,1.0,0
GUY.1.5_1,GUY.3.18_1,1.0,0
GUY.1.5_1,GUY.3.12_1,2.0,0
GUY.1.5_1,GUY.3.7_1,2.0,0
GUY.1.5_1,GUY.9.5_1,1.0,0
GUY.1.5_1,GUY.4.20_1,1.0,0
GUY.2.1_1,GUY.2.3_1,29.0,0
