origin,destination,flow,time
HRV.1.1_1,HRV.1.10_1,437.0,0
HRV.1.1_1,HRV.1.20_1,62.0,0
HRV.1.1_1,HRV.1.7_1,98.0,0
HRV.1.1_1,HRV.1.9_1,12.0,0
HRV.1.1_1,HRV.1.13_1,8.0,0
HRV.1.1_1,HRV.1.18_1,3.0,0
HRV.1.1_1,HRV.1.3_1,9.0,0
HRV.1.1_1,HRV.15.8_1,14.0,0
HRV.1.1_1,HRV.15.15_1,4.0,0
HRV.1.1_1,HRV.1.2_1,8.0,0
HRV.1.1_1,HRV.1.12_1,2.0,0
HRV.1.1_1,HRV.15.10_1,1.0,0
HRV.1.1_1,HRV.1.4_1,2.0,0
HRV.1.1_1,HRV.15.16_1,3.0,0
HRV.1.1_1,HRV.1.11_1,1.0,0
HRV.1.1_1,HRV.21.6_1,1.0,0
HRV.1.1_1,HRV.4.7_1,3.0,0
HRV.1.1_1,HRV.15.3_1,1.0,0
HRV.1.2_1,HRV.1.14_1,2077.0,0
HRV.1.2_1,HRV.1.16_1,353.0,0
HRV.1.2_1,HRV.1.22_1,1029.0,0
HRV.1.2_1,HRV.1.18_1,643.0,0
HRV.1.2_1,HRV.1.13_1,846.0,0
HRV.1.2_1,HRV.1.11_1,713.0,0
HRV.1.2_1,HRV.21.7_1,450.0,0
HRV.1.2_1,HRV.1.10_1,555.0,0
HRV.1.2_1,HRV.1.15_1,318.0,0
HRV.1.2_1,HRV.1.23_1,169.0,0
HRV.1.2_1,HRV.7.23_1,895.0,0
HRV.1.2_1,HRV.1.19_1,282.0,0
HRV.1.2_1,HRV.7.25_1,608.0,0
HRV.1.2_1,HRV.7.3_1,1005.0,0
HRV.1.2_1,HRV.1.3_1,810.0,0
HRV.1.2_1,HRV.1.1_1,118.0,0
HRV.1.2_1,HRV.1.20_1,91.0,0
HRV.1.2_1,HRV.1.21_1,226.0,0
HRV.1.2_1,HRV.21.4_1,414.0,0
HRV.1.2_1,HRV.7.17_1,215.0,0
HRV.1.2_1,HRV.7.10_1,236.0,0
HRV.1.2_1,HRV.21.8_1,245.0,0
HRV.1.2_1,HRV.7.22_1,254.0,0
HRV.1.2_1,HRV.1.9_1,103.0,0
HRV.1.2_1,HRV.7.14_1,974.0,0
