origin,destination,flow,time
HTI.1_1,HTI.5_1,2511.0,0
HTI.1_1,HTI.8_1,4292.0,0
HTI.1_1,HTI.3_1,238.0,0
HTI.1_1,HTI.7_1,90.0,0
HTI.1_1,HTI.9_1,44.0,0
HTI.1_1,HTI.6_1,53.0,0
HTI.1_1,HTI.4_1,23.0,0
HTI.1_1,HTI.10_1,31.0,0
HTI.1_1,HTI.2_1,24.0,0
HTI.2_1,HTI.10_1,2894.0,0
HTI.2_1,HTI.4_1,469.0,0
HTI.2_1,HTI.8_1,1227.0,0
HTI.2_1,HTI.6_1,58.0,0
HTI.2_1,HTI.3_1,81.0,0
HTI.2_1,HTI.9_1,11.0,0
HTI.2_1,HTI.7_1,23.0,0
HTI.2_1,HTI.1_1,17.0,0
HTI.2_1,HTI.5_1,11.0,0
HTI.3_1,HTI.7_1,7828.0,0
HTI.3_1,HTI.1_1,2778.0,0
HTI.3_1,HTI.6_1,1831.0,0
HTI.3_1,HTI.5_1,670.0,0
HTI.3_1,HTI.8_1,3911.0,0
HTI.3_1,HTI.9_1,252.0,0
HTI.3_1,HTI.4_1,115.0,0
HTI.3_1,HTI.10_1,237.0,0
HTI.3_1,HTI.2_1,140.0,0
HTI.4_1,HTI.10_1,2353.0,0
HTI.4_1,HTI.2_1,405.0,0
HTI.4_1,HTI.8_1,603.0,0
HTI.4_1,HTI.9_1,23.0,0
HTI.4_1,HTI.3_1,41.0,0
HTI.4_1,HTI.6_1,13.0,0
HTI.4_1,HTI.1_1,14.0,0
HTI.4_1,HTI.7_1,10.0,0
HTI.4_1,HTI.5_1,4.0,0
HTI.7_1,HTI.3_1,7367.0,0
HTI.7_1,HTI.5_1,454.0,0
HTI.7_1,HTI.1_1,686.0,0
HTI.7_1,HTI.6_1,469.0,0
HTI.7_1,HTI.8_1,1271.0,0
HTI.7_1,HTI.9_1,74.0,0
HTI.7_1,HTI.4_1,41.0,0
HTI.7_1,HTI.10_1,64.0,0
HTI.7_1,HTI.2_1,45.0,0
HTI.5_1,HTI.7_1,2793.0,0
HTI.5_1,HTI.1_1,302.0,0
HTI.5_1,HTI.3_1,282.0,0
HTI.5_1,HTI.8_1,193.0,0
HTI.5_1,HTI.6_1,11.0,0
HTI.5_1,HTI.9_1,9.0,0
HTI.5_1,HTI.4_1,6.0,0
HTI.5_1,HTI.10_1,11.0,0
HTI.5_1,HTI.2_1,4.0,0
HTI.6_1,HTI.3_1,5725.0,0
HTI.6_1,HTI.7_1,728.0,0
HTI.6_1,HTI.5_1,154.0,0
HTI.6_1,HTI.1_1,231.0,0
HTI.6_1,HTI.8_1,648.0,0
HTI.6_1,HTI.4_1,31.0,0
HTI.6_1,HTI.10_1,42.0,0
HTI.6_1,HTI.2_1,31.0,0
HTI.6_1,HTI.9_1,22.0,0
HTI.8_1,HTI.9_1,8455.0,0
HTI.8_1,HTI.1_1,8268.0,0
HTI.8_1,HTI.3_1,13587.0,0
HTI.8_1,HTI.4_1,1926.0,0
HTI.8_1,HTI.7_1,5063.0,0
HTI.8_1,HTI.5_1,1415.0,0
HTI.8_1,HTI.10_1,2398.0,0
HTI.8_1,HTI.6_1,2460.0,0
HTI.8_1,HTI.2_1,1324.0,0
HTI.10_1,HTI.4_1,2384.0,0
HTI.10_1,HTI.2_1,1526.0,0
HTI.10_1,HTI.8_1,2469.0,0
HTI.10_1,HTI.9_1,75.0,0
HTI.10_1,HTI.3_1,159.0,0
HTI.10_1,HTI.6_1,52.0,0
HTI.10_1,HTI.1_1,29.0,0
HTI.10_1,HTI.7_1,53.0,0
HTI.10_1,HTI.5_1,14.0,0
HTI.9_1,HTI.8_1,5429.0,0
HTI.9_1,HTI.1_1,91.0,0
HTI.9_1,HTI.4_1,29.0,0
HTI.9_1,HTI.3_1,133.0,0
HTI.9_1,HTI.10_1,35.0,0
HTI.9_1,HTI.5_1,12.0,0
HTI.9_1,HTI.7_1,30.0,0
HTI.9_1,HTI.6_1,26.0,0
HTI.9_1,HTI.2_1,15.0,0
HTI.1_1,HTI.1_1,723345.8817638187,0
HTI.2_1,HTI.2_1,474318.71591299964,0
HTI.3_1,HTI.3_1,1758533.2895888998,0
HTI.4_1,HTI.4_1,343189.6025710492,0
HTI.7_1,HTI.7_1,1036718.1016843364,0
HTI.5_1,HTI.5_1,357532.3572691157,0
HTI.6_1,HTI.6_1,753677.0461954878,0
HTI.8_1,HTI.8_1,4444741.367069296,0
HTI.10_1,HTI.10_1,669410.234906101,0
HTI.9_1,HTI.9_1,574290.5955327991,0
