origin,destination,flow,time
HUN.1.1_1,HUN.1.3_1,124.0,0
HUN.1.1_1,HUN.1.2_1,95.0,0
HUN.1.1_1,HUN.1.8_1,7.0,0
HUN.1.1_1,HUN.6.5_1,4.0,0
HUN.1.1_1,HUN.1.9_1,3.0,0
HUN.1.1_1,HUN.17.4_1,6.0,0
HUN.1.1_1,HUN.2.2_1,1.0,0
HUN.1.1_1,HUN.6.6_1,1.0,0
HUN.1.1_1,HUN.6.3_1,1.0,0
HUN.1.1_1,HUN.17.1_1,2.0,0
HUN.1.1_1,HUN.17.3_1,1.0,0
HUN.1.1_1,HUN.2.3_1,1.0,0
HUN.1.1_1,HUN.7.10_1,1.0,0
HUN.1.1_1,HUN.11.5_1,1.0,0
HUN.1.2_1,HUN.1.1_1,185.0,0
HUN.1.2_1,HUN.1.3_1,163.0,0
HUN.1.2_1,HUN.17.4_1,410.0,0
HUN.1.2_1,HUN.2.2_1,77.0,0
HUN.1.2_1,HUN.2.4_1,19.0,0
HUN.1.2_1,HUN.17.1_1,39.0,0
HUN.1.2_1,HUN.1.8_1,26.0,0
HUN.1.2_1,HUN.1.4_1,54.0,0
HUN.1.2_1,HUN.2.1_1,15.0,0
HUN.1.2_1,HUN.17.3_1,22.0,0
HUN.1.2_1,HUN.1.6_1,18.0,0
HUN.1.2_1,HUN.2.3_1,27.0,0
HUN.1.2_1,HUN.2.7_1,4.0,0
HUN.1.2_1,HUN.6.5_1,4.0,0
HUN.1.2_1,HUN.1.9_1,1.0,0
HUN.1.2_1,HUN.2.5_1,2.0,0
HUN.1.2_1,HUN.17.2_1,2.0,0
HUN.1.2_1,HUN.17.5_1,4.0,0
HUN.1.2_1,HUN.2.8_1,4.0,0
HUN.1.2_1,HUN.7.9_1,2.0,0
HUN.1.2_1,HUN.6.3_1,2.0,0
HUN.1.2_1,HUN.1.7_1,4.0,0
HUN.1.2_1,HUN.6.6_1,14.0,0
HUN.1.2_1,HUN.7.4_1,8.0,0
HUN.1.2_1,HUN.2.6_1,2.0,0
HUN.1.2_1,HUN.1.10_1,1.0,0
HUN.1.2_1,HUN.15.10_1,1.0,0
HUN.1.2_1,HUN.15.5_1,6.0,0
HUN.1.2_1,HUN.1.5_1,5.0,0
HUN.1.2_1,HUN.7.1_1,1.0,0
HUN.1.2_1,HUN.15.9_1,4.0,0
HUN.1.2_1,HUN.15.1_1,1.0,0
HUN.1.2_1,HUN.14.3_1,1.0,0
HUN.1.2_1,HUN.15.2_1,1.0,0
HUN.1.2_1,HUN.14.11_1,1.0,0
HUN.1.2_1,HUN.6.7_1,2.0,0
HUN.1.2_1,HUN.19.2_1,1.0,0
HUN.1.2_1,HUN.7.7_1,1.0,0
HUN.1.2_1,HUN.7.10_1,2.0,0
HUN.1.2_1,HUN.14.2_1,1.0,0
HUN.1.2_1,HUN.14.7_1,1.0,0
HUN.1.2_1,HUN.15.7_1,1.0,0
HUN.1.2_1,HUN.7.8_1,1.0,0
HUN.1.2_1,HUN.5.1_1,5.0,0
HUN.1.2_1,HUN.11.5_1,2.0,0
HUN.1.2_1,HUN.12.3_1,1.0,0
HUN.1.2_1,HUN.14.12_1,1.0,0
HUN.1.2_1,HUN.20.2_1,1.0,0
HUN.1.2_1,HUN.8.2_1,3.0,0
HUN.1.2_1,HUN.8.4_1,1.0,0
HUN.1.2_1,HUN.16.6_1,1.0,0
HUN.1.2_1,HUN.4.2_1,1.0,0
HUN.1.2_1,HUN.16.2_1,1.0,0
HUN.1.3_1,HUN.1.8_1,214.0,0
HUN.1.3_1,HUN.1.1_1,7.0,0
HUN.1.3_1,HUN.1.2_1,33.0,0
HUN.1.3_1,HUN.6.5_1,5.0,0
HUN.1.3_1,HUN.1.4_1,9.0,0
HUN.1.3_1,HUN.1.6_1,2.0,0
HUN.1.3_1,HUN.17.4_1,3.0,0
HUN.1.3_1,HUN.17.3_1,3.0,0
HUN.1.3_1,HUN.1.5_1,2.0,0
HUN.1.3_1,HUN.2.1_1,1.0,0
HUN.1.3_1,HUN.7.4_1,1.0,0
HUN.1.3_1,HUN.2.3_1,1.0,0
HUN.1.3_1,HUN.3.7_1,1.0,0
HUN.1.4_1,HUN.17.3_1,537.0,0
HUN.1.4_1,HUN.1.6_1,213.0,0
HUN.1.4_1,HUN.17.4_1,186.0,0
HUN.1.4_1,HUN.1.3_1,19.0,0
HUN.1.4_1,HUN.7.4_1,58.0,0
HUN.1.4_1,HUN.1.10_1,13.0,0
