origin,destination,flow,time
IND.1_1,IND.23_1,2929.0,0
IND.1_1,IND.26_1,794.0,0
IND.1_1,IND.33_1,1.0,0
IND.1_1,IND.2_1,18.0,0
IND.1_1,IND.36_1,5.0,0
IND.1_1,IND.15_1,3.0,0
IND.1_1,IND.32_1,1.0,0
IND.1_1,IND.5_1,1.0,0
IND.1_1,IND.16_1,1.0,0
IND.2_1,IND.32_1,235023.0,0
IND.2_1,IND.16_1,134605.0,0
IND.2_1,IND.27_1,1256.0,0
IND.2_1,IND.31_1,60116.0,0
IND.2_1,IND.20_1,40617.0,0
IND.2_1,IND.10_1,312.0,0
IND.2_1,IND.7_1,5738.0,0
IND.2_1,IND.17_1,5687.0,0
IND.2_1,IND.26_1,6562.0,0
IND.2_1,IND.8_1,84.0,0
IND.2_1,IND.19_1,8935.0,0
IND.2_1,IND.18_1,1.0,0
IND.2_1,IND.9_1,21.0,0
IND.2_1,IND.15_1,3339.0,0
IND.2_1,IND.11_1,4973.0,0
IND.2_1,IND.36_1,5625.0,0
IND.2_1,IND.34_1,8580.0,0
IND.2_1,IND.5_1,3169.0,0
IND.2_1,IND.29_1,1695.0,0
IND.2_1,IND.25_1,354.0,0
IND.2_1,IND.1_1,6.0,0
IND.2_1,IND.33_1,83.0,0
IND.2_1,IND.12_1,529.0,0
IND.2_1,IND.30_1,17.0,0
IND.2_1,IND.23_1,14.0,0
IND.2_1,IND.22_1,61.0,0
IND.2_1,IND.35_1,240.0,0
IND.2_1,IND.6_1,15.0,0
IND.2_1,IND.28_1,520.0,0
IND.2_1,IND.21_1,50.0,0
IND.2_1,IND.4_1,592.0,0
IND.2_1,IND.13_1,111.0,0
IND.2_1,IND.24_1,30.0,0
IND.2_1,IND.14_1,226.0,0
IND.2_1,IND.3_1,17.0,0
IND.3_1,IND.24_1,9418.0,0
IND.3_1,IND.4_1,7663.0,0
IND.3_1,IND.21_1,62.0,0
IND.3_1,IND.22_1,61.0,0
IND.3_1,IND.23_1,18.0,0
IND.3_1,IND.33_1,56.0,0
IND.3_1,IND.30_1,7.0,0
IND.3_1,IND.36_1,414.0,0
IND.3_1,IND.5_1,76.0,0
IND.3_1,IND.15_1,8.0,0
IND.3_1,IND.26_1,14.0,0
IND.3_1,IND.34_1,29.0,0
IND.3_1,IND.7_1,1.0,0
IND.3_1,IND.19_1,5.0,0
IND.3_1,IND.12_1,2.0,0
IND.3_1,IND.14_1,1.0,0
IND.3_1,IND.28_1,2.0,0
IND.3_1,IND.32_1,3.0,0
IND.3_1,IND.2_1,5.0,0
IND.3_1,IND.29_1,2.0,0
IND.3_1,IND.20_1,4.0,0
IND.3_1,IND.11_1,1.0,0
IND.3_1,IND.16_1,1.0,0
IND.3_1,IND.31_1,2.0,0
IND.4_1,IND.24_1,19377.0,0
IND.4_1,IND.22_1,34024.0,0
IND.4_1,IND.21_1,24455.0,0
IND.4_1,IND.3_1,10673.0,0
IND.4_1,IND.33_1,22728.0,0
IND.4_1,IND.23_1,6589.0,0
IND.4_1,IND.30_1,2992.0,0
IND.4_1,IND.36_1,156723.0,0
IND.4_1,IND.5_1,36950.0,0
IND.4_1,IND.15_1,5515.0,0
IND.4_1,IND.26_1,5079.0,0
IND.4_1,IND.34_1,13418.0,0
IND.4_1,IND.7_1,988.0,0
IND.4_1,IND.35_1,390.0,0
IND.4_1,IND.19_1,2303.0,0
IND.4_1,IND.25_1,421.0,0
IND.4_1,IND.13_1,162.0,0
IND.4_1,IND.6_1,11.0,0
IND.4_1,IND.12_1,569.0,0
IND.4_1,IND.1_1,8.0,0
IND.4_1,IND.32_1,784.0,0
IND.4_1,IND.14_1,301.0,0
