origin,destination,flow,time
IRQ.1_1,IRQ.14_1,171083.0,0
IRQ.1_1,IRQ.17_1,202373.0,0
IRQ.1_1,IRQ.10_1,81307.0,0
IRQ.1_1,IRQ.9_1,29064.0,0
IRQ.1_1,IRQ.5_1,10641.0,0
IRQ.1_1,IRQ.13_1,14635.0,0
IRQ.1_1,IRQ.4_1,8570.0,0
IRQ.1_1,IRQ.16_1,14708.0,0
IRQ.1_1,IRQ.8_1,4660.0,0
IRQ.1_1,IRQ.18_1,3762.0,0
IRQ.1_1,IRQ.7_1,4969.0,0
IRQ.1_1,IRQ.6_1,4442.0,0
IRQ.1_1,IRQ.3_1,1536.0,0
IRQ.1_1,IRQ.11_1,3469.0,0
IRQ.1_1,IRQ.12_1,3374.0,0
IRQ.1_1,IRQ.15_1,1611.0,0
IRQ.1_1,IRQ.2_1,3417.0,0
IRQ.2_1,IRQ.11_1,290387.0,0
IRQ.2_1,IRQ.15_1,78960.0,0
IRQ.2_1,IRQ.3_1,37587.0,0
IRQ.2_1,IRQ.4_1,52442.0,0
IRQ.2_1,IRQ.18_1,30921.0,0
IRQ.2_1,IRQ.5_1,21333.0,0
IRQ.2_1,IRQ.9_1,31953.0,0
IRQ.2_1,IRQ.14_1,9772.0,0
IRQ.2_1,IRQ.10_1,26110.0,0
IRQ.2_1,IRQ.13_1,11135.0,0
IRQ.2_1,IRQ.17_1,12555.0,0
IRQ.2_1,IRQ.7_1,6692.0,0
IRQ.2_1,IRQ.1_1,6770.0,0
IRQ.2_1,IRQ.8_1,3409.0,0
IRQ.2_1,IRQ.6_1,4487.0,0
IRQ.2_1,IRQ.16_1,6271.0,0
IRQ.2_1,IRQ.12_1,3448.0,0
IRQ.3_1,IRQ.11_1,136129.0,0
IRQ.3_1,IRQ.5_1,16061.0,0
IRQ.3_1,IRQ.4_1,10890.0,0
IRQ.3_1,IRQ.2_1,9218.0,0
IRQ.3_1,IRQ.15_1,2227.0,0
IRQ.3_1,IRQ.18_1,1995.0,0
IRQ.3_1,IRQ.9_1,2562.0,0
IRQ.3_1,IRQ.14_1,840.0,0
IRQ.3_1,IRQ.10_1,2176.0,0
IRQ.3_1,IRQ.13_1,955.0,0
IRQ.3_1,IRQ.1_1,862.0,0
IRQ.3_1,IRQ.17_1,837.0,0
IRQ.3_1,IRQ.8_1,317.0,0
IRQ.3_1,IRQ.7_1,411.0,0
IRQ.3_1,IRQ.6_1,368.0,0
IRQ.3_1,IRQ.16_1,506.0,0
IRQ.3_1,IRQ.12_1,250.0,0
IRQ.4_1,IRQ.9_1,228072.0,0
IRQ.4_1,IRQ.18_1,36247.0,0
IRQ.4_1,IRQ.14_1,17233.0,0
IRQ.4_1,IRQ.11_1,23211.0,0
IRQ.4_1,IRQ.5_1,8818.0,0
IRQ.4_1,IRQ.10_1,16680.0,0
IRQ.4_1,IRQ.15_1,3781.0,0
IRQ.4_1,IRQ.3_1,2279.0,0
IRQ.4_1,IRQ.13_1,4784.0,0
IRQ.4_1,IRQ.2_1,4731.0,0
IRQ.4_1,IRQ.17_1,3983.0,0
IRQ.4_1,IRQ.1_1,2559.0,0
IRQ.4_1,IRQ.8_1,1252.0,0
IRQ.4_1,IRQ.7_1,1578.0,0
IRQ.4_1,IRQ.6_1,1408.0,0
IRQ.4_1,IRQ.16_1,1950.0,0
IRQ.4_1,IRQ.12_1,1092.0,0
IRQ.5_1,IRQ.4_1,160242.0,0
IRQ.5_1,IRQ.14_1,31426.0,0
IRQ.5_1,IRQ.3_1,15956.0,0
IRQ.5_1,IRQ.9_1,25437.0,0
IRQ.5_1,IRQ.11_1,10701.0,0
IRQ.5_1,IRQ.18_1,4672.0,0
IRQ.5_1,IRQ.10_1,8261.0,0
IRQ.5_1,IRQ.1_1,3603.0,0
IRQ.5_1,IRQ.15_1,1392.0,0
IRQ.5_1,IRQ.13_1,1994.0,0
