origin,destination,flow,time
ISL.1_1,ISL.2_1,92.0,0
ISL.1_1,ISL.5_1,12.0,0
ISL.1_1,ISL.8_1,5.0,0
ISL.1_1,ISL.3_1,11.0,0
ISL.1_1,ISL.6_1,1.0,0
ISL.2_1,ISL.1_1,96.0,0
ISL.2_1,ISL.4_1,40.0,0
ISL.2_1,ISL.5_1,48.0,0
ISL.2_1,ISL.8_1,16.0,0
ISL.2_1,ISL.7_1,6.0,0
ISL.2_1,ISL.3_1,57.0,0
ISL.2_1,ISL.6_1,3.0,0
ISL.3_1,ISL.6_1,659.0,0
ISL.3_1,ISL.8_1,246.0,0
ISL.3_1,ISL.5_1,485.0,0
ISL.3_1,ISL.4_1,86.0,0
ISL.3_1,ISL.7_1,109.0,0
ISL.3_1,ISL.2_1,380.0,0
ISL.3_1,ISL.1_1,113.0,0
ISL.4_1,ISL.8_1,42.0,0
ISL.4_1,ISL.2_1,13.0,0
ISL.4_1,ISL.5_1,3.0,0
ISL.4_1,ISL.3_1,5.0,0
ISL.5_1,ISL.3_1,246.0,0
ISL.5_1,ISL.6_1,3.0,0
ISL.5_1,ISL.2_1,1.0,0
ISL.5_1,ISL.1_1,3.0,0
ISL.6_1,ISL.3_1,255.0,0
ISL.6_1,ISL.8_1,2.0,0
ISL.6_1,ISL.5_1,1.0,0
ISL.6_1,ISL.4_1,1.0,0
ISL.6_1,ISL.2_1,3.0,0
ISL.6_1,ISL.1_1,1.0,0
ISL.7_1,ISL.8_1,37.0,0
ISL.7_1,ISL.4_1,5.0,0
ISL.7_1,ISL.3_1,14.0,0
ISL.8_1,ISL.3_1,119.0,0
ISL.8_1,ISL.7_1,2.0,0
ISL.8_1,ISL.5_1,1.0,0
ISL.8_1,ISL.1_1,1.0,0
ISL.1_1,ISL.1_1,12066.168245984227,0
ISL.2_1,ISL.2_1,26379.18782572095,0
ISL.3_1,ISL.3_1,205761.92588799604,0
ISL.4_1,ISL.4_1,6326.337762767326,0
ISL.5_1,ISL.5_1,25142.270982790502,0
ISL.6_1,ISL.6_1,26072.71676519281,0
ISL.7_1,ISL.7_1,5629.248812923976,0
ISL.8_1,ISL.8_1,12219.937533219043,0
