origin,destination,flow,time
JOR.1_1,JOR.6_1,981.0,0
JOR.1_1,JOR.5_1,921.0,0
JOR.1_1,JOR.4_1,84.0,0
JOR.1_1,JOR.9_1,5.0,0
JOR.1_1,JOR.2_1,66.0,0
JOR.1_1,JOR.12_1,10.0,0
JOR.1_1,JOR.7_1,7.0,0
JOR.1_1,JOR.11_1,2.0,0
JOR.1_1,JOR.10_1,4.0,0
JOR.1_1,JOR.3_1,1.0,0
JOR.2_1,JOR.12_1,11075.0,0
JOR.2_1,JOR.9_1,1293.0,0
JOR.2_1,JOR.7_1,2026.0,0
JOR.2_1,JOR.4_1,5351.0,0
JOR.2_1,JOR.6_1,712.0,0
JOR.2_1,JOR.1_1,789.0,0
JOR.2_1,JOR.11_1,385.0,0
JOR.2_1,JOR.5_1,4327.0,0
JOR.2_1,JOR.8_1,281.0,0
JOR.2_1,JOR.10_1,868.0,0
JOR.2_1,JOR.3_1,323.0,0
JOR.3_1,JOR.11_1,748.0,0
JOR.3_1,JOR.8_1,366.0,0
JOR.3_1,JOR.7_1,318.0,0
JOR.3_1,JOR.9_1,86.0,0
JOR.3_1,JOR.2_1,268.0,0
JOR.3_1,JOR.4_1,21.0,0
JOR.3_1,JOR.12_1,10.0,0
JOR.3_1,JOR.6_1,1.0,0
JOR.3_1,JOR.1_1,2.0,0
JOR.3_1,JOR.5_1,17.0,0
JOR.3_1,JOR.10_1,3.0,0
JOR.4_1,JOR.1_1,2085.0,0
JOR.4_1,JOR.6_1,1227.0,0
JOR.4_1,JOR.9_1,864.0,0
JOR.4_1,JOR.5_1,3966.0,0
JOR.4_1,JOR.2_1,1801.0,0
JOR.4_1,JOR.7_1,87.0,0
JOR.4_1,JOR.12_1,299.0,0
JOR.4_1,JOR.11_1,24.0,0
JOR.4_1,JOR.8_1,30.0,0
JOR.4_1,JOR.10_1,89.0,0
JOR.4_1,JOR.3_1,28.0,0
JOR.5_1,JOR.1_1,2247.0,0
JOR.5_1,JOR.6_1,1609.0,0
JOR.5_1,JOR.4_1,5621.0,0
JOR.5_1,JOR.9_1,550.0,0
JOR.5_1,JOR.2_1,4609.0,0
JOR.5_1,JOR.12_1,757.0,0
JOR.5_1,JOR.7_1,186.0,0
JOR.5_1,JOR.11_1,55.0,0
JOR.5_1,JOR.10_1,285.0,0
JOR.5_1,JOR.8_1,69.0,0
JOR.5_1,JOR.3_1,93.0,0
JOR.6_1,JOR.1_1,963.0,0
JOR.6_1,JOR.5_1,704.0,0
JOR.6_1,JOR.4_1,50.0,0
JOR.6_1,JOR.9_1,3.0,0
JOR.6_1,JOR.2_1,55.0,0
JOR.6_1,JOR.12_1,8.0,0
JOR.6_1,JOR.7_1,2.0,0
JOR.6_1,JOR.10_1,4.0,0
JOR.6_1,JOR.8_1,1.0,0
JOR.7_1,JOR.11_1,874.0,0
JOR.7_1,JOR.9_1,598.0,0
JOR.7_1,JOR.2_1,1341.0,0
JOR.7_1,JOR.4_1,74.0,0
JOR.7_1,JOR.8_1,3.0,0
JOR.7_1,JOR.6_1,5.0,0
JOR.7_1,JOR.12_1,37.0,0
JOR.7_1,JOR.1_1,4.0,0
JOR.7_1,JOR.5_1,26.0,0
JOR.7_1,JOR.3_1,2.0,0
JOR.7_1,JOR.10_1,3.0,0
JOR.8_1,JOR.11_1,681.0,0
JOR.8_1,JOR.7_1,458.0,0
JOR.8_1,JOR.3_1,79.0,0
JOR.8_1,JOR.2_1,225.0,0
JOR.8_1,JOR.9_1,1.0,0
JOR.8_1,JOR.12_1,10.0,0
JOR.8_1,JOR.4_1,5.0,0
JOR.8_1,JOR.1_1,1.0,0
JOR.8_1,JOR.5_1,6.0,0
JOR.9_1,JOR.4_1,1451.0,0
JOR.9_1,JOR.7_1,41.0,0
JOR.9_1,JOR.2_1,133.0,0
JOR.9_1,JOR.6_1,1.0,0
JOR.9_1,JOR.1_1,2.0,0
JOR.9_1,JOR.11_1,2.0,0
JOR.9_1,JOR.5_1,6.0,0
JOR.9_1,JOR.8_1,3.0,0
JOR.9_1,JOR.10_1,2.0,0
JOR.10_1,JOR.12_1,3274.0,0
JOR.10_1,JOR.2_1,969.0,0
JOR.10_1,JOR.6_1,20.0,0
JOR.10_1,JOR.5_1,132.0,0
JOR.10_1,JOR.1_1,14.0,0
JOR.10_1,JOR.4_1,41.0,0
JOR.10_1,JOR.9_1,12.0,0
JOR.10_1,JOR.7_1,20.0,0
JOR.10_1,JOR.8_1,6.0,0
JOR.10_1,JOR.11_1,3.0,0
JOR.10_1,JOR.3_1,9.0,0
JOR.11_1,JOR.7_1,852.0,0
JOR.11_1,JOR.9_1,92.0,0
JOR.11_1,JOR.8_1,52.0,0
JOR.11_1,JOR.2_1,152.0,0
JOR.11_1,JOR.3_1,2.0,0
JOR.11_1,JOR.4_1,9.0,0
JOR.11_1,JOR.12_1,3.0,0
JOR.11_1,JOR.6_1,4.0,0
JOR.11_1,JOR.5_1,5.0,0
JOR.11_1,JOR.10_1,3.0,0
JOR.12_1,JOR.2_1,8445.0,0
JOR.12_1,JOR.6_1,156.0,0
JOR.12_1,JOR.4_1,655.0,0
JOR.12_1,JOR.9_1,67.0,0
JOR.12_1,JOR.1_1,96.0,0
JOR.12_1,JOR.10_1,181.0,0
JOR.12_1,JOR.7_1,101.0,0
JOR.12_1,JOR.5_1,408.0,0
JOR.12_1,JOR.11_1,23.0,0
JOR.12_1,JOR.8_1,16.0,0
JOR.12_1,JOR.3_1,41.0,0
JOR.1_1,JOR.1_1,206081.2367708589,0
JOR.2_1,JOR.2_1,2715595.6745056785,0
JOR.3_1,JOR.3_1,182228.3578798125,0
JOR.4_1,JOR.4_1,1039558.2649971355,0
JOR.5_1,JOR.5_1,1592045.1089840683,0
JOR.6_1,JOR.6_1,177250.39548500098,0
JOR.7_1,JOR.7_1,293823.31941510376,0
JOR.8_1,JOR.8_1,145137.34449343703,0
JOR.9_1,JOR.9_1,162482.19617903922,0
JOR.10_1,JOR.10_1,445570.2677362919,0
JOR.11_1,JOR.11_1,116281.57163546683,0
JOR.12_1,JOR.12_1,1008738.5422439161,0
