origin,destination,flow,time
JPN.45.12_1,JPN.45.20_1,60.0,0
JPN.45.12_1,JPN.45.5_1,53.0,0
JPN.45.12_1,JPN.45.22_1,66.0,0
JPN.45.12_1,JPN.45.17_1,12.0,0
JPN.45.12_1,JPN.45.3_1,18.0,0
JPN.45.12_1,JPN.45.21_1,1.0,0
JPN.45.12_1,JPN.45.29_1,9.0,0
JPN.45.12_1,JPN.45.14_1,2.0,0
JPN.45.12_1,JPN.45.33_1,1.0,0
JPN.45.12_1,JPN.45.25_1,5.0,0
JPN.45.12_1,JPN.45.32_1,9.0,0
JPN.45.12_1,JPN.24.22_1,8.0,0
JPN.45.12_1,JPN.16.8_1,1.0,0
JPN.45.12_1,JPN.8.53_1,1.0,0
JPN.45.12_1,JPN.41.31_1,1.0,0
JPN.45.13_1,JPN.45.26_1,87.0,0
JPN.45.13_1,JPN.45.15_1,74.0,0
JPN.45.13_1,JPN.45.1_1,10.0,0
JPN.45.13_1,JPN.45.8_1,16.0,0
JPN.45.13_1,JPN.45.19_1,6.0,0
JPN.45.13_1,JPN.45.4_1,1.0,0
JPN.45.13_1,JPN.45.18_1,3.0,0
JPN.45.13_1,JPN.45.33_1,10.0,0
JPN.45.13_1,JPN.45.28_1,3.0,0
JPN.45.13_1,JPN.45.6_1,5.0,0
JPN.45.13_1,JPN.45.16_1,2.0,0
JPN.45.13_1,JPN.45.14_1,1.0,0
JPN.45.13_1,JPN.45.34_1,10.0,0
JPN.45.13_1,JPN.45.32_1,7.0,0
JPN.45.13_1,JPN.29.14_1,2.0,0
JPN.45.13_1,JPN.45.22_1,1.0,0
JPN.45.13_1,JPN.45.29_1,2.0,0
JPN.45.13_1,JPN.8.25_1,3.0,0
JPN.45.13_1,JPN.45.31_1,2.0,0
JPN.45.13_1,JPN.45.12_1,2.0,0
JPN.45.13_1,JPN.29.23_1,2.0,0
JPN.45.13_1,JPN.8.29_1,1.0,0
JPN.45.13_1,JPN.29.21_1,1.0,0
JPN.45.13_1,JPN.8.6_1,2.0,0
JPN.45.13_1,JPN.14.34_1,1.0,0
JPN.45.13_1,JPN.16.20_1,1.0,0
JPN.45.14_1,JPN.45.33_1,71.0,0
JPN.45.14_1,JPN.45.5_1,15.0,0
JPN.45.14_1,JPN.45.22_1,8.0,0
JPN.45.14_1,JPN.45.29_1,5.0,0
JPN.45.14_1,JPN.45.32_1,7.0,0
JPN.45.14_1,JPN.45.28_1,1.0,0
JPN.45.14_1,JPN.24.22_1,4.0,0
JPN.45.14_1,JPN.45.34_1,1.0,0
JPN.45.15_1,JPN.45.26_1,86.0,0
JPN.45.15_1,JPN.45.6_1,83.0,0
JPN.45.15_1,JPN.45.28_1,39.0,0
JPN.45.15_1,JPN.45.13_1,18.0,0
JPN.45.15_1,JPN.45.8_1,9.0,0
JPN.45.15_1,JPN.45.33_1,8.0,0
JPN.45.15_1,JPN.45.1_1,4.0,0
JPN.45.15_1,JPN.45.32_1,34.0,0
JPN.45.15_1,JPN.45.34_1,5.0,0
JPN.45.15_1,JPN.45.29_1,4.0,0
JPN.45.15_1,JPN.45.22_1,1.0,0
JPN.45.15_1,JPN.45.16_1,1.0,0
JPN.45.15_1,JPN.24.36_1,1.0,0
JPN.45.15_1,JPN.24.28_1,1.0,0
JPN.45.15_1,JPN.8.7_1,2.0,0
JPN.45.15_1,JPN.8.29_1,1.0,0
JPN.45.15_1,JPN.8.25_1,1.0,0
JPN.45.15_1,JPN.29.14_1,1.0,0
JPN.45.15_1,JPN.24.22_1,5.0,0
JPN.45.15_1,JPN.24.15_1,1.0,0
JPN.45.15_1,JPN.8.39_1,1.0,0
JPN.45.15_1,JPN.29.17_1,1.0,0
JPN.45.15_1,JPN.39.24_1,1.0,0
JPN.45.15_1,JPN.35.63_1,1.0,0
JPN.45.16_1,JPN.45.18_1,43.0,0
JPN.45.16_1,JPN.45.1_1,7.0,0
