origin,destination,flow,time
KEN.1_1,KEN.5_1,148968.0,0
KEN.1_1,KEN.44_1,119325.0,0
KEN.1_1,KEN.20_1,20481.0,0
KEN.1_1,KEN.32_1,24577.0,0
KEN.1_1,KEN.42_1,14955.0,0
KEN.1_1,KEN.35_1,6215.0,0
KEN.1_1,KEN.31_1,13325.0,0
KEN.1_1,KEN.12_1,4133.0,0
KEN.1_1,KEN.3_1,5544.0,0
KEN.1_1,KEN.47_1,1554.0,0
KEN.1_1,KEN.11_1,3186.0,0
KEN.1_1,KEN.37_1,496.0,0
KEN.1_1,KEN.45_1,894.0,0
KEN.1_1,KEN.17_1,1451.0,0
KEN.1_1,KEN.36_1,884.0,0
KEN.1_1,KEN.2_1,943.0,0
KEN.1_1,KEN.34_1,658.0,0
KEN.1_1,KEN.4_1,751.0,0
KEN.1_1,KEN.15_1,465.0,0
KEN.1_1,KEN.29_1,700.0,0
KEN.1_1,KEN.38_1,666.0,0
KEN.1_1,KEN.16_1,750.0,0
KEN.1_1,KEN.26_1,807.0,0
KEN.1_1,KEN.13_1,801.0,0
KEN.1_1,KEN.33_1,458.0,0
KEN.1_1,KEN.8_1,386.0,0
KEN.1_1,KEN.6_1,196.0,0
KEN.1_1,KEN.41_1,130.0,0
KEN.1_1,KEN.30_1,1266.0,0
KEN.1_1,KEN.27_1,247.0,0
KEN.1_1,KEN.22_1,258.0,0
KEN.1_1,KEN.9_1,29.0,0
KEN.1_1,KEN.43_1,214.0,0
KEN.1_1,KEN.25_1,63.0,0
KEN.1_1,KEN.10_1,163.0,0
KEN.1_1,KEN.18_1,234.0,0
KEN.1_1,KEN.23_1,193.0,0
KEN.1_1,KEN.40_1,58.0,0
KEN.1_1,KEN.46_1,267.0,0
KEN.1_1,KEN.7_1,193.0,0
KEN.1_1,KEN.39_1,46.0,0
KEN.1_1,KEN.14_1,175.0,0
KEN.1_1,KEN.24_1,324.0,0
KEN.1_1,KEN.21_1,11.0,0
KEN.1_1,KEN.19_1,97.0,0
KEN.1_1,KEN.28_1,150.0,0
KEN.2_1,KEN.34_1,219099.0,0
KEN.2_1,KEN.12_1,114634.0,0
KEN.2_1,KEN.16_1,61669.0,0
KEN.2_1,KEN.33_1,29361.0,0
KEN.2_1,KEN.17_1,17364.0,0
KEN.2_1,KEN.31_1,20654.0,0
KEN.2_1,KEN.32_1,6417.0,0
KEN.2_1,KEN.8_1,5487.0,0
KEN.2_1,KEN.27_1,4271.0,0
KEN.2_1,KEN.45_1,2384.0,0
KEN.2_1,KEN.11_1,5121.0,0
KEN.2_1,KEN.38_1,2444.0,0
KEN.2_1,KEN.44_1,2605.0,0
KEN.2_1,KEN.35_1,1217.0,0
KEN.2_1,KEN.5_1,825.0,0
KEN.2_1,KEN.1_1,1141.0,0
KEN.2_1,KEN.13_1,2536.0,0
KEN.2_1,KEN.4_1,1083.0,0
KEN.2_1,KEN.3_1,2139.0,0
KEN.2_1,KEN.30_1,3747.0,0
KEN.2_1,KEN.36_1,508.0,0
