origin,destination,flow,time
KGZ.4.5_1,KGZ.4.3_1,45699.0,0
KGZ.4.5_1,KGZ.4.1_1,17718.0,0
KGZ.4.5_1,KGZ.4.6_1,17919.0,0
KGZ.4.5_1,KGZ.4.8_1,4136.0,0
KGZ.4.5_1,KGZ.6.1_1,4261.0,0
KGZ.4.5_1,KGZ.7.2_1,1239.0,0
KGZ.4.5_1,KGZ.7.7_1,2637.0,0
KGZ.4.5_1,KGZ.4.2_1,494.0,0
KGZ.4.5_1,KGZ.7.5_1,2046.0,0
KGZ.4.5_1,KGZ.7.6_1,1137.0,0
KGZ.4.5_1,KGZ.8.4_1,408.0,0
KGZ.4.5_1,KGZ.4.7_1,92.0,0
KGZ.4.5_1,KGZ.4.4_1,154.0,0
KGZ.4.5_1,KGZ.8.1_1,153.0,0
KGZ.4.5_1,KGZ.1.2_1,569.0,0
KGZ.4.5_1,KGZ.7.4_1,273.0,0
KGZ.4.5_1,KGZ.8.2_1,119.0,0
KGZ.4.5_1,KGZ.3.6_1,142.0,0
KGZ.4.5_1,KGZ.8.3_1,68.0,0
KGZ.4.5_1,KGZ.7.1_1,153.0,0
KGZ.4.5_1,KGZ.3.3_1,141.0,0
KGZ.4.5_1,KGZ.5.3_1,73.0,0
KGZ.4.5_1,KGZ.5.1_1,62.0,0
KGZ.4.5_1,KGZ.7.3_1,58.0,0
KGZ.4.5_1,KGZ.3.5_1,125.0,0
KGZ.4.5_1,KGZ.1.1_1,155.0,0
KGZ.4.5_1,KGZ.3.7_1,244.0,0
KGZ.4.5_1,KGZ.3.1_1,202.0,0
KGZ.4.5_1,KGZ.2.1_1,1142.0,0
KGZ.4.5_1,KGZ.3.8_1,127.0,0
KGZ.4.5_1,KGZ.5.4_1,67.0,0
KGZ.4.5_1,KGZ.1.3_1,127.0,0
KGZ.4.5_1,KGZ.3.2_1,89.0,0
KGZ.4.5_1,KGZ.5.2_1,41.0,0
KGZ.4.5_1,KGZ.5.5_1,71.0,0
KGZ.4.5_1,KGZ.3.4_1,36.0,0
KGZ.4.5_1,KGZ.9.3_1,51.0,0
KGZ.4.5_1,KGZ.9.5_1,62.0,0
KGZ.4.5_1,KGZ.9.6_1,12.0,0
KGZ.4.5_1,KGZ.9.2_1,49.0,0
KGZ.4.5_1,KGZ.9.4_1,81.0,0
KGZ.4.5_1,KGZ.9.1_1,39.0,0
KGZ.2.1_1,KGZ.3.1_1,76194.0,0
KGZ.2.1_1,KGZ.3.7_1,70058.0,0
KGZ.2.1_1,KGZ.3.8_1,54200.0,0
KGZ.2.1_1,KGZ.3.5_1,20390.0,0
KGZ.2.1_1,KGZ.3.2_1,29256.0,0
KGZ.2.1_1,KGZ.3.3_1,16713.0,0
KGZ.2.1_1,KGZ.3.6_1,11038.0,0
KGZ.2.1_1,KGZ.5.3_1,7986.0,0
KGZ.2.1_1,KGZ.5.4_1,14121.0,0
KGZ.2.1_1,KGZ.5.6_1,19.0,0
KGZ.2.1_1,KGZ.3.4_1,10208.0,0
KGZ.2.1_1,KGZ.8.4_1,18469.0,0
KGZ.2.1_1,KGZ.4.7_1,4463.0,0
KGZ.2.1_1,KGZ.4.8_1,22454.0,0
KGZ.2.1_1,KGZ.5.1_1,4161.0,0
KGZ.2.1_1,KGZ.5.5_1,9957.0,0
KGZ.2.1_1,KGZ.9.3_1,9014.0,0
KGZ.2.1_1,KGZ.9.5_1,7960.0,0
KGZ.2.1_1,KGZ.4.3_1,13406.0,0
KGZ.2.1_1,KGZ.9.6_1,1109.0,0
KGZ.2.1_1,KGZ.4.6_1,26701.0,0
KGZ.2.1_1,KGZ.8.1_1,3065.0,0
KGZ.2.1_1,KGZ.8.3_1,2281.0,0
KGZ.2.1_1,KGZ.7.7_1,16950.0,0
KGZ.2.1_1,KGZ.5.2_1,2977.0,0
KGZ.2.1_1,KGZ.4.5_1,9280.0,0
KGZ.2.1_1,KGZ.4.1_1,6237.0,0
KGZ.2.1_1,KGZ.7.4_1,4346.0,0
KGZ.2.1_1,KGZ.8.2_1,1951.0,0
KGZ.2.1_1,KGZ.6.1_1,10210.0,0
KGZ.2.1_1,KGZ.7.5_1,12073.0,0
KGZ.2.1_1,KGZ.4.4_1,1522.0,0
KGZ.2.1_1,KGZ.9.2_1,2487.0,0
KGZ.2.1_1,KGZ.4.2_1,2062.0,0
KGZ.2.1_1,KGZ.7.2_1,2789.0,0
KGZ.2.1_1,KGZ.9.4_1,2992.0,0
KGZ.2.1_1,KGZ.7.6_1,6171.0,0
KGZ.2.1_1,KGZ.7.1_1,1796.0,0
KGZ.2.1_1,KGZ.9.1_1,1572.0,0
KGZ.2.1_1,KGZ.1.2_1,4328.0,0
KGZ.2.1_1,KGZ.7.3_1,631.0,0
KGZ.2.1_1,KGZ.1.1_1,1730.0,0
KGZ.2.1_1,KGZ.1.3_1,2604.0,0
KGZ.3.1_1,KGZ.2.1_1,65144.0,0
KGZ.3.1_1,KGZ.3.7_1,1163.0,0
KGZ.3.1_1,KGZ.3.8_1,843.0,0
KGZ.3.1_1,KGZ.3.5_1,314.0,0
KGZ.3.1_1,KGZ.3.3_1,295.0,0
KGZ.3.1_1,KGZ.3.2_1,414.0,0
KGZ.3.1_1,KGZ.3.6_1,164.0,0
KGZ.3.1_1,KGZ.5.3_1,123.0,0
KGZ.3.1_1,KGZ.5.4_1,224.0,0
KGZ.3.1_1,KGZ.3.4_1,185.0,0
KGZ.3.1_1,KGZ.8.4_1,247.0,0
KGZ.3.1_1,KGZ.4.7_1,55.0,0
KGZ.3.1_1,KGZ.4.8_1,369.0,0
KGZ.3.1_1,KGZ.5.1_1,52.0,0
KGZ.3.1_1,KGZ.5.5_1,179.0,0
KGZ.3.1_1,KGZ.9.3_1,162.0,0
KGZ.3.1_1,KGZ.9.5_1,115.0,0
KGZ.3.1_1,KGZ.4.3_1,201.0,0
KGZ.3.1_1,KGZ.4.6_1,464.0,0
KGZ.3.1_1,KGZ.9.6_1,17.0,0
KGZ.3.1_1,KGZ.8.1_1,68.0,0
KGZ.3.1_1,KGZ.8.3_1,39.0,0
KGZ.3.1_1,KGZ.7.7_1,267.0,0
KGZ.3.1_1,KGZ.5.2_1,40.0,0
KGZ.3.1_1,KGZ.4.5_1,144.0,0
KGZ.3.1_1,KGZ.4.1_1,87.0,0
KGZ.3.1_1,KGZ.7.4_1,60.0,0
KGZ.3.1_1,KGZ.8.2_1,32.0,0
KGZ.3.1_1,KGZ.6.1_1,149.0,0
KGZ.3.1_1,KGZ.7.5_1,188.0,0
KGZ.3.1_1,KGZ.4.4_1,22.0,0
KGZ.3.1_1,KGZ.9.2_1,34.0,0
KGZ.3.1_1,KGZ.7.2_1,36.0,0
KGZ.3.1_1,KGZ.4.2_1,27.0,0
KGZ.3.1_1,KGZ.9.4_1,53.0,0
