origin,destination,flow,time
KHM.1_1,KHM.2_1,58371.0,0
KHM.1_1,KHM.15_1,6503.0,0
KHM.1_1,KHM.12_1,2165.0,0
KHM.1_1,KHM.21_1,5841.0,0
KHM.1_1,KHM.17_1,976.0,0
KHM.1_1,KHM.18_1,811.0,0
KHM.1_1,KHM.4_1,926.0,0
KHM.1_1,KHM.6_1,1067.0,0
KHM.1_1,KHM.9_1,223.0,0
KHM.1_1,KHM.5_1,1025.0,0
KHM.1_1,KHM.3_1,880.0,0
KHM.1_1,KHM.16_1,1518.0,0
KHM.1_1,KHM.8_1,753.0,0
KHM.1_1,KHM.22_1,69.0,0
KHM.1_1,KHM.13_1,101.0,0
KHM.1_1,KHM.7_1,286.0,0
KHM.1_1,KHM.11_1,155.0,0
KHM.1_1,KHM.24_1,288.0,0
KHM.1_1,KHM.19_1,288.0,0
KHM.1_1,KHM.25_1,243.0,0
KHM.1_1,KHM.10_1,15.0,0
KHM.1_1,KHM.23_1,103.0,0
KHM.1_1,KHM.20_1,61.0,0
KHM.1_1,KHM.14_1,39.0,0
KHM.2_1,KHM.12_1,32511.0,0
KHM.2_1,KHM.1_1,44731.0,0
KHM.2_1,KHM.17_1,13181.0,0
KHM.2_1,KHM.21_1,30189.0,0
KHM.2_1,KHM.15_1,9018.0,0
KHM.2_1,KHM.9_1,1581.0,0
KHM.2_1,KHM.4_1,4321.0,0
KHM.2_1,KHM.5_1,5795.0,0
KHM.2_1,KHM.6_1,4022.0,0
KHM.2_1,KHM.18_1,1775.0,0
KHM.2_1,KHM.16_1,8204.0,0
KHM.2_1,KHM.3_1,2445.0,0
KHM.2_1,KHM.13_1,620.0,0
KHM.2_1,KHM.8_1,3157.0,0
KHM.2_1,KHM.7_1,1367.0,0
KHM.2_1,KHM.24_1,1400.0,0
KHM.2_1,KHM.10_1,49.0,0
KHM.2_1,KHM.19_1,1249.0,0
KHM.2_1,KHM.25_1,1249.0,0
KHM.2_1,KHM.11_1,508.0,0
KHM.2_1,KHM.22_1,179.0,0
KHM.2_1,KHM.23_1,525.0,0
KHM.2_1,KHM.14_1,163.0,0
KHM.2_1,KHM.20_1,291.0,0
KHM.3_1,KHM.25_1,43475.0,0
KHM.3_1,KHM.16_1,22922.0,0
KHM.3_1,KHM.4_1,2168.0,0
KHM.3_1,KHM.6_1,2327.0,0
KHM.3_1,KHM.8_1,3305.0,0
KHM.3_1,KHM.19_1,1353.0,0
KHM.3_1,KHM.11_1,560.0,0
KHM.3_1,KHM.5_1,837.0,0
KHM.3_1,KHM.23_1,478.0,0
KHM.3_1,KHM.24_1,694.0,0
KHM.3_1,KHM.17_1,303.0,0
KHM.3_1,KHM.7_1,487.0,0
KHM.3_1,KHM.18_1,219.0,0
KHM.3_1,KHM.14_1,69.0,0
KHM.3_1,KHM.10_1,21.0,0
KHM.3_1,KHM.21_1,742.0,0
KHM.3_1,KHM.9_1,62.0,0
KHM.3_1,KHM.22_1,74.0,0
KHM.3_1,KHM.13_1,97.0,0
KHM.3_1,KHM.2_1,600.0,0
KHM.3_1,KHM.20_1,91.0,0
KHM.3_1,KHM.15_1,227.0,0
KHM.3_1,KHM.12_1,100.0,0
KHM.3_1,KHM.1_1,217.0,0
KHM.4_1,KHM.5_1,30128.0,0
KHM.4_1,KHM.16_1,11387.0,0
KHM.4_1,KHM.3_1,1457.0,0
KHM.4_1,KHM.6_1,773.0,0
KHM.4_1,KHM.8_1,1114.0,0
KHM.4_1,KHM.17_1,227.0,0
KHM.4_1,KHM.19_1,415.0,0
KHM.4_1,KHM.24_1,338.0,0
KHM.4_1,KHM.9_1,47.0,0
KHM.4_1,KHM.25_1,239.0,0
KHM.4_1,KHM.7_1,167.0,0
KHM.4_1,KHM.21_1,315.0,0
KHM.4_1,KHM.23_1,73.0,0
KHM.4_1,KHM.2_1,250.0,0
KHM.4_1,KHM.11_1,45.0,0
KHM.4_1,KHM.10_1,6.0,0
KHM.4_1,KHM.13_1,22.0,0
KHM.4_1,KHM.18_1,34.0,0
KHM.4_1,KHM.12_1,33.0,0
KHM.4_1,KHM.1_1,94.0,0
KHM.4_1,KHM.15_1,68.0,0
KHM.4_1,KHM.22_1,7.0,0
KHM.4_1,KHM.14_1,15.0,0
KHM.4_1,KHM.20_1,15.0,0
KHM.5_1,KHM.16_1,57989.0,0
KHM.5_1,KHM.4_1,3296.0,0
KHM.5_1,KHM.8_1,5744.0,0
KHM.5_1,KHM.7_1,1681.0,0
KHM.5_1,KHM.24_1,1560.0,0
KHM.5_1,KHM.9_1,238.0,0
KHM.5_1,KHM.13_1,313.0,0
KHM.5_1,KHM.10_1,62.0,0
KHM.5_1,KHM.17_1,504.0,0
KHM.5_1,KHM.19_1,958.0,0
KHM.5_1,KHM.3_1,821.0,0
KHM.5_1,KHM.6_1,528.0,0
KHM.5_1,KHM.23_1,315.0,0
KHM.5_1,KHM.25_1,486.0,0
KHM.5_1,KHM.2_1,856.0,0
KHM.5_1,KHM.21_1,572.0,0
KHM.5_1,KHM.12_1,125.0,0
KHM.5_1,KHM.11_1,132.0,0
KHM.5_1,KHM.18_1,122.0,0
KHM.5_1,KHM.1_1,219.0,0
KHM.5_1,KHM.15_1,177.0,0
KHM.5_1,KHM.14_1,24.0,0
KHM.5_1,KHM.22_1,31.0,0
KHM.5_1,KHM.20_1,52.0,0
KHM.6_1,KHM.3_1,37189.0,0
KHM.6_1,KHM.4_1,7328.0,0
KHM.6_1,KHM.18_1,3367.0,0
KHM.6_1,KHM.11_1,2823.0,0
KHM.6_1,KHM.25_1,4019.0,0
KHM.6_1,KHM.21_1,3721.0,0
KHM.6_1,KHM.16_1,2631.0,0
KHM.6_1,KHM.8_1,1059.0,0
KHM.6_1,KHM.17_1,235.0,0
KHM.6_1,KHM.22_1,88.0,0
KHM.6_1,KHM.19_1,420.0,0
KHM.6_1,KHM.5_1,320.0,0
KHM.6_1,KHM.23_1,182.0,0
KHM.6_1,KHM.14_1,47.0,0
KHM.6_1,KHM.24_1,300.0,0
KHM.6_1,KHM.15_1,226.0,0
KHM.6_1,KHM.2_1,398.0,0
KHM.6_1,KHM.9_1,46.0,0
KHM.6_1,KHM.7_1,140.0,0
KHM.6_1,KHM.1_1,172.0,0
KHM.6_1,KHM.20_1,40.0,0
KHM.6_1,KHM.12_1,64.0,0
KHM.6_1,KHM.10_1,6.0,0
KHM.6_1,KHM.13_1,38.0,0
KHM.7_1,KHM.10_1,3818.0,0
KHM.7_1,KHM.24_1,35123.0,0
KHM.7_1,KHM.13_1,3917.0,0
KHM.7_1,KHM.5_1,8252.0,0
KHM.7_1,KHM.8_1,6578.0,0
KHM.7_1,KHM.16_1,4143.0,0
KHM.7_1,KHM.9_1,189.0,0
KHM.7_1,KHM.19_1,951.0,0
KHM.7_1,KHM.4_1,473.0,0
KHM.7_1,KHM.23_1,348.0,0
KHM.7_1,KHM.3_1,568.0,0
KHM.7_1,KHM.17_1,261.0,0
KHM.7_1,KHM.25_1,447.0,0
KHM.7_1,KHM.6_1,286.0,0
KHM.7_1,KHM.2_1,588.0,0
KHM.7_1,KHM.11_1,99.0,0
KHM.7_1,KHM.12_1,95.0,0
KHM.7_1,KHM.21_1,359.0,0
KHM.7_1,KHM.18_1,78.0,0
KHM.7_1,KHM.1_1,160.0,0
KHM.7_1,KHM.14_1,22.0,0
