origin,destination,flow,time
KNA.1_1,KNA.8_1,77.0,0
KNA.1_1,KNA.6_1,33.0,0
KNA.1_1,KNA.13_1,12.0,0
KNA.1_1,KNA.14_1,7.0,0
KNA.1_1,KNA.11_1,11.0,0
KNA.1_1,KNA.9_1,3.0,0
KNA.1_1,KNA.2_1,5.0,0
KNA.1_1,KNA.3_1,3.0,0
KNA.1_1,KNA.12_1,2.0,0
KNA.1_1,KNA.5_1,1.0,0
KNA.2_1,KNA.9_1,85.0,0
KNA.2_1,KNA.13_1,26.0,0
KNA.2_1,KNA.6_1,14.0,0
KNA.2_1,KNA.1_1,8.0,0
KNA.2_1,KNA.14_1,3.0,0
KNA.2_1,KNA.8_1,5.0,0
KNA.2_1,KNA.11_1,4.0,0
KNA.2_1,KNA.3_1,5.0,0
KNA.2_1,KNA.12_1,1.0,0
KNA.2_1,KNA.5_1,2.0,0
KNA.2_1,KNA.7_1,1.0,0
KNA.3_1,KNA.11_1,231.0,0
KNA.3_1,KNA.14_1,74.0,0
KNA.3_1,KNA.8_1,71.0,0
KNA.3_1,KNA.1_1,42.0,0
KNA.3_1,KNA.12_1,33.0,0
KNA.3_1,KNA.13_1,23.0,0
KNA.3_1,KNA.5_1,18.0,0
KNA.3_1,KNA.10_1,11.0,0
KNA.3_1,KNA.6_1,17.0,0
KNA.3_1,KNA.7_1,30.0,0
KNA.3_1,KNA.4_1,14.0,0
KNA.3_1,KNA.2_1,9.0,0
KNA.3_1,KNA.9_1,8.0,0
KNA.4_1,KNA.7_1,123.0,0
KNA.4_1,KNA.10_1,6.0,0
KNA.4_1,KNA.5_1,6.0,0
KNA.4_1,KNA.12_1,11.0,0
KNA.4_1,KNA.3_1,14.0,0
KNA.4_1,KNA.11_1,3.0,0
KNA.4_1,KNA.14_1,1.0,0
KNA.4_1,KNA.8_1,1.0,0
KNA.4_1,KNA.1_1,2.0,0
KNA.4_1,KNA.13_1,1.0,0
KNA.4_1,KNA.6_1,2.0,0
KNA.4_1,KNA.9_1,1.0,0
KNA.5_1,KNA.12_1,74.0,0
KNA.5_1,KNA.4_1,18.0,0
KNA.5_1,KNA.10_1,8.0,0
KNA.5_1,KNA.7_1,13.0,0
KNA.5_1,KNA.3_1,16.0,0
KNA.5_1,KNA.11_1,5.0,0
KNA.5_1,KNA.14_1,1.0,0
KNA.5_1,KNA.8_1,1.0,0
KNA.6_1,KNA.1_1,80.0,0
KNA.6_1,KNA.9_1,45.0,0
KNA.6_1,KNA.13_1,18.0,0
KNA.6_1,KNA.2_1,7.0,0
KNA.6_1,KNA.8_1,7.0,0
KNA.6_1,KNA.14_1,5.0,0
KNA.6_1,KNA.11_1,5.0,0
KNA.6_1,KNA.3_1,6.0,0
KNA.6_1,KNA.12_1,2.0,0
KNA.6_1,KNA.10_1,1.0,0
KNA.7_1,KNA.10_1,73.0,0
KNA.7_1,KNA.4_1,58.0,0
KNA.7_1,KNA.12_1,29.0,0
KNA.7_1,KNA.5_1,22.0,0
KNA.7_1,KNA.3_1,31.0,0
KNA.7_1,KNA.11_1,7.0,0
KNA.7_1,KNA.14_1,3.0,0
KNA.7_1,KNA.8_1,6.0,0
KNA.7_1,KNA.1_1,3.0,0
KNA.7_1,KNA.13_1,1.0,0
KNA.7_1,KNA.6_1,4.0,0
KNA.7_1,KNA.9_1,1.0,0
KNA.8_1,KNA.1_1,73.0,0
KNA.8_1,KNA.11_1,51.0,0
KNA.8_1,KNA.14_1,11.0,0
KNA.8_1,KNA.6_1,8.0,0
KNA.8_1,KNA.13_1,5.0,0
KNA.8_1,KNA.3_1,15.0,0
KNA.8_1,KNA.2_1,5.0,0
KNA.8_1,KNA.12_1,1.0,0
KNA.8_1,KNA.7_1,2.0,0
KNA.9_1,KNA.2_1,86.0,0
KNA.9_1,KNA.6_1,23.0,0
KNA.9_1,KNA.13_1,8.0,0
KNA.9_1,KNA.1_1,10.0,0
KNA.9_1,KNA.8_1,1.0,0
KNA.9_1,KNA.14_1,6.0,0
KNA.9_1,KNA.11_1,3.0,0
KNA.9_1,KNA.3_1,3.0,0
KNA.9_1,KNA.12_1,2.0,0
KNA.9_1,KNA.7_1,2.0,0
KNA.9_1,KNA.4_1,1.0,0
KNA.10_1,KNA.7_1,72.0,0
KNA.10_1,KNA.12_1,10.0,0
KNA.10_1,KNA.4_1,4.0,0
KNA.10_1,KNA.5_1,2.0,0
KNA.10_1,KNA.3_1,3.0,0
KNA.10_1,KNA.11_1,1.0,0
KNA.11_1,KNA.8_1,107.0,0
KNA.11_1,KNA.14_1,48.0,0
KNA.11_1,KNA.3_1,81.0,0
KNA.11_1,KNA.1_1,7.0,0
KNA.11_1,KNA.13_1,6.0,0
KNA.11_1,KNA.6_1,5.0,0
KNA.11_1,KNA.2_1,5.0,0
KNA.11_1,KNA.9_1,4.0,0
KNA.11_1,KNA.12_1,10.0,0
KNA.11_1,KNA.5_1,2.0,0
KNA.11_1,KNA.7_1,4.0,0
KNA.11_1,KNA.4_1,3.0,0
KNA.12_1,KNA.10_1,57.0,0
KNA.12_1,KNA.5_1,31.0,0
KNA.12_1,KNA.7_1,37.0,0
KNA.12_1,KNA.4_1,9.0,0
KNA.12_1,KNA.3_1,16.0,0
KNA.12_1,KNA.11_1,2.0,0
KNA.12_1,KNA.14_1,1.0,0
KNA.12_1,KNA.8_1,1.0,0
KNA.12_1,KNA.13_1,2.0,0
KNA.12_1,KNA.2_1,1.0,0
KNA.12_1,KNA.9_1,1.0,0
KNA.13_1,KNA.1_1,77.0,0
KNA.13_1,KNA.2_1,29.0,0
KNA.13_1,KNA.6_1,10.0,0
KNA.13_1,KNA.14_1,3.0,0
KNA.13_1,KNA.9_1,5.0,0
KNA.13_1,KNA.8_1,2.0,0
KNA.13_1,KNA.11_1,3.0,0
KNA.13_1,KNA.3_1,6.0,0
KNA.13_1,KNA.12_1,1.0,0
KNA.13_1,KNA.4_1,1.0,0
KNA.14_1,KNA.13_1,75.0,0
KNA.14_1,KNA.8_1,28.0,0
KNA.14_1,KNA.11_1,14.0,0
KNA.14_1,KNA.1_1,4.0,0
KNA.14_1,KNA.6_1,4.0,0
KNA.14_1,KNA.3_1,9.0,0
KNA.14_1,KNA.2_1,1.0,0
KNA.14_1,KNA.10_1,1.0,0
KNA.14_1,KNA.4_1,1.0,0
KNA.1_1,KNA.1_1,2940.0255716323873,0
KNA.2_1,KNA.2_1,2936.9466857910174,0
KNA.3_1,KNA.3_1,11043.419045257555,0
KNA.4_1,KNA.4_1,3266.2154811859164,0
KNA.5_1,KNA.5_1,2589.656679153445,0
KNA.6_1,KNA.6_1,3354.667756652835,0
KNA.7_1,KNA.7_1,4531.837340164187,0
KNA.8_1,KNA.8_1,3267.74024887085,0
KNA.9_1,KNA.9_1,2757.3695640563947,0
KNA.10_1,KNA.10_1,1765.0389144897451,0
KNA.11_1,KNA.11_1,5359.929064178466,0
KNA.12_1,KNA.12_1,3019.5373687744104,0
KNA.13_1,KNA.13_1,2603.1756824493377,0
KNA.14_1,KNA.14_1,2611.1124572753924,0
