origin,destination,flow,time
KOR.10_1,KOR.4_1,258509.0,0
KOR.10_1,KOR.1_1,160562.0,0
KOR.10_1,KOR.17_1,31393.0,0
KOR.10_1,KOR.13_1,40762.0,0
KOR.10_1,KOR.9_1,49999.0,0
KOR.10_1,KOR.7_1,14567.0,0
KOR.10_1,KOR.14_1,16972.0,0
KOR.10_1,KOR.5_1,11141.0,0
KOR.10_1,KOR.2_1,11676.0,0
KOR.10_1,KOR.15_1,481.0,0
KOR.10_1,KOR.3_1,10896.0,0
KOR.10_1,KOR.8_1,45324.0,0
KOR.10_1,KOR.12_1,870.0,0
KOR.10_1,KOR.6_1,2325.0,0
KOR.10_1,KOR.16_1,10592.0,0
KOR.10_1,KOR.11_1,2732.0,0
KOR.9_1,KOR.4_1,248226.0,0
KOR.9_1,KOR.2_1,104305.0,0
KOR.9_1,KOR.17_1,37118.0,0
KOR.9_1,KOR.10_1,78885.0,0
KOR.9_1,KOR.5_1,20379.0,0
KOR.9_1,KOR.1_1,29772.0,0
KOR.9_1,KOR.15_1,705.0,0
KOR.9_1,KOR.13_1,12400.0,0
KOR.9_1,KOR.6_1,9340.0,0
KOR.9_1,KOR.3_1,10435.0,0
KOR.9_1,KOR.8_1,41817.0,0
KOR.9_1,KOR.16_1,10402.0,0
KOR.9_1,KOR.7_1,1222.0,0
KOR.9_1,KOR.14_1,1526.0,0
KOR.9_1,KOR.11_1,2310.0,0
KOR.9_1,KOR.12_1,422.0,0
KOR.1_1,KOR.17_1,152636.0,0
KOR.1_1,KOR.10_1,210012.0,0
KOR.1_1,KOR.4_1,49767.0,0
KOR.1_1,KOR.9_1,47508.0,0
KOR.1_1,KOR.13_1,16830.0,0
KOR.1_1,KOR.5_1,11508.0,0
KOR.1_1,KOR.2_1,11592.0,0
KOR.1_1,KOR.14_1,9719.0,0
KOR.1_1,KOR.7_1,5885.0,0
KOR.1_1,KOR.15_1,347.0,0
KOR.1_1,KOR.3_1,7663.0,0
KOR.1_1,KOR.6_1,4732.0,0
KOR.1_1,KOR.8_1,29142.0,0
KOR.1_1,KOR.12_1,594.0,0
KOR.1_1,KOR.16_1,7516.0,0
KOR.1_1,KOR.11_1,2009.0,0
KOR.5_1,KOR.15_1,16117.0,0
KOR.5_1,KOR.3_1,156454.0,0
KOR.5_1,KOR.2_1,39169.0,0
KOR.5_1,KOR.13_1,18679.0,0
KOR.5_1,KOR.9_1,18153.0,0
KOR.5_1,KOR.4_1,6677.0,0
KOR.5_1,KOR.8_1,19737.0,0
KOR.5_1,KOR.10_1,1631.0,0
KOR.5_1,KOR.16_1,2781.0,0
KOR.5_1,KOR.7_1,320.0,0
KOR.5_1,KOR.11_1,685.0,0
KOR.5_1,KOR.14_1,355.0,0
KOR.5_1,KOR.6_1,295.0,0
KOR.5_1,KOR.17_1,180.0,0
KOR.5_1,KOR.1_1,477.0,0
KOR.5_1,KOR.12_1,84.0,0
KOR.12_1,KOR.14_1,85195.0,0
KOR.12_1,KOR.7_1,9256.0,0
KOR.12_1,KOR.13_1,5529.0,0
KOR.12_1,KOR.10_1,4538.0,0
KOR.12_1,KOR.1_1,1802.0,0
KOR.12_1,KOR.4_1,725.0,0
KOR.12_1,KOR.5_1,480.0,0
KOR.12_1,KOR.17_1,251.0,0
KOR.12_1,KOR.3_1,443.0,0
KOR.12_1,KOR.15_1,20.0,0
KOR.12_1,KOR.9_1,538.0,0
KOR.12_1,KOR.2_1,230.0,0
KOR.12_1,KOR.8_1,1150.0,0
KOR.12_1,KOR.11_1,135.0,0
KOR.12_1,KOR.16_1,250.0,0
KOR.12_1,KOR.6_1,38.0,0
KOR.3_1,KOR.15_1,16577.0,0
KOR.3_1,KOR.5_1,160281.0,0
KOR.3_1,KOR.2_1,78261.0,0
KOR.3_1,KOR.13_1,37408.0,0
KOR.3_1,KOR.8_1,82769.0,0
KOR.3_1,KOR.16_1,9829.0,0
KOR.3_1,KOR.11_1,2256.0,0
KOR.3_1,KOR.7_1,886.0,0
KOR.3_1,KOR.9_1,1910.0,0
KOR.3_1,KOR.4_1,1056.0,0
KOR.3_1,KOR.14_1,851.0,0
KOR.3_1,KOR.6_1,708.0,0
KOR.3_1,KOR.10_1,1303.0,0
KOR.3_1,KOR.17_1,338.0,0
KOR.3_1,KOR.1_1,970.0,0
KOR.3_1,KOR.12_1,170.0,0
KOR.4_1,KOR.10_1,251575.0,0
KOR.4_1,KOR.9_1,51779.0,0
KOR.4_1,KOR.17_1,9298.0,0
KOR.4_1,KOR.1_1,18978.0,0
KOR.4_1,KOR.2_1,7759.0,0
KOR.4_1,KOR.5_1,4993.0,0
KOR.4_1,KOR.13_1,4758.0,0
KOR.4_1,KOR.15_1,198.0,0
KOR.4_1,KOR.7_1,3039.0,0
KOR.4_1,KOR.3_1,4048.0,0
KOR.4_1,KOR.14_1,2900.0,0
KOR.4_1,KOR.6_1,2089.0,0
KOR.4_1,KOR.8_1,12478.0,0
KOR.4_1,KOR.16_1,3257.0,0
KOR.4_1,KOR.11_1,873.0,0
KOR.4_1,KOR.12_1,174.0,0
KOR.6_1,KOR.8_1,276814.0,0
KOR.6_1,KOR.16_1,8751.0,0
KOR.6_1,KOR.2_1,1118.0,0
KOR.6_1,KOR.11_1,1546.0,0
KOR.6_1,KOR.15_1,35.0,0
KOR.6_1,KOR.9_1,1347.0,0
KOR.6_1,KOR.5_1,532.0,0
KOR.6_1,KOR.3_1,678.0,0
KOR.6_1,KOR.4_1,571.0,0
KOR.6_1,KOR.13_1,477.0,0
KOR.6_1,KOR.17_1,235.0,0
KOR.6_1,KOR.10_1,775.0,0
KOR.6_1,KOR.1_1,588.0,0
KOR.6_1,KOR.7_1,244.0,0
KOR.6_1,KOR.14_1,308.0,0
KOR.6_1,KOR.12_1,100.0,0
KOR.16_1,KOR.8_1,1308158.0,0
KOR.16_1,KOR.11_1,74774.0,0
KOR.16_1,KOR.15_1,1969.0,0
KOR.16_1,KOR.3_1,43185.0,0
KOR.16_1,KOR.6_1,28434.0,0
KOR.16_1,KOR.2_1,30560.0,0
KOR.16_1,KOR.5_1,22056.0,0
KOR.16_1,KOR.13_1,23809.0,0
KOR.16_1,KOR.9_1,38645.0,0
KOR.16_1,KOR.4_1,20969.0,0
KOR.16_1,KOR.7_1,12921.0,0
KOR.16_1,KOR.10_1,31025.0,0
KOR.16_1,KOR.14_1,14334.0,0
KOR.16_1,KOR.17_1,7421.0,0
KOR.16_1,KOR.1_1,20272.0,0
KOR.16_1,KOR.12_1,3666.0,0
KOR.8_1,KOR.16_1,1576137.0,0
KOR.8_1,KOR.11_1,306188.0,0
KOR.8_1,KOR.6_1,135505.0,0
KOR.8_1,KOR.2_1,142927.0,0
KOR.8_1,KOR.15_1,6561.0,0
KOR.8_1,KOR.3_1,142951.0,0
KOR.8_1,KOR.5_1,91436.0,0
KOR.8_1,KOR.9_1,173852.0,0
KOR.8_1,KOR.13_1,81606.0,0
KOR.8_1,KOR.4_1,86739.0,0
KOR.8_1,KOR.10_1,134316.0,0
KOR.8_1,KOR.7_1,45588.0,0
KOR.8_1,KOR.17_1,32729.0,0
KOR.8_1,KOR.14_1,56842.0,0
KOR.8_1,KOR.1_1,83189.0,0
KOR.8_1,KOR.12_1,14930.0,0
KOR.7_1,KOR.14_1,149954.0,0
KOR.7_1,KOR.13_1,37584.0,0
KOR.7_1,KOR.10_1,29112.0,0
KOR.7_1,KOR.5_1,6101.0,0
KOR.7_1,KOR.3_1,5994.0,0
KOR.7_1,KOR.15_1,190.0,0
KOR.7_1,KOR.4_1,4030.0,0
KOR.7_1,KOR.2_1,2921.0,0
KOR.7_1,KOR.12_1,759.0,0
KOR.7_1,KOR.1_1,3175.0,0
KOR.7_1,KOR.9_1,2376.0,0
KOR.7_1,KOR.17_1,691.0,0
KOR.7_1,KOR.8_1,5879.0,0
KOR.7_1,KOR.16_1,1550.0,0
KOR.7_1,KOR.11_1,386.0,0
KOR.7_1,KOR.6_1,180.0,0
KOR.2_1,KOR.15_1,16486.0,0
KOR.2_1,KOR.5_1,149622.0,0
KOR.2_1,KOR.3_1,73865.0,0
KOR.2_1,KOR.9_1,44326.0,0
KOR.2_1,KOR.8_1,49839.0,0
KOR.2_1,KOR.16_1,6768.0,0
KOR.2_1,KOR.6_1,835.0,0
KOR.2_1,KOR.4_1,1028.0,0
KOR.2_1,KOR.13_1,754.0,0
KOR.2_1,KOR.11_1,1208.0,0
KOR.2_1,KOR.10_1,1252.0,0
KOR.2_1,KOR.17_1,337.0,0
KOR.2_1,KOR.7_1,376.0,0
KOR.2_1,KOR.1_1,817.0,0
KOR.2_1,KOR.14_1,439.0,0
KOR.2_1,KOR.12_1,152.0,0
KOR.14_1,KOR.7_1,151732.0,0
KOR.14_1,KOR.13_1,75177.0,0
KOR.14_1,KOR.10_1,58264.0,0
KOR.14_1,KOR.5_1,12129.0,0
KOR.14_1,KOR.12_1,3776.0,0
KOR.14_1,KOR.4_1,10205.0,0
KOR.14_1,KOR.3_1,7639.0,0
KOR.14_1,KOR.15_1,279.0,0
KOR.14_1,KOR.1_1,7877.0,0
KOR.14_1,KOR.2_1,3630.0,0
KOR.14_1,KOR.17_1,1695.0,0
KOR.14_1,KOR.9_1,4528.0,0
KOR.14_1,KOR.8_1,11811.0,0
KOR.14_1,KOR.16_1,2941.0,0
KOR.14_1,KOR.11_1,804.0,0
KOR.14_1,KOR.6_1,371.0,0
KOR.11_1,KOR.16_1,448167.0,0
KOR.11_1,KOR.8_1,87630.0,0
KOR.11_1,KOR.3_1,4380.0,0
KOR.11_1,KOR.15_1,144.0,0
KOR.11_1,KOR.2_1,3315.0,0
KOR.11_1,KOR.5_1,2455.0,0
KOR.11_1,KOR.6_1,2360.0,0
KOR.11_1,KOR.13_1,2367.0,0
KOR.11_1,KOR.9_1,3725.0,0
KOR.11_1,KOR.7_1,1418.0,0
KOR.11_1,KOR.4_1,2004.0,0
KOR.11_1,KOR.10_1,3048.0,0
KOR.11_1,KOR.14_1,1403.0,0
KOR.11_1,KOR.17_1,737.0,0
KOR.11_1,KOR.1_1,1937.0,0
KOR.11_1,KOR.12_1,348.0,0
KOR.15_1,KOR.5_1,15746.0,0
KOR.15_1,KOR.3_1,524.0,0
KOR.15_1,KOR.2_1,142.0,0
KOR.15_1,KOR.13_1,76.0,0
KOR.15_1,KOR.8_1,134.0,0
KOR.15_1,KOR.16_1,13.0,0
KOR.15_1,KOR.11_1,5.0,0
KOR.15_1,KOR.9_1,4.0,0
KOR.15_1,KOR.4_1,3.0,0
KOR.15_1,KOR.6_1,2.0,0
KOR.15_1,KOR.7_1,1.0,0
KOR.15_1,KOR.10_1,1.0,0
KOR.15_1,KOR.17_1,1.0,0
KOR.15_1,KOR.1_1,1.0,0
KOR.17_1,KOR.1_1,146466.0,0
KOR.17_1,KOR.4_1,16562.0,0
KOR.17_1,KOR.10_1,12337.0,0
KOR.17_1,KOR.9_1,5393.0,0
KOR.17_1,KOR.2_1,1938.0,0
KOR.17_1,KOR.5_1,1252.0,0
KOR.17_1,KOR.13_1,1272.0,0
KOR.17_1,KOR.15_1,55.0,0
KOR.17_1,KOR.7_1,771.0,0
KOR.17_1,KOR.14_1,908.0,0
KOR.17_1,KOR.3_1,879.0,0
KOR.17_1,KOR.6_1,529.0,0
KOR.17_1,KOR.8_1,3201.0,0
KOR.17_1,KOR.16_1,858.0,0
KOR.17_1,KOR.11_1,223.0,0
KOR.17_1,KOR.12_1,37.0,0
KOR.13_1,KOR.7_1,146497.0,0
KOR.13_1,KOR.5_1,63207.0,0
KOR.13_1,KOR.15_1,2406.0,0
KOR.13_1,KOR.14_1,36432.0,0
KOR.13_1,KOR.3_1,21818.0,0
KOR.13_1,KOR.10_1,19899.0,0
KOR.13_1,KOR.2_1,6272.0,0
KOR.13_1,KOR.4_1,5283.0,0
KOR.13_1,KOR.9_1,6079.0,0
KOR.13_1,KOR.1_1,4266.0,0
KOR.13_1,KOR.17_1,1123.0,0
KOR.13_1,KOR.8_1,10431.0,0
KOR.13_1,KOR.16_1,2670.0,0
KOR.13_1,KOR.11_1,714.0,0
KOR.13_1,KOR.6_1,352.0,0
KOR.13_1,KOR.12_1,118.0,0
KOR.10_1,KOR.10_1,2675205.3195962883,0
KOR.9_1,KOR.9_1,2437058.271768472,0
KOR.1_1,KOR.1_1,2269840.3582107523,0
KOR.5_1,KOR.5_1,1127176.004830936,0
KOR.12_1,KOR.12_1,442321.1978973392,0
KOR.3_1,KOR.3_1,1582293.63219972,0
KOR.4_1,KOR.4_1,1512785.6667938242,0
KOR.6_1,KOR.6_1,1176476.918082336,0
KOR.16_1,KOR.16_1,6728793.588696288,0
KOR.8_1,KOR.8_1,12445985.4244444,0
KOR.7_1,KOR.7_1,1003530.8682922401,0
KOR.2_1,KOR.2_1,1392418.490257648,0
KOR.14_1,KOR.14_1,1411433.943580816,0
KOR.11_1,KOR.11_1,2261752.1486907923,0
KOR.15_1,KOR.15_1,66613.52053833008,0
KOR.17_1,KOR.17_1,770725.6274108888,0
KOR.13_1,KOR.13_1,1310269.736497856,0
