origin,destination,flow,time
LAO.1_1,LAO.17_1,3880.0,0
LAO.1_1,LAO.4_1,3293.0,0
LAO.1_1,LAO.11_1,378.0,0
LAO.1_1,LAO.12_1,355.0,0
LAO.1_1,LAO.6_1,85.0,0
LAO.1_1,LAO.3_1,56.0,0
LAO.1_1,LAO.13_1,90.0,0
LAO.1_1,LAO.16_1,4.0,0
LAO.1_1,LAO.18_1,16.0,0
LAO.1_1,LAO.14_1,26.0,0
LAO.1_1,LAO.5_1,17.0,0
LAO.1_1,LAO.15_1,11.0,0
LAO.1_1,LAO.8_1,13.0,0
LAO.1_1,LAO.9_1,17.0,0
LAO.1_1,LAO.2_1,6.0,0
LAO.1_1,LAO.10_1,1.0,0
LAO.1_1,LAO.7_1,5.0,0
LAO.2_1,LAO.7_1,5305.0,0
LAO.2_1,LAO.9_1,2369.0,0
LAO.2_1,LAO.15_1,884.0,0
LAO.2_1,LAO.8_1,500.0,0
LAO.2_1,LAO.10_1,127.0,0
LAO.2_1,LAO.14_1,223.0,0
LAO.2_1,LAO.16_1,19.0,0
LAO.2_1,LAO.18_1,63.0,0
LAO.2_1,LAO.13_1,223.0,0
LAO.2_1,LAO.5_1,41.0,0
LAO.2_1,LAO.3_1,45.0,0
LAO.2_1,LAO.6_1,51.0,0
LAO.2_1,LAO.12_1,76.0,0
LAO.2_1,LAO.11_1,22.0,0
LAO.2_1,LAO.4_1,37.0,0
LAO.2_1,LAO.17_1,9.0,0
LAO.2_1,LAO.1_1,8.0,0
LAO.3_1,LAO.16_1,4152.0,0
LAO.3_1,LAO.18_1,6157.0,0
LAO.3_1,LAO.6_1,3934.0,0
LAO.3_1,LAO.13_1,3139.0,0
LAO.3_1,LAO.5_1,501.0,0
LAO.3_1,LAO.14_1,455.0,0
LAO.3_1,LAO.8_1,379.0,0
LAO.3_1,LAO.12_1,591.0,0
LAO.3_1,LAO.15_1,168.0,0
LAO.3_1,LAO.9_1,135.0,0
LAO.3_1,LAO.11_1,114.0,0
LAO.3_1,LAO.10_1,51.0,0
LAO.3_1,LAO.7_1,62.0,0
LAO.3_1,LAO.2_1,39.0,0
LAO.3_1,LAO.17_1,32.0,0
LAO.3_1,LAO.4_1,140.0,0
LAO.3_1,LAO.1_1,35.0,0
LAO.4_1,LAO.1_1,7639.0,0
LAO.4_1,LAO.11_1,11900.0,0
LAO.4_1,LAO.17_1,2270.0,0
LAO.4_1,LAO.12_1,8953.0,0
LAO.4_1,LAO.6_1,2015.0,0
LAO.4_1,LAO.3_1,1378.0,0
LAO.4_1,LAO.13_1,2423.0,0
LAO.4_1,LAO.16_1,164.0,0
LAO.4_1,LAO.18_1,450.0,0
LAO.4_1,LAO.14_1,614.0,0
LAO.4_1,LAO.5_1,413.0,0
LAO.4_1,LAO.15_1,423.0,0
LAO.4_1,LAO.8_1,445.0,0
LAO.4_1,LAO.9_1,345.0,0
LAO.4_1,LAO.2_1,129.0,0
LAO.4_1,LAO.7_1,140.0,0
LAO.4_1,LAO.10_1,114.0,0
LAO.5_1,LAO.18_1,7859.0,0
LAO.5_1,LAO.8_1,4038.0,0
LAO.5_1,LAO.16_1,370.0,0
LAO.5_1,LAO.3_1,1188.0,0
LAO.5_1,LAO.9_1,641.0,0
LAO.5_1,LAO.10_1,282.0,0
LAO.5_1,LAO.14_1,416.0,0
LAO.5_1,LAO.13_1,644.0,0
LAO.5_1,LAO.7_1,85.0,0
LAO.5_1,LAO.15_1,139.0,0
LAO.5_1,LAO.6_1,128.0,0
LAO.5_1,LAO.2_1,59.0,0
LAO.5_1,LAO.12_1,177.0,0
LAO.5_1,LAO.11_1,68.0,0
LAO.5_1,LAO.17_1,21.0,0
LAO.5_1,LAO.4_1,86.0,0
LAO.5_1,LAO.1_1,18.0,0
LAO.6_1,LAO.12_1,16695.0,0
LAO.6_1,LAO.3_1,1548.0,0
LAO.6_1,LAO.11_1,1121.0,0
LAO.6_1,LAO.16_1,195.0,0
LAO.6_1,LAO.18_1,472.0,0
LAO.6_1,LAO.13_1,1116.0,0
LAO.6_1,LAO.17_1,117.0,0
LAO.6_1,LAO.4_1,474.0,0
LAO.6_1,LAO.5_1,160.0,0
LAO.6_1,LAO.14_1,183.0,0
LAO.6_1,LAO.1_1,58.0,0
LAO.6_1,LAO.8_1,169.0,0
LAO.6_1,LAO.15_1,115.0,0
LAO.6_1,LAO.9_1,79.0,0
LAO.6_1,LAO.10_1,46.0,0
LAO.6_1,LAO.7_1,53.0,0
LAO.6_1,LAO.2_1,34.0,0
LAO.7_1,LAO.2_1,5329.0,0
LAO.7_1,LAO.9_1,2760.0,0
LAO.7_1,LAO.10_1,590.0,0
LAO.7_1,LAO.8_1,810.0,0
LAO.7_1,LAO.15_1,348.0,0
LAO.7_1,LAO.14_1,243.0,0
LAO.7_1,LAO.18_1,116.0,0
LAO.7_1,LAO.16_1,37.0,0
LAO.7_1,LAO.5_1,108.0,0
LAO.7_1,LAO.13_1,201.0,0
LAO.7_1,LAO.3_1,48.0,0
LAO.7_1,LAO.6_1,54.0,0
LAO.7_1,LAO.12_1,76.0,0
LAO.7_1,LAO.11_1,27.0,0
LAO.7_1,LAO.4_1,44.0,0
LAO.7_1,LAO.17_1,10.0,0
LAO.7_1,LAO.1_1,4.0,0
LAO.8_1,LAO.9_1,11021.0,0
LAO.8_1,LAO.18_1,3583.0,0
LAO.8_1,LAO.16_1,839.0,0
LAO.8_1,LAO.5_1,2146.0,0
LAO.8_1,LAO.7_1,1000.0,0
LAO.8_1,LAO.10_1,686.0,0
LAO.8_1,LAO.14_1,1073.0,0
LAO.8_1,LAO.15_1,776.0,0
LAO.8_1,LAO.2_1,308.0,0
LAO.8_1,LAO.13_1,1057.0,0
LAO.8_1,LAO.3_1,285.0,0
LAO.8_1,LAO.6_1,268.0,0
LAO.8_1,LAO.12_1,450.0,0
LAO.8_1,LAO.11_1,143.0,0
LAO.8_1,LAO.17_1,35.0,0
LAO.8_1,LAO.4_1,201.0,0
LAO.8_1,LAO.1_1,38.0,0
LAO.9_1,LAO.7_1,7130.0,0
LAO.9_1,LAO.8_1,5500.0,0
LAO.9_1,LAO.2_1,1067.0,0
LAO.9_1,LAO.10_1,713.0,0
LAO.9_1,LAO.15_1,1094.0,0
LAO.9_1,LAO.14_1,687.0,0
LAO.9_1,LAO.18_1,353.0,0
LAO.9_1,LAO.16_1,91.0,0
LAO.9_1,LAO.5_1,290.0,0
LAO.9_1,LAO.13_1,619.0,0
LAO.9_1,LAO.3_1,169.0,0
LAO.9_1,LAO.6_1,157.0,0
LAO.9_1,LAO.12_1,234.0,0
LAO.9_1,LAO.11_1,99.0,0
LAO.9_1,LAO.4_1,127.0,0
LAO.9_1,LAO.17_1,21.0,0
LAO.9_1,LAO.1_1,26.0,0
LAO.10_1,LAO.7_1,5294.0,0
LAO.10_1,LAO.9_1,2164.0,0
LAO.10_1,LAO.8_1,848.0,0
LAO.10_1,LAO.2_1,212.0,0
LAO.10_1,LAO.5_1,227.0,0
LAO.10_1,LAO.18_1,132.0,0
LAO.10_1,LAO.15_1,135.0,0
LAO.10_1,LAO.16_1,33.0,0
LAO.10_1,LAO.14_1,108.0,0
LAO.10_1,LAO.13_1,169.0,0
LAO.10_1,LAO.3_1,42.0,0
LAO.10_1,LAO.6_1,37.0,0
LAO.10_1,LAO.12_1,71.0,0
LAO.10_1,LAO.11_1,29.0,0
