origin,destination,flow,time
LBR.1_1,LBR.11_1,3135.0,0
LBR.1_1,LBR.4_1,36.0,0
LBR.1_1,LBR.9_1,57.0,0
LBR.1_1,LBR.3_1,11.0,0
LBR.1_1,LBR.5_1,22.0,0
LBR.1_1,LBR.2_1,21.0,0
LBR.1_1,LBR.8_1,17.0,0
LBR.1_1,LBR.13_1,1.0,0
LBR.1_1,LBR.12_1,20.0,0
LBR.1_1,LBR.15_1,5.0,0
LBR.1_1,LBR.6_1,5.0,0
LBR.1_1,LBR.7_1,4.0,0
LBR.1_1,LBR.14_1,5.0,0
LBR.1_1,LBR.10_1,3.0,0
LBR.2_1,LBR.9_1,4859.0,0
LBR.2_1,LBR.5_1,994.0,0
LBR.2_1,LBR.3_1,290.0,0
LBR.2_1,LBR.12_1,973.0,0
LBR.2_1,LBR.11_1,902.0,0
LBR.2_1,LBR.8_1,97.0,0
LBR.2_1,LBR.13_1,26.0,0
LBR.2_1,LBR.1_1,34.0,0
LBR.2_1,LBR.4_1,40.0,0
LBR.2_1,LBR.6_1,25.0,0
LBR.2_1,LBR.15_1,28.0,0
LBR.2_1,LBR.14_1,22.0,0
LBR.2_1,LBR.7_1,10.0,0
LBR.2_1,LBR.10_1,31.0,0
LBR.3_1,LBR.8_1,1961.0,0
LBR.3_1,LBR.4_1,162.0,0
LBR.3_1,LBR.2_1,164.0,0
LBR.3_1,LBR.1_1,38.0,0
LBR.3_1,LBR.11_1,141.0,0
LBR.3_1,LBR.9_1,12.0,0
LBR.3_1,LBR.5_1,4.0,0
LBR.3_1,LBR.12_1,10.0,0
LBR.3_1,LBR.13_1,2.0,0
LBR.3_1,LBR.15_1,5.0,0
LBR.3_1,LBR.6_1,5.0,0
LBR.3_1,LBR.7_1,2.0,0
LBR.3_1,LBR.10_1,1.0,0
LBR.4_1,LBR.1_1,1786.0,0
LBR.4_1,LBR.11_1,1612.0,0
LBR.4_1,LBR.3_1,20.0,0
LBR.4_1,LBR.9_1,69.0,0
LBR.4_1,LBR.2_1,39.0,0
LBR.4_1,LBR.8_1,22.0,0
LBR.4_1,LBR.5_1,14.0,0
LBR.4_1,LBR.13_1,4.0,0
LBR.4_1,LBR.12_1,31.0,0
LBR.4_1,LBR.15_1,4.0,0
LBR.4_1,LBR.6_1,4.0,0
LBR.4_1,LBR.14_1,4.0,0
LBR.4_1,LBR.7_1,3.0,0
LBR.4_1,LBR.10_1,8.0,0
LBR.5_1,LBR.9_1,3744.0,0
LBR.5_1,LBR.13_1,264.0,0
LBR.5_1,LBR.2_1,614.0,0
LBR.5_1,LBR.11_1,775.0,0
LBR.5_1,LBR.1_1,15.0,0
LBR.5_1,LBR.12_1,104.0,0
LBR.5_1,LBR.3_1,5.0,0
LBR.5_1,LBR.15_1,15.0,0
LBR.5_1,LBR.4_1,21.0,0
LBR.5_1,LBR.6_1,17.0,0
LBR.5_1,LBR.8_1,35.0,0
LBR.5_1,LBR.14_1,10.0,0
LBR.5_1,LBR.7_1,9.0,0
LBR.5_1,LBR.10_1,16.0,0
LBR.6_1,LBR.14_1,1462.0,0
LBR.6_1,LBR.15_1,771.0,0
LBR.6_1,LBR.12_1,994.0,0
LBR.6_1,LBR.7_1,49.0,0
LBR.6_1,LBR.13_1,47.0,0
LBR.6_1,LBR.10_1,80.0,0
LBR.6_1,LBR.5_1,71.0,0
LBR.6_1,LBR.2_1,88.0,0
LBR.6_1,LBR.9_1,68.0,0
LBR.6_1,LBR.11_1,119.0,0
LBR.6_1,LBR.3_1,6.0,0
LBR.6_1,LBR.8_1,15.0,0
LBR.6_1,LBR.1_1,4.0,0
LBR.6_1,LBR.4_1,5.0,0
LBR.7_1,LBR.10_1,1063.0,0
LBR.7_1,LBR.14_1,137.0,0
LBR.7_1,LBR.15_1,80.0,0
LBR.7_1,LBR.6_1,55.0,0
LBR.7_1,LBR.13_1,27.0,0
LBR.7_1,LBR.12_1,67.0,0
LBR.7_1,LBR.5_1,16.0,0
LBR.7_1,LBR.2_1,6.0,0
LBR.7_1,LBR.9_1,10.0,0
LBR.7_1,LBR.11_1,14.0,0
LBR.7_1,LBR.1_1,1.0,0
LBR.7_1,LBR.3_1,2.0,0
LBR.7_1,LBR.8_1,1.0,0
LBR.8_1,LBR.3_1,2011.0,0
LBR.8_1,LBR.2_1,2685.0,0
LBR.8_1,LBR.4_1,563.0,0
LBR.8_1,LBR.9_1,821.0,0
LBR.8_1,LBR.11_1,961.0,0
LBR.8_1,LBR.1_1,48.0,0
LBR.8_1,LBR.12_1,137.0,0
LBR.8_1,LBR.5_1,45.0,0
LBR.8_1,LBR.13_1,18.0,0
LBR.8_1,LBR.6_1,33.0,0
LBR.8_1,LBR.15_1,27.0,0
LBR.8_1,LBR.14_1,13.0,0
LBR.8_1,LBR.7_1,11.0,0
LBR.8_1,LBR.10_1,20.0,0
LBR.9_1,LBR.11_1,8119.0,0
LBR.9_1,LBR.5_1,297.0,0
LBR.9_1,LBR.1_1,147.0,0
LBR.9_1,LBR.2_1,264.0,0
LBR.9_1,LBR.3_1,57.0,0
LBR.9_1,LBR.4_1,79.0,0
LBR.9_1,LBR.13_1,63.0,0
LBR.9_1,LBR.12_1,298.0,0
LBR.9_1,LBR.8_1,127.0,0
LBR.9_1,LBR.15_1,36.0,0
LBR.9_1,LBR.6_1,48.0,0
LBR.9_1,LBR.14_1,31.0,0
LBR.9_1,LBR.7_1,14.0,0
