origin,destination,flow,time
LKA.1_1,LKA.18_1,2934.0,0
LKA.1_1,LKA.3_1,1723.0,0
LKA.1_1,LKA.4_1,405.0,0
LKA.1_1,LKA.11_1,680.0,0
LKA.1_1,LKA.20_1,179.0,0
LKA.1_1,LKA.21_1,98.0,0
LKA.1_1,LKA.16_1,91.0,0
LKA.1_1,LKA.8_1,100.0,0
LKA.1_1,LKA.23_1,95.0,0
LKA.1_1,LKA.12_1,86.0,0
LKA.1_1,LKA.14_1,96.0,0
LKA.1_1,LKA.24_1,19.0,0
LKA.1_1,LKA.17_1,38.0,0
LKA.1_1,LKA.7_1,75.0,0
LKA.1_1,LKA.2_1,18.0,0
LKA.1_1,LKA.10_1,23.0,0
LKA.1_1,LKA.5_1,40.0,0
LKA.1_1,LKA.6_1,16.0,0
LKA.1_1,LKA.22_1,10.0,0
LKA.1_1,LKA.25_1,4.0,0
LKA.1_1,LKA.13_1,1.0,0
LKA.1_1,LKA.9_1,9.0,0
LKA.2_1,LKA.25_1,1521.0,0
LKA.2_1,LKA.24_1,2113.0,0
LKA.2_1,LKA.15_1,375.0,0
LKA.2_1,LKA.21_1,1251.0,0
LKA.2_1,LKA.22_1,1265.0,0
LKA.2_1,LKA.16_1,458.0,0
LKA.2_1,LKA.14_1,983.0,0
LKA.2_1,LKA.19_1,22.0,0
LKA.2_1,LKA.13_1,28.0,0
LKA.2_1,LKA.4_1,143.0,0
LKA.2_1,LKA.11_1,332.0,0
LKA.2_1,LKA.12_1,123.0,0
LKA.2_1,LKA.7_1,261.0,0
LKA.2_1,LKA.9_1,45.0,0
LKA.2_1,LKA.3_1,68.0,0
LKA.2_1,LKA.20_1,49.0,0
LKA.2_1,LKA.1_1,36.0,0
LKA.2_1,LKA.5_1,121.0,0
LKA.2_1,LKA.18_1,24.0,0
LKA.2_1,LKA.23_1,51.0,0
LKA.2_1,LKA.10_1,29.0,0
LKA.2_1,LKA.6_1,22.0,0
LKA.2_1,LKA.8_1,12.0,0
LKA.2_1,LKA.17_1,14.0,0
LKA.3_1,LKA.20_1,3911.0,0
LKA.3_1,LKA.18_1,1139.0,0
LKA.3_1,LKA.11_1,1461.0,0
LKA.3_1,LKA.1_1,344.0,0
LKA.3_1,LKA.16_1,204.0,0
LKA.3_1,LKA.23_1,275.0,0
LKA.3_1,LKA.12_1,155.0,0
LKA.3_1,LKA.8_1,98.0,0
LKA.3_1,LKA.4_1,58.0,0
LKA.3_1,LKA.21_1,46.0,0
LKA.3_1,LKA.14_1,163.0,0
LKA.3_1,LKA.7_1,158.0,0
LKA.3_1,LKA.5_1,88.0,0
LKA.3_1,LKA.10_1,38.0,0
LKA.3_1,LKA.17_1,28.0,0
LKA.3_1,LKA.6_1,21.0,0
LKA.3_1,LKA.2_1,19.0,0
LKA.3_1,LKA.22_1,16.0,0
LKA.3_1,LKA.24_1,6.0,0
LKA.3_1,LKA.25_1,3.0,0
LKA.3_1,LKA.19_1,1.0,0
LKA.3_1,LKA.13_1,3.0,0
LKA.3_1,LKA.9_1,11.0,0
LKA.4_1,LKA.21_1,2276.0,0
LKA.4_1,LKA.1_1,1056.0,0
LKA.4_1,LKA.16_1,365.0,0
LKA.4_1,LKA.3_1,276.0,0
LKA.4_1,LKA.24_1,84.0,0
LKA.4_1,LKA.11_1,189.0,0
LKA.4_1,LKA.18_1,53.0,0
LKA.4_1,LKA.20_1,58.0,0
LKA.4_1,LKA.2_1,47.0,0
LKA.4_1,LKA.14_1,50.0,0
LKA.4_1,LKA.12_1,24.0,0
LKA.4_1,LKA.25_1,5.0,0
LKA.4_1,LKA.23_1,25.0,0
LKA.4_1,LKA.22_1,16.0,0
LKA.4_1,LKA.8_1,11.0,0
LKA.4_1,LKA.7_1,28.0,0
LKA.4_1,LKA.5_1,23.0,0
LKA.4_1,LKA.15_1,1.0,0
LKA.4_1,LKA.10_1,6.0,0
LKA.4_1,LKA.17_1,3.0,0
LKA.4_1,LKA.6_1,10.0,0
LKA.4_1,LKA.13_1,3.0,0
LKA.4_1,LKA.9_1,4.0,0
LKA.5_1,LKA.7_1,13262.0,0
LKA.5_1,LKA.10_1,2754.0,0
LKA.5_1,LKA.12_1,1266.0,0
LKA.5_1,LKA.23_1,1291.0,0
LKA.5_1,LKA.6_1,931.0,0
LKA.5_1,LKA.20_1,469.0,0
LKA.5_1,LKA.11_1,723.0,0
LKA.5_1,LKA.14_1,718.0,0
LKA.5_1,LKA.17_1,272.0,0
LKA.5_1,LKA.3_1,259.0,0
LKA.5_1,LKA.16_1,150.0,0
LKA.5_1,LKA.22_1,165.0,0
LKA.5_1,LKA.8_1,166.0,0
LKA.5_1,LKA.18_1,96.0,0
LKA.5_1,LKA.21_1,77.0,0
LKA.5_1,LKA.1_1,128.0,0
LKA.5_1,LKA.2_1,168.0,0
