origin,destination,flow,time
MDG.1_1,MDG.5_1,699375.0,0
MDG.1_1,MDG.4_1,370308.0,0
MDG.1_1,MDG.3_1,314388.0,0
MDG.1_1,MDG.6_1,149398.0,0
MDG.1_1,MDG.2_1,52174.0,0
MDG.2_1,MDG.4_1,290714.0,0
MDG.2_1,MDG.5_1,62517.0,0
MDG.2_1,MDG.1_1,46134.0,0
MDG.2_1,MDG.3_1,13559.0,0
MDG.2_1,MDG.6_1,6850.0,0
MDG.3_1,MDG.6_1,642043.0,0
MDG.3_1,MDG.1_1,351122.0,0
MDG.3_1,MDG.5_1,75482.0,0
MDG.3_1,MDG.4_1,55091.0,0
MDG.3_1,MDG.2_1,24542.0,0
MDG.4_1,MDG.5_1,425971.0,0
MDG.4_1,MDG.1_1,225815.0,0
MDG.4_1,MDG.2_1,25326.0,0
MDG.4_1,MDG.3_1,45910.0,0
MDG.4_1,MDG.6_1,22994.0,0
MDG.5_1,MDG.1_1,575331.0,0
MDG.5_1,MDG.4_1,64308.0,0
MDG.5_1,MDG.2_1,23944.0,0
MDG.5_1,MDG.3_1,43083.0,0
MDG.5_1,MDG.6_1,21701.0,0
MDG.6_1,MDG.3_1,610532.0,0
MDG.6_1,MDG.1_1,211099.0,0
MDG.6_1,MDG.5_1,45897.0,0
MDG.6_1,MDG.4_1,33718.0,0
MDG.6_1,MDG.2_1,14740.0,0
MDG.1_1,MDG.1_1,6342572.405936048,0
MDG.2_1,MDG.2_1,1679098.362352368,0
MDG.3_1,MDG.3_1,4593120.7413675515,0
MDG.4_1,MDG.4_1,2984065.815802008,0
MDG.5_1,MDG.5_1,2913468.145169184,0
MDG.6_1,MDG.6_1,3663944.879752464,0
