origin,destination,flow,time
MEX.30.96_1,MEX.30.155_1,6.0,0
MEX.30.96_1,MEX.30.97_1,2.0,0
MEX.30.96_1,MEX.30.192_1,1.0,0
MEX.15.58_1,MEX.15.22_1,50.0,0
MEX.15.58_1,MEX.15.57_1,13.0,0
MEX.15.58_1,MEX.15.73_1,1.0,0
MEX.15.58_1,MEX.15.107_1,1.0,0
MEX.15.109_1,MEX.15.56_1,1082.0,0
MEX.15.109_1,MEX.15.31_1,345.0,0
MEX.15.109_1,MEX.15.61_1,38.0,0
MEX.15.109_1,MEX.15.46_1,129.0,0
MEX.15.109_1,MEX.15.27_1,119.0,0
MEX.15.109_1,MEX.15.32_1,113.0,0
MEX.15.109_1,MEX.15.92_1,8.0,0
MEX.15.109_1,MEX.15.110_1,90.0,0
MEX.15.109_1,MEX.15.82_1,7.0,0
MEX.15.109_1,MEX.15.121_1,15.0,0
MEX.15.109_1,MEX.15.34_1,10.0,0
MEX.15.109_1,MEX.15.30_1,1.0,0
MEX.15.109_1,MEX.15.105_1,9.0,0
MEX.15.109_1,MEX.15.101_1,1.0,0
MEX.15.109_1,MEX.15.2_1,1.0,0
MEX.15.109_1,MEX.9.7_1,13.0,0
MEX.15.109_1,MEX.15.96_1,7.0,0
MEX.15.109_1,MEX.9.2_1,3.0,0
MEX.15.109_1,MEX.15.37_1,1.0,0
MEX.15.109_1,MEX.15.13_1,6.0,0
MEX.15.109_1,MEX.9.15_1,3.0,0
MEX.15.109_1,MEX.9.6_1,3.0,0
MEX.15.109_1,MEX.9.11_1,4.0,0
MEX.15.109_1,MEX.15.63_1,1.0,0
MEX.15.109_1,MEX.15.62_1,7.0,0
MEX.15.109_1,MEX.15.60_1,1.0,0
MEX.15.109_1,MEX.9.9_1,3.0,0
MEX.15.109_1,MEX.9.1_1,2.0,0
MEX.15.109_1,MEX.15.100_1,1.0,0
MEX.15.109_1,MEX.9.5_1,1.0,0
MEX.15.109_1,MEX.29.7_1,1.0,0
MEX.15.109_1,MEX.13.51_1,1.0,0
MEX.15.109_1,MEX.13.46_1,1.0,0
MEX.15.109_1,MEX.15.57_1,1.0,0
MEX.15.109_1,MEX.21.117_1,1.0,0
MEX.15.109_1,MEX.21.205_1,1.0,0
MEX.15.109_1,MEX.29.14_1,1.0,0
MEX.15.109_1,MEX.15.106_1,1.0,0
MEX.15.109_1,MEX.21.114_1,1.0,0
MEX.15.109_1,MEX.30.93_1,1.0,0
MEX.15.109_1,MEX.30.20_1,1.0,0
MEX.15.109_1,MEX.11.27_1,1.0,0
MEX.15.109_1,MEX.14.43_1,1.0,0
MEX.15.109_1,MEX.19.23_1,1.0,0
MEX.15.109_1,MEX.10.5_1,1.0,0
MEX.21.61_1,MEX.21.131_1,1.0,0
MEX.21.61_1,MEX.21.198_1,8.0,0
MEX.21.61_1,MEX.21.163_1,2.0,0
MEX.21.61_1,MEX.21.86_1,1.0,0
MEX.21.61_1,MEX.21.195_1,1.0,0
MEX.21.40_1,MEX.21.133_1,5.0,0
MEX.21.40_1,MEX.20.7_1,11.0,0
MEX.30.17_1,MEX.30.182_1,36.0,0
MEX.30.17_1,MEX.30.111_1,9.0,0
MEX.30.17_1,MEX.30.168_1,5.0,0
MEX.30.17_1,MEX.30.157_1,6.0,0
MEX.30.17_1,MEX.21.191_1,5.0,0
MEX.30.17_1,MEX.30.99_1,2.0,0
MEX.30.17_1,MEX.30.201_1,1.0,0
MEX.30.17_1,MEX.21.10_1,1.0,0
MEX.30.17_1,MEX.30.116_1,1.0,0
