origin,destination,flow,time
MNE.1_1,MNE.13_1,1485.0,0
MNE.1_1,MNE.3_1,302.0,0
MNE.1_1,MNE.9_1,21.0,0
MNE.1_1,MNE.11_1,13.0,0
MNE.1_1,MNE.4_1,41.0,0
MNE.1_1,MNE.17_1,17.0,0
MNE.1_1,MNE.16_1,38.0,0
MNE.1_1,MNE.6_1,2.0,0
MNE.1_1,MNE.2_1,1.0,0
MNE.1_1,MNE.12_1,1.0,0
MNE.1_1,MNE.20_1,4.0,0
MNE.1_1,MNE.19_1,1.0,0
MNE.1_1,MNE.8_1,1.0,0
MNE.2_1,MNE.20_1,7368.0,0
MNE.2_1,MNE.5_1,4257.0,0
MNE.2_1,MNE.16_1,8811.0,0
MNE.2_1,MNE.6_1,195.0,0
MNE.2_1,MNE.19_1,152.0,0
MNE.2_1,MNE.7_1,188.0,0
MNE.2_1,MNE.10_1,216.0,0
MNE.2_1,MNE.8_1,222.0,0
MNE.2_1,MNE.9_1,54.0,0
MNE.2_1,MNE.1_1,23.0,0
MNE.2_1,MNE.13_1,97.0,0
MNE.2_1,MNE.12_1,383.0,0
MNE.2_1,MNE.18_1,2.0,0
MNE.2_1,MNE.11_1,31.0,0
MNE.2_1,MNE.3_1,116.0,0
MNE.2_1,MNE.21_1,7.0,0
MNE.2_1,MNE.4_1,100.0,0
MNE.2_1,MNE.17_1,59.0,0
MNE.2_1,MNE.15_1,6.0,0
MNE.2_1,MNE.14_1,73.0,0
MNE.3_1,MNE.1_1,1867.0,0
MNE.3_1,MNE.17_1,5327.0,0
MNE.3_1,MNE.4_1,3155.0,0
MNE.3_1,MNE.13_1,805.0,0
MNE.3_1,MNE.11_1,343.0,0
MNE.3_1,MNE.9_1,364.0,0
MNE.3_1,MNE.16_1,2995.0,0
MNE.3_1,MNE.18_1,11.0,0
MNE.3_1,MNE.21_1,26.0,0
MNE.3_1,MNE.7_1,110.0,0
MNE.3_1,MNE.14_1,105.0,0
MNE.3_1,MNE.12_1,225.0,0
MNE.3_1,MNE.6_1,36.0,0
MNE.3_1,MNE.15_1,6.0,0
MNE.3_1,MNE.2_1,82.0,0
MNE.3_1,MNE.5_1,27.0,0
MNE.3_1,MNE.10_1,36.0,0
MNE.3_1,MNE.20_1,35.0,0
MNE.3_1,MNE.19_1,14.0,0
MNE.3_1,MNE.8_1,38.0,0
MNE.4_1,MNE.11_1,3028.0,0
MNE.4_1,MNE.3_1,5787.0,0
MNE.4_1,MNE.1_1,335.0,0
MNE.4_1,MNE.9_1,597.0,0
MNE.4_1,MNE.17_1,1147.0,0
MNE.4_1,MNE.21_1,129.0,0
MNE.4_1,MNE.14_1,760.0,0
MNE.4_1,MNE.18_1,29.0,0
MNE.4_1,MNE.13_1,303.0,0
MNE.4_1,MNE.7_1,414.0,0
MNE.4_1,MNE.16_1,1578.0,0
MNE.4_1,MNE.15_1,8.0,0
MNE.4_1,MNE.12_1,172.0,0
MNE.4_1,MNE.6_1,35.0,0
MNE.4_1,MNE.10_1,60.0,0
MNE.4_1,MNE.19_1,29.0,0
