origin,destination,flow,time
MOZ.1.1_1,MOZ.1.3_1,1067.0,0
MOZ.1.1_1,MOZ.1.14_1,729.0,0
MOZ.1.1_1,MOZ.1.6_1,20.0,0
MOZ.1.1_1,MOZ.1.15_1,43.0,0
MOZ.1.1_1,MOZ.1.5_1,25.0,0
MOZ.1.1_1,MOZ.7.16_1,233.0,0
MOZ.1.1_1,MOZ.1.4_1,45.0,0
MOZ.1.1_1,MOZ.7.7_1,109.0,0
MOZ.1.1_1,MOZ.1.8_1,58.0,0
MOZ.1.1_1,MOZ.1.11_1,42.0,0
MOZ.1.1_1,MOZ.1.10_1,11.0,0
MOZ.1.1_1,MOZ.7.2_1,25.0,0
MOZ.1.1_1,MOZ.1.2_1,18.0,0
MOZ.1.1_1,MOZ.1.9_1,22.0,0
MOZ.1.1_1,MOZ.1.7_1,13.0,0
MOZ.1.1_1,MOZ.7.15_1,21.0,0
MOZ.1.1_1,MOZ.7.13_1,16.0,0
MOZ.1.1_1,MOZ.7.6_1,16.0,0
MOZ.1.1_1,MOZ.7.10_1,28.0,0
MOZ.1.1_1,MOZ.1.12_1,3.0,0
MOZ.1.1_1,MOZ.8.14_1,2.0,0
MOZ.1.1_1,MOZ.7.12_1,3.0,0
MOZ.1.1_1,MOZ.7.3_1,6.0,0
MOZ.1.1_1,MOZ.7.17_1,32.0,0
MOZ.1.1_1,MOZ.8.6_1,3.0,0
MOZ.1.1_1,MOZ.7.5_1,6.0,0
MOZ.1.1_1,MOZ.7.11_1,3.0,0
MOZ.1.1_1,MOZ.7.18_1,10.0,0
MOZ.1.1_1,MOZ.7.14_1,4.0,0
MOZ.1.1_1,MOZ.7.8_1,6.0,0
MOZ.1.1_1,MOZ.8.7_1,1.0,0
MOZ.1.1_1,MOZ.7.4_1,2.0,0
MOZ.1.1_1,MOZ.7.1_1,3.0,0
MOZ.1.1_1,MOZ.11.3_1,3.0,0
MOZ.1.1_1,MOZ.11.1_1,6.0,0
MOZ.1.1_1,MOZ.7.9_1,6.0,0
MOZ.1.1_1,MOZ.8.1_1,4.0,0
MOZ.1.1_1,MOZ.11.4_1,4.0,0
MOZ.1.1_1,MOZ.11.5_1,3.0,0
MOZ.1.1_1,MOZ.11.16_1,5.0,0
MOZ.1.1_1,MOZ.11.14_1,1.0,0
MOZ.1.1_1,MOZ.8.9_1,3.0,0
MOZ.1.1_1,MOZ.8.13_1,1.0,0
MOZ.1.1_1,MOZ.11.7_1,1.0,0
MOZ.1.1_1,MOZ.11.8_1,3.0,0
MOZ.1.1_1,MOZ.11.9_1,1.0,0
MOZ.1.1_1,MOZ.11.10_1,1.0,0
MOZ.1.1_1,MOZ.11.15_1,1.0,0
MOZ.1.1_1,MOZ.11.12_1,2.0,0
MOZ.1.1_1,MOZ.10.11_1,2.0,0
MOZ.1.1_1,MOZ.10.1_1,1.0,0
MOZ.1.1_1,MOZ.11.6_1,1.0,0
MOZ.1.1_1,MOZ.11.11_1,1.0,0
MOZ.1.1_1,MOZ.10.6_1,2.0,0
MOZ.1.1_1,MOZ.10.9_1,1.0,0
MOZ.1.1_1,MOZ.10.5_1,1.0,0
MOZ.1.1_1,MOZ.9.10_1,1.0,0
MOZ.1.1_1,MOZ.10.4_1,1.0,0
MOZ.1.1_1,MOZ.10.3_1,1.0,0
MOZ.1.1_1,MOZ.4.5_1,2.0,0
MOZ.1.1_1,MOZ.9.6_1,1.0,0
MOZ.1.1_1,MOZ.9.12_1,1.0,0
MOZ.1.1_1,MOZ.4.6_1,1.0,0
MOZ.1.1_1,MOZ.10.12_1,1.0,0
MOZ.1.1_1,MOZ.3.6_1,1.0,0
MOZ.1.1_1,MOZ.3.12_1,1.0,0
MOZ.1.1_1,MOZ.2.2_1,1.0,0
MOZ.1.1_1,MOZ.2.11_1,1.0,0
MOZ.1.1_1,MOZ.6.3_1,3.0,0
MOZ.1.1_1,MOZ.5.2_1,4.0,0
MOZ.2.7_1,MOZ.2.10_1,219.0,0
MOZ.2.7_1,MOZ.2.4_1,70.0,0
MOZ.2.7_1,MOZ.2.6_1,76.0,0
MOZ.2.7_1,MOZ.2.3_1,20.0,0
MOZ.2.7_1,MOZ.2.5_1,31.0,0
MOZ.2.7_1,MOZ.2.2_1,11.0,0
MOZ.2.7_1,MOZ.6.2_1,3.0,0
MOZ.2.7_1,MOZ.3.1_1,2.0,0
MOZ.2.7_1,MOZ.2.1_1,2.0,0
MOZ.2.7_1,MOZ.2.8_1,4.0,0
MOZ.2.7_1,MOZ.2.11_1,2.0,0
MOZ.2.7_1,MOZ.6.3_1,2.0,0
MOZ.2.7_1,MOZ.3.12_1,2.0,0
MOZ.2.7_1,MOZ.6.4_1,1.0,0
MOZ.2.7_1,MOZ.5.2_1,2.0,0
MOZ.2.7_1,MOZ.4.7_1,1.0,0
MOZ.2.7_1,MOZ.4.1_1,1.0,0
MOZ.2.7_1,MOZ.9.2_1,1.0,0
MOZ.2.8_1,MOZ.2.2_1,1100.0,0
MOZ.2.8_1,MOZ.3.12_1,219.0,0
MOZ.2.8_1,MOZ.2.11_1,259.0,0
MOZ.2.8_1,MOZ.3.4_1,34.0,0
MOZ.2.8_1,MOZ.3.10_1,13.0,0
MOZ.2.8_1,MOZ.2.1_1,53.0,0
MOZ.2.8_1,MOZ.2.6_1,21.0,0
MOZ.2.8_1,MOZ.2.5_1,36.0,0
MOZ.2.8_1,MOZ.3.3_1,33.0,0
MOZ.2.8_1,MOZ.3.6_1,17.0,0
MOZ.2.8_1,MOZ.6.3_1,11.0,0
MOZ.2.8_1,MOZ.6.2_1,3.0,0
MOZ.2.8_1,MOZ.3.9_1,7.0,0
MOZ.2.8_1,MOZ.3.1_1,2.0,0
MOZ.2.8_1,MOZ.6.4_1,13.0,0
MOZ.2.8_1,MOZ.2.7_1,2.0,0
MOZ.2.8_1,MOZ.6.6_1,2.0,0
MOZ.2.8_1,MOZ.5.2_1,47.0,0
MOZ.2.8_1,MOZ.2.4_1,1.0,0
MOZ.2.8_1,MOZ.5.1_1,1.0,0
MOZ.2.8_1,MOZ.3.8_1,1.0,0
MOZ.2.8_1,MOZ.6.7_1,1.0,0
MOZ.2.8_1,MOZ.6.5_1,2.0,0
MOZ.2.8_1,MOZ.3.7_1,2.0,0
MOZ.2.8_1,MOZ.3.5_1,1.0,0
MOZ.2.8_1,MOZ.3.2_1,1.0,0
MOZ.2.8_1,MOZ.4.4_1,3.0,0
MOZ.2.8_1,MOZ.9.1_1,1.0,0
MOZ.2.8_1,MOZ.9.6_1,6.0,0
MOZ.2.8_1,MOZ.9.12_1,1.0,0
MOZ.2.8_1,MOZ.4.2_1,3.0,0
MOZ.2.8_1,MOZ.9.10_1,1.0,0
MOZ.2.8_1,MOZ.11.2_1,2.0,0
MOZ.2.8_1,MOZ.9.9_1,1.0,0
