origin,destination,flow,time
MRT.1.2_1,MRT.1.1_1,410.0,0
MRT.1.2_1,MRT.9.1_1,545.0,0
MRT.1.2_1,MRT.12.3_1,121.0,0
MRT.1.2_1,MRT.4.1_1,634.0,0
MRT.1.2_1,MRT.13.1_1,86.0,0
MRT.1.2_1,MRT.11.3_1,34.0,0
MRT.1.2_1,MRT.13.4_1,10.0,0
MRT.1.2_1,MRT.3.5_1,36.0,0
MRT.1.2_1,MRT.11.1_1,12.0,0
MRT.1.2_1,MRT.10.1_1,124.0,0
MRT.1.2_1,MRT.3.1_1,3.0,0
MRT.1.2_1,MRT.13.5_1,1.0,0
MRT.1.2_1,MRT.2.1_1,2.0,0
MRT.1.2_1,MRT.5.4_1,2.0,0
MRT.1.2_1,MRT.13.2_1,1.0,0
MRT.1.2_1,MRT.6.1_1,1.0,0
MRT.1.2_1,MRT.8.1_1,3.0,0
MRT.1.2_1,MRT.6.2_1,1.0,0
MRT.1.2_1,MRT.7.1_1,1.0,0
MRT.1.2_1,MRT.7.2_1,1.0,0
MRT.1.3_1,MRT.12.2_1,468.0,0
MRT.1.3_1,MRT.11.2_1,8.0,0
MRT.1.3_1,MRT.12.3_1,15.0,0
MRT.1.3_1,MRT.7.5_1,15.0,0
MRT.1.3_1,MRT.11.3_1,15.0,0
MRT.1.3_1,MRT.1.2_1,8.0,0
MRT.1.3_1,MRT.2.2_1,1.0,0
MRT.1.3_1,MRT.1.1_1,3.0,0
MRT.1.3_1,MRT.8.3_1,8.0,0
MRT.1.3_1,MRT.11.1_1,4.0,0
MRT.1.3_1,MRT.12.1_1,1.0,0
MRT.1.3_1,MRT.8.1_1,8.0,0
MRT.1.3_1,MRT.2.5_1,2.0,0
MRT.1.3_1,MRT.3.5_1,2.0,0
MRT.1.3_1,MRT.2.3_1,2.0,0
MRT.1.3_1,MRT.7.6_1,2.0,0
MRT.1.3_1,MRT.7.4_1,3.0,0
MRT.1.3_1,MRT.8.4_1,1.0,0
MRT.1.3_1,MRT.7.3_1,1.0,0
MRT.1.3_1,MRT.8.2_1,2.0,0
MRT.1.3_1,MRT.2.4_1,3.0,0
MRT.1.3_1,MRT.7.2_1,1.0,0
MRT.1.3_1,MRT.5.1_1,1.0,0
MRT.5.1_1,MRT.5.4_1,2075.0,0
MRT.5.1_1,MRT.5.3_1,1778.0,0
MRT.5.1_1,MRT.3.4_1,557.0,0
MRT.5.1_1,MRT.5.2_1,917.0,0
MRT.5.1_1,MRT.3.2_1,179.0,0
MRT.5.1_1,MRT.2.1_1,349.0,0
MRT.5.1_1,MRT.3.1_1,368.0,0
MRT.5.1_1,MRT.6.2_1,425.0,0
MRT.5.1_1,MRT.6.1_1,122.0,0
MRT.5.1_1,MRT.3.3_1,67.0,0
MRT.5.1_1,MRT.2.3_1,38.0,0
MRT.5.1_1,MRT.3.5_1,51.0,0
MRT.5.1_1,MRT.2.5_1,86.0,0
MRT.5.1_1,MRT.2.4_1,62.0,0
MRT.5.1_1,MRT.13.5_1,34.0,0
MRT.5.1_1,MRT.11.1_1,21.0,0
MRT.5.1_1,MRT.13.1_1,27.0,0
MRT.5.1_1,MRT.13.6_1,14.0,0
MRT.5.1_1,MRT.13.3_1,20.0,0
MRT.5.1_1,MRT.8.4_1,47.0,0
MRT.5.1_1,MRT.8.3_1,12.0,0
MRT.5.1_1,MRT.13.2_1,11.0,0
MRT.5.1_1,MRT.11.3_1,10.0,0
MRT.5.1_1,MRT.13.4_1,4.0,0
MRT.5.1_1,MRT.10.1_1,218.0,0
MRT.5.1_1,MRT.1.1_1,2.0,0
MRT.5.1_1,MRT.8.2_1,6.0,0
MRT.5.1_1,MRT.8.1_1,5.0,0
MRT.5.1_1,MRT.7.3_1,7.0,0
MRT.5.1_1,MRT.9.1_1,2.0,0
MRT.5.1_1,MRT.1.2_1,2.0,0
